feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Sequencing_Run	April_2017	4.84021889273808	0.539857203355227	89	26	1.01562972083669e-13	6.82503172402254e-11
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	April_2017	5.3037925708119	0.595555565491025	89	25	2.13995891462792e-13	7.1902619531498e-11
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	Type	Mucosal	-3.74137277394182	0.469788428909428	89	41	8.84673382064547e-12	1.98166837582459e-09
k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__	Type	Mucosal	-3.78779701105845	0.499832704742929	89	52	8.12794747185481e-10	1.34579804878286e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	5.55664213811621	0.804034079961151	89	12	1.00133783391581e-09	1.34579804878286e-07
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	0.797926206863713	0.175162781160828	89	5	1.82566701130549e-05	0.00204474705266214
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	2.2862488042411	0.518006740311753	89	83	3.43100175701518e-05	0.00329376168673457
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Type	Mucosal	-1.57185803548754	0.347960583842302	89	56	4.8061828014479e-05	0.00403719355321624
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Type	Mucosal	-0.922785704380933	0.219897404728424	89	42	0.000131920499311084	0.00985006394856093
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella	Type	Mucosal	-1.01146855790784	0.260935817435091	89	28	0.000350087463847518	0.0216142907333109
k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	Type	Mucosal	1.10846503386821	0.297582715005971	89	17	0.000360007926392459	0.0216142907333109
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Type	Mucosal	0.771037603662751	0.200888152165621	89	10	0.000385969477380553	0.0216142907333109
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Type	Mucosal	1.61564882610272	0.450795518642198	89	12	0.000576498410071468	0.0298005331975405
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella	Type	Mucosal	-0.805182570502192	0.227538469015114	89	21	0.000696774282000242	0.0334451655360116
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Type	Mucosal	1.36467914422758	0.384822710208692	89	58	0.00091375856623432	0.0409363837672975
