feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Type	Mucosal	-2.30188715007013	0.338466724476316	90	13	1.72036830957054e-08	8.42980471689567e-07
k__Bacteria.p__Proteobacteria	Sex	Male	2.67529378747203	0.667577948032631	90	85	0.000264643093361404	0.00432250385823626
k__Bacteria.p__Verrucomicrobiota	Sex	Male	-3.60341228366398	0.874290668247105	90	46	0.00018561702280353	0.00432250385823626
k__Bacteria.p__Desulfobacterota	Type	Mucosal	1.13812489388199	0.313607236037893	90	1	0.000708212787771896	0.00867560665020573
k__Bacteria.p__Proteobacteria	Type	Mucosal	1.39489817840023	0.408304332919055	90	85	0.00132767690151666	0.0130112336348633
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Dec_2018	3.05446106577445	1.02668253369405	90	46	0.00505159313231353	0.0412546772472272
k__Bacteria.p__Cyanobacteria	Sex	Male	1.53029059741037	0.536030823718967	90	13	0.00685633932005254	0.0479943752403678
k__Bacteria.p__Firmicutes	Sequencing_Run	May_2018	-1.07139698574467	0.39601251468077	90	88	0.00829450590701584	0.050803848680472
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Oct_2017	-3.12577361162666	1.15283474386786	90	46	0.00999493742916175	0.0544168815587695
k__Bacteria.p__Desulfobacterota	Sequencing_Run	May_2018	1.28636188831699	0.561635956532411	90	1	0.026774536697107	0.131195229815824
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Dec_2018	-1.31601957432416	0.627621117554952	90	13	0.0423921997333367	0.188837980630318
