feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Type	Mucosal	-3.41435042484246	0.366608243115095	91	29	2.75737568578211e-12	1.35111408603323e-10
k__Bacteria.p__Verrucomicrobiota	Sex	Male	-3.90440995933322	0.710159450944723	91	53	2.54437581651764e-06	6.23372075046822e-05
k__Bacteria.p__Desulfobacterota	Type	Mucosal	1.32889937309615	0.26700624615793	91	0	9.12532963775409e-06	0.000149047050749983
k__Bacteria.p__Bacteroidota	Sequencing_Run	May_2018	-2.52603139916878	0.554992967812774	91	85	3.86579035621064e-05	0.000473559318635803
k__Bacteria.p__Proteobacteria	Type	Mucosal	1.58623831204652	0.402717719319444	91	88	0.000282282235225277	0.00276636590520772
k__Bacteria.p__Firmicutes	Sequencing_Run	Dec_2018	-1.38508366036188	0.38615189554729	91	89	0.000564354710001424	0.00460889679834496
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Oct_2017	-3.50835854189199	0.958273071437728	91	53	0.000681983373221075	0.00477388361254752
k__Bacteria.p__Firmicutes	Sequencing_Run	May_2018	-1.37308699936006	0.40935466395687	91	89	0.00120122529780859	0.0073575049490776
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Dec_2018	2.83899141480235	0.851755996176529	91	53	0.00186892318461994	0.0101752484495974
k__Bacteria.p__Proteobacteria	Sex	Male	2.01357545142782	0.626995636736231	91	88	0.00265702824803409	0.0130194384153671
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Dec_2017	1.6997826300562	0.597641347878285	91	29	0.00660164359562177	0.0269567113487889
k__Bacteria.p__Cyanobacteria	Sequencing_Run	May_2018	1.97659850788065	0.691397074242156	91	29	0.0062581031266991	0.0269567113487889
k__Bacteria.p__Actinobacteriota	Sequencing_Run	April_2017	-1.58931325360514	0.598547332817656	91	2	0.010456273675881	0.0394121084706285
k__Bacteria.p__Bacteroidota	Type	Mucosal	0.71015216076827	0.278148778493105	91	85	0.0141339052490671	0.049468668371735
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Oct_2017	1.86834624179221	0.741907964409246	91	29	0.015453971303449	0.0504829729245999
k__Bacteria.p__Desulfobacterota	Sequencing_Run	May_2018	1.39165740325927	0.581318160025945	91	0	0.0205688323157248	0.0629920489669071
k__Bacteria.p__Firmicutes	Sequencing_Run	Dec_2017	-0.813707207101478	0.353010089801131	91	89	0.0236603019441848	0.0681973408979445
k__Bacteria.p__Bacteroidota	Sequencing_Run	Dec_2018	-1.14973657540623	0.528356693088307	91	85	0.0353906022987387	0.0963410840354554
k__Bacteria.p__Actinobacteriota	Sequencing_Run	Oct_2017	1.3360980875504	0.629485113675165	91	2	0.0393254992933143	0.101418392914337
k__Bacteria.p__Bacteroidota	Sequencing_Run	Dec_2017	-0.896919190439896	0.480382686537	91	85	0.0685294637181981	0.152757393750595
k__Bacteria.p__Actinobacteriota	Sex	Male	0.894834185343421	0.471261871445721	91	2	0.0647648500687729	0.152757393750595
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Dec_2017	0.94021565817064	0.504291965565901	91	0	0.0685849522961854	0.152757393750595
