feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	6.03653024015943	0.689606759721984	88	15	2.67945537838512e-13	1.83810638957219e-10
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	April_2017	4.49667653866137	0.595272507910238	88	6	6.01203975870049e-11	2.06212963723427e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	Dec_2018	-2.79759155850416	0.334846945174219	88	66	3.82928013197889e-10	8.75628723512506e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755	Sex	Male	2.28851791899167	0.298244364266464	88	24	2.19896381686757e-09	3.77122294592788e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	3.52771087881824	0.562370506040726	88	79	1.70038414213775e-08	2.332927043013e-06
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2018	7.71265091621283	1.09179305509429	88	63	2.8091736338826e-08	3.21182185473911e-06
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	Oct_2017	-3.68145750473763	0.538108172143488	88	51	3.84579397237522e-08	3.76887809292772e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2018	-2.57016473001502	0.380403491959145	88	47	4.58595922879156e-08	3.93246003868876e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	Oct_2017	-3.79791132564588	0.595699480801506	88	61	1.61665731152652e-07	1.23225212856355e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sex	Male	-2.73888405201177	0.452504568664384	88	61	3.81257694058939e-07	2.61542778124432e-05
