feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Sequencing_Run	April_2017	4.67316532444938	0.546501517868403	89	26	9.62655139435111e-13	6.33427081748303e-10
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	April_2017	5.17186406580392	0.642208376199362	89	26	5.90046372388246e-12	1.94125256515733e-09
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	5.55414689942826	0.802517489223937	89	12	9.58118407486197e-10	2.10147304041973e-07
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sex	Male	-4.51736039916252	0.649899981089449	89	76	3.35927449816083e-08	5.52600654947456e-06
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2018	5.19568897812819	0.771995539111415	89	63	4.36748043649825e-08	5.7476042544317e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2018	-3.64635037045554	0.58888547610405	89	42	2.78257916511466e-07	3.05156181774241e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2017	-3.15592678936641	0.542956991255296	89	42	6.35141961295328e-07	5.97033443617608e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Sequencing_Run	Dec_2018	3.03740234541673	0.537596750217115	89	29	1.4646316302093e-06	0.000120465951584715
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	Oct_2017	-3.52152389490496	0.632991341073348	89	54	1.75748661864359e-06	0.000128491799451942
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9	Sequencing_Run	Dec_2018	2.93917701083106	0.536378553414216	89	19	2.59290176305736e-06	0.000170612936009174
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sequencing_Run	Dec_2018	4.06834807493691	0.748840893761422	89	76	3.25398226611782e-06	0.000194647302827775
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sequencing_Run	Oct_2017	-4.54124690520617	0.842771377100853	89	76	3.80839446245871e-06	0.000208826963024819
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2017	3.77291487274049	0.722850533225499	89	63	4.40823915467659e-06	0.000223124720290554
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Sequencing_Run	May_2018	-3.30352015779031	0.678304858793813	89	88	5.43254682403882e-06	0.000255329700729824
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Coprococcus	Sequencing_Run	Dec_2017	2.51060876670377	0.494320901778885	89	26	7.48911708036663e-06	0.000328522602592083
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Dorea	Sequencing_Run	Dec_2018	1.76159557695245	0.386350570853759	89	18	1.79662279055648e-05	0.000738861122616352
