feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Sequencing_Run	April_2017	4.75430686666853	0.290156904563319	270	53	5.08821252907818e-42	3.38366133183699e-39
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	Type	Mucosal	-3.73249403858023	0.228480110571146	270	131	3.99196054613382e-40	1.32732688158949e-37
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	April_2017	5.08205119803528	0.337834968504923	270	63	3.29981783917327e-37	7.31459621016742e-35
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	6.10981895570722	0.426122554289688	270	37	8.21657897097549e-35	1.36600625392467e-32
k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__	Type	Mucosal	-3.66423028740471	0.256898596268581	270	158	1.97102144288137e-33	2.62145851903222e-31
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Type	Mucosal	-1.45009710605743	0.184508349471463	270	177	1.51770556929967e-13	1.68212367264046e-11
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Type	Mucosal	-1.30206404586957	0.178813539969136	270	252	5.40073371221757e-12	5.13069702660669e-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella	Type	Mucosal	-0.829655192518492	0.118546807256919	270	95	2.8481815388874e-11	2.36755090420015e-09
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella	Type	Mucosal	-0.85160911039836	0.125137527802537	270	80	8.8173654780325e-11	6.51505338099068e-09
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2018	5.78452986803404	0.708276937749845	270	184	8.7715068887108e-10	5.83305208099268e-08
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	1.65299012902255	0.26299887957571	270	252	1.64864757559884e-09	9.96682397975662e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..gauvreauii.group	Type	Mucosal	-1.1018956592304	0.176890377683923	270	131	2.29943860055652e-09	1.27427222447507e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	Type	Mucosal	1.00471622502785	0.162577394485758	270	43	2.90785938584861e-09	1.48748191660717e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2018	-3.53469390991542	0.469312146060229	270	139	5.18542976213083e-09	2.46307913701215e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Type	Mucosal	0.649142902384654	0.107163341359407	270	35	5.69108624233336e-09	2.52304823410112e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Type	Mucosal	-0.827001172974469	0.138554080413406	270	160	9.09993202264798e-09	3.46640518259016e-07
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	0.603770282948253	0.101215328604405	270	14	9.38275087016885e-09	3.46640518259016e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755	Sex	Male	1.93073036973651	0.268584316788693	270	52	8.5245993861313e-09	3.46640518259016e-07
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9	Sequencing_Run	Dec_2018	2.02923361119737	0.281931780637476	270	46	9.95083710233001e-09	3.48279298581551e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Type	Mucosal	1.4533014265275	0.247417058973188	270	37	1.28673056752138e-08	4.27837913700859e-07
