feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Sequencing_Run	April_2017	4.74229469546967	0.288655325586838	270	55	3.59089376315186e-42	2.46335312152217e-39
k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__	Type	Mucosal	-3.74284683175167	0.228805782980589	270	131	3.37624558557253e-40	1.15805223585138e-37
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	April_2017	5.07118166096665	0.337532013027439	270	64	3.79252994576664e-37	8.67225180931971e-35
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Sequencing_Run	May_2018	6.09554350910614	0.425235576530521	270	37	8.46319096587e-35	1.45143725064671e-32
k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__	Type	Mucosal	-3.67456709420857	0.257188107463685	270	158	1.64315593981976e-33	2.25440994943272e-31
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Type	Mucosal	-1.46093949355365	0.184823015820737	270	180	1.14129821012157e-13	1.30488428690566e-11
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Type	Mucosal	-1.31277191037502	0.179492862385003	270	252	4.45478315272554e-12	4.36568748967103e-10
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella	Type	Mucosal	-0.840566020348238	0.118537634335102	270	95	1.64951244875921e-11	1.41445692481102e-09
k__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Eggerthella	Type	Mucosal	-0.862108658759802	0.125062638681923	270	81	5.29403077840186e-11	4.03522790442631e-09
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	Dec_2018	5.80597552066167	0.709853137752346	270	185	8.60653664917052e-10	5.90408414133097e-08
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..gauvreauii.group	Type	Mucosal	-1.11326853816257	0.177079245665372	270	131	1.67904593052804e-09	1.04711409849294e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Type	Mucosal	1.64213228372552	0.262723387098773	270	254	1.99370579299798e-09	1.13973514499718e-07
k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus	Type	Mucosal	0.994234618501237	0.162610433549707	270	45	4.14762278580253e-09	2.18866863927734e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2018	-3.5137695670565	0.46843342602368	270	141	5.59453318894013e-09	2.74132126258066e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Type	Mucosal	-0.83775936843649	0.138971546921557	270	161	6.63674328597267e-09	3.0352039294515e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066755	Sex	Male	1.93161334684484	0.267503515551261	270	54	7.63430810753554e-09	3.27320960110586e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__	Type	Mucosal	0.638547108617432	0.106823663970626	270	36	8.7051990696275e-09	3.51280385986145e-07
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella_9	Sequencing_Run	Dec_2018	2.04791918624595	0.284581852836324	270	46	1.00434966571923e-08	3.82768817046328e-07
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	0.593075702198945	0.100797537637884	270	16	1.43773832872808e-08	5.16291758938051e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter	Type	Mucosal	1.44300106951251	0.24690205823845	270	37	1.5052237869914e-08	5.16291758938051e-07
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Burkholderiaceae.g__Burkholderia.Caballeronia.Paraburkholderia	Type	Mucosal	0.64771251292697	0.111299070789091	270	55	1.99903862838663e-08	6.53019285272966e-07
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Type	Mucosal	-0.77822810083526	0.135863194778021	270	141	3.22523947687385e-08	1.00568830960703e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	Oct_2017	-3.1083172704278	0.495752586164371	270	185	1.03850453310247e-07	3.09745265090564e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Cuneatibacter	Sequencing_Run	Dec_2018	-1.96820967963341	0.317531965270484	270	46	2.458467347614e-07	7.02711916859668e-06
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Alcaligenaceae.g__Bordetella	Sequencing_Run	May_2018	1.77980261342747	0.296175413386767	270	64	2.99795754883402e-07	8.22639551400055e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	May_2018	-2.73394556330234	0.469145657717092	270	141	4.17250367908293e-07	1.10089904763496e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ethanoligenenaceae.g__Acetanaerobacterium	Sequencing_Run	Dec_2018	-1.04798036770381	0.173292345268194	270	16	4.40486351783306e-07	1.1191616197161e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sex	Male	-2.23965389913726	0.379566488999615	270	185	4.62676138599649e-07	1.13355653956914e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	Dec_2017	-2.44074091602326	0.416662115139745	270	141	5.17824569487507e-07	1.22492294713252e-05
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	Oct_2017	-3.09511282171465	0.539455014933869	270	136	7.07496521217328e-07	1.61780871185029e-05
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Type	Mucosal	0.512967355986125	0.103071449544486	270	20	1.27947416924974e-06	2.73276313831209e-05
