	GnotobioticExp-FP-188-S51	806rcbc422-S327	806rcbc392-S297	806rcbc477-S382	GnotobioticExp-FP-199-S63	GnotobioticExp-FP-193-S57	806rcbc421-S326	GnotoExpt-FP452-S673	GnotoExpt-FP457-S678	806rcbc175-S272	GnotoExpt-FP554-S69	806rcbc433-S338	GnotoExpt-FP475-S696	GnotobioticExp-FP-207-S71	806rcbc176-S273	GnotoExpt-FP453-S674	GnotoExpt-FP614-S310	GnotobioticExp-FP-175-S37	GnotoExpt-FP536-S51	806rcbc466-S371	GnotoExpt-FP469-S690	GnotoExpt-FP555-S71	806rcbc403-S308	GnotobioticExp-FP-189-S52	GnotoExpt-FP465-S686	GnotoExpt-FP595-S291	806rcbc472-S377	806rcbc398-S303	GnotoExpt-FP549-S64	GnotoExpt-FP464-S685	806rcbc434-S339	806rcbc169-S266	806rcbc423-S328	GnotoExpt-FP565-S81	GnotoExpt-FP615-S311	806rcbc396-S301	GnotobioticExp-FP-177-S39	GnotoExpt-FP548-S63	GnotoExpt-FP529-S44	GnotoExpt-FP609-S305	806rcbc465-S370	GnotobioticExp-FP-201-S65	GnotoExpt-FP561-S77	GnotoExpt-FP602-S298	806rcbc427-S332	GnotoExpt-FP608-S304	806rcbc428-S333	806rcbc168-S265	806rcbc464-S369	GnotoExpt-FP567-S83	GnotoExpt-FP483-S704	GnotoExpt-FP543-S58	806rcbc174-S271	GnotoExpt-FP451-S672	GnotobioticExp-FP-187-S50	806rcbc402-S307	806rcbc390-S295	806rcbc435-S340	GnotoExpt-FP559-S75	GnotobioticExp-FP-206-S70	GnotobioticExp-FP-195-S59	GnotoExpt-FP601-S297	GnotoExpt-FP537-S52	GnotoExpt-FP459-S680	GnotoExpt-FP541-S56	GnotoExpt-FP470-S691	GnotoExpt-FP535-S50	GnotobioticExp-FP-205-S69	GnotoExpt-FP597-S293	GnotoExpt-FP481-S702	GnotobioticExp-FP-194-S58	GnotobioticExp-FP-181-S44	806rcbc471-S376	GnotoExpt-FP463-S684	GnotoExpt-FP547-S62	GnotoExpt-FP603-S299	806rcbc429-S334	GnotoExpt-FP458-S679	GnotobioticExp-FP-182-S45	GnotobioticExp-FP-176-S38	GnotoExpt-FP477-S698	806rcbc404-S309	GnotoExpt-FP531-S46	GnotobioticExp-FP-200-S64	806rcbc397-S302	GnotoExpt-FP607-S303	GnotoExpt-FP542-S57	GnotoExpt-FP613-S309	806rcbc470-S375	GnotoExpt-FP553-S68	GnotoExpt-FP482-S703	806rcbc170-S267	GnotobioticExp-FP-183-S46	GnotoExpt-FP471-S692	GnotoExpt-FP566-S82	806rcbc476-S381	806rcbc391-S296	GnotoExpt-FP596-S292	GnotoExpt-FP560-S76	806rcbc478-S383	GnotobioticExp-FP-319.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-386.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-FP-362.fastq
GnotobioticExp-FP-188-S51	0.0	3.0457741355807477	0.7101220279790846	2.1253480046067548	1.4479654676021252	1.4804100318042581	3.0065389497141366	1.045942933843692	0.6997637484772677	0.7120786023731099	0.8271359033084569	2.9308088705296873	1.6536731056008989	1.5755685296363537	0.916098936411449	0.9656270532689049	2.561576743865052	0.5537367825503546	1.9941517087885705	1.8077678809537192	1.2462288097884129	1.2563320495909358	0.7241080452912514	0.4775536594934028	0.9213424563618785	2.6633492164709	1.4170366337686235	0.690055153332489	2.0619381155676857	0.9636138400492938	2.7272420219704183	0.7494173367818034	2.8541696264105942	1.1782083831091472	2.8078796417389302	0.6568842661135068	0.3786432085382429	2.1292765350722567	2.2209330819522157	2.7111711841952264	1.641600063492215	1.798961008235474	1.072379465586999	2.828905020694733	2.726314576874354	2.678169756071066	2.9045608930858244	0.6608310032971686	1.5069796447619548	0.8311335396007066	1.523981352383545	1.9198694016556588	0.6701820032917539	1.0749409497390692	0.4016862274945601	0.6794513646036057	0.6525901229499832	2.8706141459979957	0.991453031800481	1.7917325919483327	1.2916684447058566	2.8769745137637535	2.161195080018202	0.711607465795328	1.9122657632183782	1.5097835843677094	1.826481382559888	1.940351298116336	2.6640069924551915	1.6113060780828727	1.8332912417532399	0.31887188882250644	1.5269884114537688	0.9648068280502367	2.016241748226854	2.8327112136159056	2.7442310220507755	0.6554269551008215	0.5765610666295224	0.25277066626840083	1.4397006347043837	0.7407164492033996	1.9909614529796145	2.0548984580105962	0.5455837453846188	2.6734457469306	1.990892529512101	2.664865706615886	1.6727977490702342	1.1190665577881878	1.5824065180007416	0.6644179660478917	0.3705529816130764	1.4901687420338827	1.2159917861560376	1.830416321210551	0.6981569637144411	2.562099118776503	0.9660528828424223	1.3770678535711849	1.8748235722938176	0.9127043462238317	0.9718990842835078	0.7033266046417803	1.2982581352719578	0.7315850324936518	0.7674373321828607	2.4198063551447975	1.529563669115258	2.576243245068725	2.411269086503162	2.0840204355402663	2.5912062356183463	0.7489896690427694	1.0534415710326552	2.585068503506798	0.8443527323749987	2.6363504571252934	0.8138366410248773	1.2875206504187153	0.8274141121189462	2.364372089838548	1.2863914135197454	0.8972318619090216	2.653448465690873	0.7187597916862831	2.6406284656912473	0.835536195420481	1.818094995549868	0.8565809826932954
806rcbc422-S327	3.0457741355807477	0.0	3.2322780361818495	2.9255717578501357	2.09775740482256	2.0736483571699686	0.07690160557018792	3.8480874035967676	3.7348317105337356	3.1850806406227865	2.498651478791898	0.38058545344123895	2.02066249037764	1.924979052836903	2.8033472711538336	3.9152175532033424	2.1224191881738075	3.131701433381998	3.2634173639826196	2.9403890065970066	2.1643596805027396	2.505263113653985	3.2944006177523315	3.487122287154635	3.884686733724395	2.2873754160632607	3.5125734347206254	3.2412000138946713	3.1808251197810393	3.9004491616389863	0.4417150071127401	3.2710233476593937	0.24245853897932287	2.461049087675204	1.9125819936883042	3.298414687501953	3.262326279665714	3.184519218869773	2.892660056409462	2.0311898153979127	3.3343644391952427	1.5953835757763	2.5034785412368885	2.1885577734319663	0.9475192831008573	2.1532219854646506	0.7311164351923304	3.2586191002404776	3.307737269989439	2.649272004350173	1.9725296556883998	2.9937389010126343	3.312180162705683	3.9624855792336233	3.4331302347867783	2.9831122446597376	3.2816033961424553	0.7615070261419828	2.671385102761627	1.6303895571270473	2.2471687034559573	2.0341985107417084	3.012816329924472	3.75438769389679	2.946867110445173	2.0830823217659358	3.322224029780473	1.4033891462424386	2.18762829709206	1.9930176024300315	1.569734672958762	3.0554535932297666	3.418156206045962	3.8613019719214323	3.3105418169512877	2.1044566853701197	0.8449093996786851	3.6567859619222225	3.562081795505085	3.238175536465546	2.2474868292543215	2.822953857651201	2.879410253719128	1.4016265656483506	3.0532743428999334	2.222187668809135	3.3276909960656824	1.9900412199527646	3.5376532653875303	2.5201585643315747	2.017813826413833	3.2468342154879832	3.3883554090757655	1.987636366569156	2.497699521653288	3.4844713981082416	3.427615635643709	2.320937471518026	2.389840727838289	2.9752603188180697	1.5129328011285343	2.6481319103164678	2.2923878674578706	2.6619059040872775	1.9409724540785978	2.5677665721854184	2.365207398455428	1.1996167539672322	1.699001716602592	1.2993980541062211	1.2603824373106998	1.2212247214419794	1.2498741147389905	2.417700019298343	2.2173295800774357	1.4069554205799497	2.4327658199426168	1.3724189349420255	2.706770828166771	1.9369696741331974	2.349960618523793	1.225375143294807	1.9554877953618097	2.301969298938452	1.3522428336705044	2.7212047154982764	1.2874556310122127	2.3367501947743037	1.7458756040095553	2.374552167295436
806rcbc392-S297	0.7101220279790846	3.2322780361818495	0.0	2.7616474862663316	1.270641148418607	1.308114146041349	3.207755706713881	1.5713311665982865	0.9901970081157839	0.0707745203095209	1.0720757836699053	3.0423535240998447	1.9863483524915633	1.451156786392159	0.4989281378589671	1.383333619053183	3.0856301656315948	1.2352363491156146	1.5670031645326237	2.4411507868934543	1.5706617570699528	1.7508308697536175	0.07819217043449633	0.7279235485827115	1.3266390615099766	3.193966239879611	2.0772119148932457	0.08284551911598458	1.6325981936243452	1.3989316096949072	2.902764525690702	0.05080778146990858	3.0634325192810237	1.5048246872629283	3.322633561778005	0.11168381479794248	0.5669045632585259	1.8083425900476184	1.8468830846687656	3.228391284014739	2.3142518694388428	1.7496592612243655	1.5982767836306317	3.345535822660523	2.715188021175003	3.197508819807982	2.9369652097567	0.06992861947838973	2.16872863644797	1.1071452492938867	1.8563277078316085	1.573593990875814	0.18329125777352256	1.5284787706799896	0.656506650455964	0.2585524128527832	0.18270555351683362	2.900999527493771	1.451236394062944	1.7251175517313784	1.102588685361574	3.380968507595522	1.783809456009759	0.9756923905505279	1.5428255271230946	1.8107017182776393	1.3387246859964452	1.9277073861536096	3.200005499433789	1.8862953258539628	1.7807272368762423	0.9868159860078006	2.1905497995681804	1.4302571471758403	1.6516093330662431	3.3583944370260683	2.7628298691464095	1.0713813443172335	0.9183765946527974	0.8673760685463754	1.8746991228611876	0.43336717346604414	1.624696994783204	2.0053291476703534	0.31134263028047116	3.2034896813835254	1.564221448604971	3.1696671620610544	2.327504384652363	1.4508399034716375	1.8647878837619976	0.05901300133930136	0.8225322404646083	1.7615752124937525	1.6488893305363588	2.503256112849261	0.2335747596022473	3.1069990914400516	1.245012778071868	2.0678075279530868	2.0421332971561514	1.436167307358078	1.3286901967979297	1.15916511388158	1.353860111716619	1.1689762957566296	1.116250244313674	2.370083308029241	1.8309630205826857	2.4755057459969643	2.3504492213981623	2.260499412861491	2.507150978213907	0.9190362948893858	1.4147225569297566	2.453505943885889	1.1573592149939618	2.5112567776666994	1.3448087860496634	1.344850192073766	1.1206942097845278	2.311033713747222	1.3980094384777024	1.0745636577902842	2.5331339222596148	1.2709679529539775	2.544904541313542	1.1006657553425825	1.955800953753425	1.0351903841708354
806rcbc477-S382	2.1253480046067548	2.9255717578501357	2.7616474862663316	0.0	2.8032407578100154	2.830201262295749	2.864890973729114	2.012968885343996	2.3838514299619713	2.766576050863931	1.8960844313301057	3.076907271274733	1.490968627044599	2.8206852460210476	2.75714486831092	2.270225974268684	1.038625706930637	1.659058218082645	3.89588253409704	0.3462328150428196	1.605325442592225	1.1473439782008577	2.7997346789659727	2.465895642451857	2.2682370289289877	1.0081652880326508	1.1785078002007718	2.71858322340839	3.9255022718878587	2.253445737427342	2.839832862850178	2.796456406958568	2.697512238572098	1.5788040504527148	1.3756066928003374	2.7236472459548673	2.479788769528402	3.9286682130957633	3.9341835560858867	1.2120106599624412	0.8007671667865311	2.77253329614187	1.2306421354217625	1.2180512686111469	3.2627246380214467	1.1115387787953133	3.2811169340570268	2.7268747534933824	0.8805750471224865	1.8295615021982	1.5359218412585074	3.7206308233550334	2.776851220305051	2.177061762780334	2.402974584229762	2.628104543230448	2.6627711260097855	3.2761453145359307	1.4112340260617555	2.7761263274649477	2.7826239597593485	1.3599520983391384	3.930215670701965	2.4587809149561464	3.7085266784588793	1.588463717807915	3.794053637929394	2.7516100609510508	1.0554779085300092	1.6583062248302023	2.7466703510728263	1.8378682817779401	0.9742225187896377	2.1372378963181173	3.8994890694148876	1.2580875612307074	3.219545087139675	2.2325268472676316	2.430335814270602	2.063029423927488	1.2287664390505386	2.5710114362473204	3.7459323903465505	2.868556144630599	2.4799317801670444	1.0512241284094728	3.9116639662457655	1.2185316539133324	0.9749480916603913	1.59102421270375	1.637290985702924	2.730619767639888	2.279943017659445	1.691114558606974	1.3193509323689299	0.8166649516347717	2.781033191553122	0.8854946110078964	1.7836565422293431	0.8565505223133952	2.630337932354655	1.3615626400573297	1.6687902618965014	1.6462786055008223	2.26246194078105	1.6598179237882795	1.8277671978672596	3.0388698937000878	1.7276914535136638	3.282190545452992	3.0305256618870753	2.636303530571629	3.2233486357597827	2.0950627923374046	1.6288745461251688	3.3637604364786537	1.791983624698912	3.398018739515824	1.4382060581893057	2.2688271183067057	1.8655240996932922	3.0439333550455987	2.1258082128516946	2.028182600742006	3.3799741307488027	1.4980871848440793	3.2709318721805745	1.9106666894524653	2.747444854060031	2.0195402033057888
GnotobioticExp-FP-199-S63	1.4479654676021252	2.09775740482256	1.270641148418607	2.8032407578100154	0.0	0.0636602920912732	2.088492944696834	2.4865125339613945	2.0852352112961734	1.2172937089741003	1.1281170206364701	1.84626894877443	1.6034856982175412	0.20935933479107763	0.7816937590631459	2.4074947765950316	2.676401931811196	1.853245741374038	1.4810694111283123	2.576226570127688	1.3104385462361157	1.772492458563904	1.3305505948179095	1.7757046722192005	2.359376696526331	2.827142277805864	2.628929153324727	1.2967152676178766	1.432480485541463	2.4077991527143223	1.770383383901123	1.299576849311339	1.969495908420824	1.478413468911715	2.7886481278992155	1.3652537026291416	1.5152971688471737	1.6022881558300555	1.3374922377527414	2.7550962040868976	2.69467300785298	0.511981478712566	1.6580839553235311	2.904078091858952	1.457155502133731	2.7753440995752667	1.692908159134231	1.3181436747227235	2.580659659836808	1.3098247039400899	1.4526871360964069	1.3065426623340377	1.3739458165512135	2.520257395568902	1.7160380329911002	1.0430774127170297	1.3685737056650777	1.6568415484583847	1.6405950441615211	0.48351681228253934	0.20784445421191755	2.872838487023822	1.4014049777172646	2.0832783711080527	1.228069334492301	1.4624895825286097	1.4142331578202911	0.7051757988933827	2.796797136379357	1.4581359879172315	0.5566350861139205	1.6364732176613637	2.654011667267463	2.4094426085392096	1.602663122699745	2.8882264970762175	1.5162653004472968	2.0866546133342183	1.9189227421689932	1.698280876337379	1.6922954938221204	0.8948472404478771	1.208948411959806	0.7602263509498136	1.2000063603904292	2.810004500177934	1.5372224688147462	2.6877972184998176	2.805807467933542	1.482447590430469	1.4586388110333985	1.3032563854470494	1.7672644646722746	1.332674893304547	1.6637650318588266	2.8983015640481704	1.4957779012115464	2.7775925161252304	1.1825615863239556	2.3322159080380844	1.1137313414593015	1.6301466313212583	1.2039120932665186	1.4123292940698364	0.6050594886594719	1.334820639990871	1.0677336599804514	1.134962227819795	1.2250298317758506	1.2184038168902862	1.1319054268856434	1.243615271706583	1.2653851614132974	0.8654739347031466	1.2224100030001288	1.1967959892221256	1.16173192843961	1.2498118306366273	1.6051909426952184	0.5839934206567536	1.0353698685101032	1.060496921927669	0.7656553630220332	0.8748938091579377	1.2770761481385489	1.5646720848517606	1.3095665283515692	0.9888065776745881	1.1107878895633663	0.9273913868711228
GnotobioticExp-FP-193-S57	1.4804100318042581	2.0736483571699686	1.308114146041349	2.830201262295749	0.0636602920912732	0.0	2.0645106643037465	2.5193906951020004	2.1209190765774997	1.2528912833771901	1.1778139534365775	1.817255003233425	1.6406793322210782	0.16074734052847697	0.8222233494235248	2.4404515329399086	2.694053046152199	1.886200177548605	1.4541543023415175	2.6068836885694684	1.3518096678008726	1.8118938095577721	1.3660239176929612	1.8043965619508373	2.3934279632516495	2.8472301378188356	2.6614275000594656	1.337035226414681	1.4024275373513397	2.43974018287845	1.7389633170949095	1.3377295393296982	1.950562954601923	1.5267658775075537	2.797351497280193	1.40282410455062	1.541114414852691	1.5638207198503877	1.2949409006187913	2.768947754285157	2.7251690048075785	0.4839847283245094	1.6951919591836597	2.921010080792533	1.4221692078664538	2.793013183206219	1.6589722402276432	1.3552071758292208	2.613347123535624	1.3612543054170259	1.4883370606400697	1.2709387160308032	1.4057513745949335	2.5543895862158643	1.7492302923114451	1.0845057356396468	1.4108240743626161	1.6213793204565616	1.6854194086284529	0.4634463012023881	0.21967408650245893	2.8862698561935693	1.3620080806994546	2.1162479586944274	1.193346286339135	1.5033540150597156	1.3986310478919441	0.682322969859178	2.813384505099581	1.4976000462154047	0.5438379922783385	1.6717308645547628	2.686465701886598	2.443792180785442	1.5721784843663533	2.9013489058339967	1.4803752875857585	2.1210118073816475	1.944577593693865	1.7315453524319944	1.7294980963782391	0.9404503540678316	1.1705994396089563	0.7386401871613317	1.2448111811691358	2.8282745524857527	1.5116174482411777	2.7027366087288835	2.8391019177296712	1.5314836002854484	1.498505920361143	1.3400214503037502	1.7963007001535591	1.3720438387505849	1.7071541336641167	2.9283732545009897	1.5316159339794302	2.7980484431852504	1.2304327202065803	2.3574788351454723	1.0698837819773892	1.6706251630862308	1.244922465704946	1.4558904522422733	0.6451734735296567	1.3773046839620426	1.1064519903862717	1.1182986236164827	1.2495502022013274	1.1949420303731497	1.1206874528122353	1.2027677374093857	1.2475698471236534	0.9098025900706277	1.2614368806692364	1.1718255778445095	1.207534287337181	1.2223555479056942	1.6461237516859013	0.6225218195252589	1.0779927235342195	1.038309952905662	0.8068945763836186	0.921117683318023	1.2529379480899194	1.6042413950903736	1.2935264883643407	1.0319448160480993	1.0622518852883074	0.975611541442227
806rcbc421-S326	3.0065389497141366	0.07690160557018792	3.207755706713881	2.864890973729114	2.088492944696834	2.0645106643037465	0.0	3.7981134053764474	3.694308164814997	3.160653494814328	2.4679339162791463	0.42225506894985443	1.987150320997295	1.9160246255615014	2.7850318188367194	3.8687891842508915	2.0663010371166046	3.0838118869269864	3.254213958010748	2.882440642727524	2.1302462943406644	2.4610359498888106	3.269305945828513	3.4482628992821787	3.839221668504931	2.2329654304477766	3.4555954851147765	3.216494381694827	3.174533972771658	3.8533498348436805	0.4166683714724201	3.24717726220413	0.20925814863914158	2.4279694184563554	1.852691268159895	3.27203840747581	3.225693088635861	3.1724097655845416	2.8915493652276374	1.9741964245789179	3.2748246589641172	1.589766729180988	2.4578645197174342	2.134976727797237	0.9805205993308909	2.098506012961484	0.7734304704554255	3.2326618000817793	3.2504062945157672	2.6176613254366945	1.9377038369266792	2.9828785100952424	3.284821645800706	3.9144952056940516	3.39561959216926	2.959438258602112	3.255754683524168	0.7994522069916423	2.631256079644045	1.6266519826279722	2.2331676026886464	1.9801028518964525	3.00819630744445	3.713743072541232	2.9381776380466724	2.051884598718907	3.3122197098330566	1.4003193971768266	2.1303367511860083	1.9643529837119214	1.5673074244586096	3.0121398765538374	3.3603876219149034	3.814026065139495	3.2973163172059707	2.047191980877563	0.875143054760721	3.613675949360501	3.5199460219538348	3.1961053196398734	2.205756434513163	2.8007373810270604	2.8732917211075613	1.4067526604514384	3.0264911645033217	2.1667260086514344	3.3173362034548783	1.9347626248801542	3.4795420060422435	2.486739187969157	1.9883808392754616	3.2210207750721427	3.346903850348819	1.9580346101726025	2.4580393872810777	3.423557137576233	3.400259273996195	2.2646947591550877	2.3581506010435263	2.915075471845588	1.4772642383725982	2.604647430741831	2.256115325260344	2.6231514472883912	1.921287355727708	2.5293379693986244	2.329090911872103	1.2240672599659803	1.6630570531590614	1.33287674024532	1.2856732158497741	1.1856184382978299	1.2849645715072147	2.3879760682929883	2.1803595701915404	1.4408162241776616	2.399167328037457	1.4080130835240248	2.663817911497731	1.916766315115729	2.3164672550502527	1.2458495869742325	1.9332111286797737	2.2732170983442743	1.3895951420498964	2.6779585831695685	1.325525399747089	2.304327423411019	1.7120338887724849	2.3458084342333914
GnotoExpt-FP452-S673	1.045942933843692	3.8480874035967676	1.5713311665982865	2.012968885343996	2.4865125339613945	2.5193906951020004	3.7981134053764474	0.0	0.6411276264127815	1.6030009348874987	1.6363265118866317	3.8016233600723406	2.2312417071296755	2.60551039723596	1.924195023587515	0.3002214211517235	2.8134014549272583	0.7267113609897904	2.880140911978833	1.6986398614048597	1.9220436786387676	1.6292836442689245	1.552883365665643	0.9247889073701717	0.3330899837967332	2.8619894407930686	0.8749277640920449	1.5351098138077444	2.9754933917840325	0.281152884994802	3.561490897556198	1.5885904534185402	3.638675483323882	1.7576799067332407	3.1146449872475177	1.4707899934427657	1.1483198250911797	2.9952331142406257	3.1847613718123986	2.987882004908741	1.2552699528455489	2.7989376097586627	1.501978142194398	3.0646806803251687	3.6822190383723616	2.922154668403113	3.8312470024388814	1.5037008235805547	1.1461927966867396	1.5356123897063314	2.155804853161538	2.839652003886932	1.484481337832326	0.18009748491538316	0.9285205210369727	1.6457572455454046	1.4552634765038133	3.8005886636055703	1.4330670354637047	2.7945918904810614	2.335860864763706	3.1610438007912496	3.098242047095819	0.6896559258600619	2.8535445854092023	2.1365625892988986	2.706453818242303	2.9181455296159244	2.8859486478102423	2.258676874926156	2.825869696763715	0.8748382230843381	1.0775184302119043	0.1840413941515105	2.8619398621370142	3.083172287365462	3.6847785316236927	0.5093956537906055	0.8061683015455138	0.7948604624292069	1.9127294945592201	1.738818858176698	2.9482163125208936	3.040714866476729	1.462488317151413	2.8904178678862458	2.857915787501482	2.9626304206626584	1.1572705322098427	1.692633648332205	2.2240943742972274	1.5158123149788127	0.8138888701926352	2.179310275016344	1.6672331499740671	1.3599983509638958	1.4214334414746186	2.7409681706946856	1.7204726568314996	1.2497239025485527	2.7535706805902977	1.3534007203463438	1.7085578762429894	1.3449920648333407	2.2463202544117338	1.4236121986563817	1.6148284415245588	3.3856844379266344	2.2706446371338695	3.5649472374147964	3.3753044090801128	2.950863977495069	3.566461972779136	1.706322243710423	1.7734673058833426	3.586067274443164	1.6261670244075779	3.636279892218687	1.2763702843966467	2.240999161442584	1.6781213029097866	3.339801937576705	2.189763359937405	1.808230819100831	3.6481275481639357	1.2243743250180101	3.6165881504626745	1.7076955410433818	2.7021867767440417	1.756278817912572
GnotoExpt-FP457-S678	0.6997637484772677	3.7348317105337356	0.9901970081157839	2.3838514299619713	2.0852352112961734	2.1209190765774997	3.694308164814997	0.6411276264127815	0.0	1.0308467010579427	1.3907497478956703	3.627745302017579	2.184243227564551	2.2331977106783008	1.4144687805947607	0.4048540218388098	3.022879673030324	0.779749815480243	2.3616671052221907	2.047567266227921	1.8076407736310653	1.6832344572892775	0.960345732330798	0.40934631871592925	0.34452630539725304	3.0945288973895053	1.3818677824690946	0.9557040387957252	2.458178279071079	0.43123548651790633	3.423269912235715	0.9984324314638362	3.537317078163455	1.6497066721757438	3.312655057220039	0.8815090391364657	0.6658650697660926	2.529875663064772	2.6975204580327365	3.1923061438749514	1.7223215691613698	2.4774569583906794	1.5346759711988505	3.2844538069216185	3.418083100461611	3.135654870997843	3.600934881439693	0.921272532126597	1.5849586531979627	1.3152570317615768	2.085767523014162	2.3588959831316605	0.8973513508852647	0.553667241078924	0.38625616180309913	1.1214419190520073	0.8760106228255966	3.567287375839089	1.4010512725176703	2.4647409278633545	1.919879748361175	3.3614386718411637	2.60752224156182	0.12193865657299235	2.362984783061356	2.047281676545853	2.1591560725400867	2.625065080939847	3.115467289216727	2.1600737952132563	2.5069119645699365	0.71824521487356	1.5548756870310687	0.47096280766117415	2.3718353471602343	3.304625960664491	3.43970801622679	0.1716986945258478	0.4012428342794994	0.5042474926260226	1.9292516327821558	1.2504134058684218	2.461263752962887	2.7326896918110233	0.9525806719071098	3.1179417227867527	2.3387411775887172	3.151787935466546	1.6619897412442084	1.5789951728521008	2.1282184288534904	0.9353122417525548	0.41178205185146904	2.0597665485540624	1.6564541709015532	1.8692075799367067	0.809093659990715	2.984010140664077	1.5257016061548805	1.610995989316422	2.5569376844397658	1.3490676727022453	1.561262130773808	1.2076480973634283	1.9555267137664405	1.2770484915138602	1.4083377263630945	3.0938551141717268	2.161870004720243	3.2456096511717325	3.0783101769022014	2.7755503273110147	3.2594306520564937	1.3978508881253167	1.6450809284431884	3.2483382884235055	1.42387919398937	3.302884203730477	1.2482626863971142	1.9492357460142633	1.454537806271913	3.0420440147799823	1.9313606789736422	1.5328893828738503	3.319060983174359	1.176504942356308	3.3046540623626606	1.4688949431026264	2.481350582740136	1.4757910313737064
806rcbc175-S272	0.7120786023731099	3.1850806406227865	0.0707745203095209	2.766576050863931	1.2172937089741003	1.2528912833771901	3.160653494814328	1.6030009348874987	1.0308467010579427	0.0	1.0692429595640458	2.991952564164276	1.9794049708561146	1.394979802314385	0.4519823974914523	1.4188342844162543	3.074562381327105	1.2483920775654103	1.508207032071312	2.4496195221455976	1.5625057598205279	1.7553645523021482	0.11366948891147055	0.7467694307713143	1.3637973554082345	3.1863058754861315	2.0980052847969404	0.1457795002243763	1.5725733058639138	1.4322794747865866	2.8509857437347508	0.11115826955977451	3.0189795364387426	1.5104512283057996	3.303844952813117	0.16748102687535937	0.5630410409924662	1.744734790424214	1.782518365663068	3.214028777747096	2.3290423798837914	1.6969667977273648	1.5993337266913965	3.3347561038180293	2.661544825597674	3.1868619798736986	2.883898639816052	0.11870074340687951	2.1856288436264024	1.1162446326381887	1.8453593588056667	1.508367581881634	0.18875849240403655	1.5651533957045372	0.6838097096770485	0.23223456515684168	0.2458613162101803	2.847156881471521	1.4621811581506126	1.6742725270424421	1.0448185775221948	3.3664532687937476	1.7199512606238327	1.0121096442161577	1.4779030093246965	1.8043843631932197	1.284636006027447	1.8771385066072233	3.1889193393014024	1.8778072622337865	1.7321434933914233	0.9986325517197855	2.209133563787855	1.4659255749351867	1.5916149064685785	3.344230884153389	2.7087437002184687	1.1055534180263953	0.9336954989386743	0.8838595075443207	1.872279824113989	0.40471189399284674	1.5594520666524674	1.9556256227276403	0.3290508503369791	3.1939191552843815	1.5066317618621232	3.1556266186439963	2.348495857255873	1.4584598859047146	1.8568836871901073	0.10179085246193915	0.8377293334215061	1.7504917673276195	1.6549148354545629	2.5194353659028326	0.2826864377638801	3.099904578040283	1.2409154935580293	2.071403734391699	1.981637230029443	1.4425993396114871	1.3187471309154248	1.1643775160756933	1.3201306123401682	1.1687544212041385	1.0996841752657611	2.323847989865176	1.8067244136232057	2.4267335053260406	2.3064745402994244	2.202625471982557	2.460952617641207	0.896367709436036	1.4030925129164167	2.4040497394236398	1.151542128999909	2.460850018335883	1.3526509501672466	1.3096636524812755	1.1059135217259985	2.262297137415158	1.370667749743467	1.0545567433152592	2.4842167241299804	1.2770939593605908	2.4996636855932177	1.0840509859013259	1.8919020475327386	1.0196996064280872
