"","feature","metadata","value","coef","stderr","N","N.not.0","pval","qval","Site"
"1","k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__Mitochondria.g__","Type","Mucosal",-3.74943131651643,0.469995819622175,89,41,8.31653199279848e-12,1.90171364901992e-09,"Duodenum"
"2","k__Bacteria.p__Cyanobacteria.c__Cyanobacteriia.o__Chloroplast.f__.g__","Type","Mucosal",-3.84417462602077,0.503725385480753,89,52,7.10380213784357e-10,1.21830206664017e-07,"Duodenum"
"3","k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__","Type","Mucosal",0.789867664289106,0.174057574381904,89,6,1.94959520732776e-05,0.000703906480119391,"Duodenum"
"4","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819","Type","Mucosal",-1.58133656589971,0.347915462038765,89,57,4.42704412352972e-05,0.0013804328494279,"Duodenum"
"5","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group","Type","Mucosal",-0.939161640082634,0.220296406719316,89,42,0.000106355281367651,0.00260570439350744,"Duodenum"
"6","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella","Type","Mucosal",2.25954815257713,0.545713428926687,89,84,0.000155607415479139,0.00363700485904081,"Duodenum"
"7","k__Bacteria.p__Firmicutes.c__Bacilli.o__Staphylococcales.f__Staphylococcaceae.g__Staphylococcus","Type","Mucosal",1.1004064912936,0.297817879048103,89,17,0.000398335262441834,0.00803699970691466,"Duodenum"
"8","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Fournierella","Type","Mucosal",-0.990434019381828,0.259831799271271,89,28,0.000428013967203731,0.00815604393060443,"Duodenum"
"9","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium..coprostanoligenes.group.g__","Type","Mucosal",0.762530142748415,0.199958211876557,89,11,0.000416473196008087,0.00815604393060443,"Duodenum"
"10","k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Citrobacter","Type","Mucosal",1.60759028352812,0.449485984545711,89,12,0.000590920083630787,0.0106676625623874,"Duodenum"
"11","k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group","Type","Mucosal",1.34162208212216,0.387997769512599,89,59,0.00120239999621463,0.0188846688619126,"Duodenum"
"12","k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__.Eubacterium..siraeum.group","Type","Mucosal",0.743397056620946,0.217268250173245,89,12,0.00136756281566283,0.02084773536766,"Duodenum"
"13","k__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae.g__Monoglobus","Type","Mucosal",-1.0439765310969,0.312561574786495,89,34,0.00170052596817884,0.0253600176993627,"Duodenum"
