metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site_General	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	SI	-2.34904748829095	0.2933768935308	52	52	6.34081047573101e-10	1.72470044939884e-07
Site_General	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	SI	-2.67118453119431	0.37112308546796	52	39	8.65760167757366e-09	1.17743382815002e-06
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__Family_XIII_UCG.001	SI	-1.77460853544974	0.265471085259378	52	21	4.5167160892832e-08	4.0951559209501e-06
Site_General	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	SI	3.35727398846982	0.530158150342026	52	43	1.44104317942398e-07	8.35235340051494e-06
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Acetatifactor	SI	1.73766969057788	0.275331513164385	52	12	1.53535908097701e-07	8.35235340051494e-06
Site_General	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group	SI	2.86460822390095	0.492848901597501	52	19	7.93429525794215e-07	3.50523726471235e-05
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor	SI	-1.99475086768546	0.346159999696369	52	37	9.31416503706016e-07	3.50523726471235e-05
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.004	SI	-1.5858145917964	0.276648094657502	52	40	1.0309521366801e-06	3.50523726471235e-05
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Christensenellaceae.g__	SI	-1.691895583343	0.313239769811253	52	28	3.06653265613337e-06	9.26774313853642e-05
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	SI	1.04760601140044	0.20230362021568	52	38	4.59074081420494e-06	0.000110717625744698
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__UBA1819	SI	-1.8309487341245	0.34850899698399	52	44	4.88460113579549e-06	0.000110717625744698
Site_General	k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	SI	-2.0438387657968	0.386126124451794	52	38	4.33875579903393e-06	0.000110717625744698
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	2015_Sept	-1.31051412205481	0.257603978019252	52	38	6.25771661436382e-06	0.000130930686085151
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium	SI	-1.07315571501613	0.209286377273744	52	52	7.60330392761623e-06	0.000147721333450829
Site_General	k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	SI	-1.37172271208582	0.273285615512353	52	41	1.05013188541869e-05	0.00019042391522259
Site_General	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9	SI	2.14340882990742	0.452540753872954	52	22	2.58845984229973e-05	0.000414153574767957
