metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	MGB034	Mucosal	-0.533970460919286	0.097133870253483	50	50	0.00000299316228401201	0.000413056395193657
Type	MGB015	Mucosal	-0.31590219617007	0.0653895054143183	50	50	0.0000235932630134107	0.00162793514792534
Site	MGB044	Distal_Colon	-3.61230687351747	0.787883234295192	50	29	0.0000503253606565583	0.00231496659020168
Sequencing_Run	MGB031	2015_Sept	1.00589409197902	0.188138154817255	50	50	0.000111181732766621	0.00383576978044844
Type	MGB055	Mucosal	-0.281194957029233	0.0714974251306294	50	50	0.000354092243638275	0.00901145598864023
Type	MGB049	Mucosal	-0.328347616745172	0.0842281767176978	50	50	0.000391802434288705	0.00901145598864023
Type	MGB044	Mucosal	-2.83179636088839	0.757236049939907	50	29	0.000621130882715036	0.0122451516878107
Type	MGB022	Mucosal	-0.279448600504236	0.0764551021329703	50	50	0.000791602339472407	0.013655140355899
Site	MGB034	Distal_Colon	-0.359607501229662	0.101064031832629	50	50	0.00104333496184294	0.0159978027482584
Sequencing_Run	MGB035	2014_Sept	-0.309502793052278	0.0902039824819339	50	50	0.00148906866803926	0.0189499679189557
Sequencing_Run	MGB044	2014_Sept	3.17728753632522	0.927320153125036	50	29	0.00151050468919212	0.0189499679189557
Type	MGB032	Mucosal	-0.233144195616126	0.070597641704131	50	50	0.00212804689761286	0.0244725393225478
Sequencing_Run	MGB031	2014_Sept	-0.534228063799708	0.175507011759577	50	50	0.00416822612509198	0.0432769928676176
Type	MGB047	Mucosal	-0.246906265518141	0.0813774374455963	50	50	0.00439041956628005	0.0432769928676176
Sequencing_Run	MGB036	2014_Sept	-0.242706107733294	0.0845837482673238	50	50	0.00674996450020487	0.0580091597562163
Sequencing_Run	MGB053	2015_Sept	-0.597235810671583	0.179383638316703	50	11	0.00646388626432829	0.0580091597562163
Type	MGB006	Mucosal	-0.21375404402832	0.0750682498639593	50	50	0.00714605591199766	0.0580091597562163
Type	MGB037	Mucosal	-0.199122302252063	0.0722113416788062	50	50	0.00898652240302419	0.0590542900770161
Sequencing_Run	MGB033	2014_Sept	-0.236532337059027	0.0854623613830048	50	50	0.00875552643796689	0.0590542900770161
Sequencing_Run	MGB040	2014_Sept	-0.353616154132515	0.127711747451748	50	50	0.00867950786884244	0.0590542900770161
Type	MGB043	Mucosal	-0.189126701435951	0.0675519656866831	50	50	0.00807129059150246	0.0590542900770161
Sequencing_Run	MGB029	2014_Sept	-0.230500126918916	0.0853157236910093	50	50	0.0103376309917558	0.0648451398573772
Type	MGB005	Mucosal	-0.177739131601656	0.069283551061169	50	50	0.0144820894832026	0.0868925368992157
Type	MGB038	Mucosal	-0.279004754033822	0.114226482982832	50	49	0.0194679073091589	0.111940467027664
Site	MGB053	Proximal_Colon	-0.268328075825024	0.111174529956012	50	11	0.0208542611409404	0.115115521497991
Sequencing_Run	MGB007	2014_Sept	-0.19940904461979	0.0882307305290424	50	50	0.0297750951742627	0.15273626031196
Type	MGB007	Mucosal	-0.162721947572892	0.0720481266430028	50	50	0.0298831813653835	0.15273626031196
Sequencing_Run	MGB053	2014_Sept	-0.33965355813559	0.156400617713315	50	11	0.0361475181346658	0.178155625092282
Type	MGB031	Mucosal	0.305880608015035	0.143605042141414	50	50	0.0395926408806857	0.188406360052918
Type	MGB033	Mucosal	-0.131999844099335	0.0697879147502372	50	50	0.0663923411094828	0.286316971034645
Site	MGB049	Distal_Colon	-0.166653237808793	0.0876380353619824	50	50	0.0650165858897904	0.286316971034645
Type	MGB029	Mucosal	-0.133153158918995	0.0696682610369205	50	50	0.0637220831249967	0.286316971034645
Type	MGB036	Mucosal	-0.128475484692032	0.0690705497611983	50	50	0.0708189311148616	0.287925702528084
Sequencing_Run	MGB052	2014_Sept	-0.192322533224156	0.103511154434499	50	50	0.0711188748394958	0.287925702528084
Sequencing_Run	MGB045	2014_Sept	-0.192759893300479	0.104482068905446	50	50	0.0730246346991518	0.287925702528084
Sequencing_Run	MGB043	2014_Sept	-0.150117015398915	0.0827238907692539	50	50	0.0776632764792383	0.297709226503747
Site	MGB034	Proximal_Colon	-0.148447899543973	0.0839324284956789	50	50	0.0851865823608922	0.309361799100082
Site	MGB043	Proximal_Colon	-0.103559199210354	0.058376262236055	50	50	0.084283327095746	0.309361799100082
Type	MGB052	Mucosal	-0.144834827158654	0.0845264575559633	50	50	0.0949698013238697	0.312338730989251
Site	MGB032	Proximal_Colon	-0.104561731581421	0.0610064835927497	50	50	0.094895954177668	0.312338730989251
Sequencing_Run	MGB005	2014_Sept	-0.145338745169542	0.084844901341797	50	50	0.0950596137793372	0.312338730989251
Type	MGB045	Mucosal	-0.149279732090625	0.0853238745777544	50	50	0.0884445540894842	0.312338730989251
Sequencing_Run	MGB006	2014_Sept	-0.154685647962867	0.0919305151263096	50	50	0.100850698506513	0.323660381253461
Sequencing_Run	MGB037	2014_Sept	-0.147694717921256	0.0884308892408148	50	50	0.103304733932817	0.324001210971106
Site	MGB022	Proximal_Colon	-0.108818049602427	0.0660663133793475	50	50	0.107995935126056	0.331187534386573
Sequencing_Run	MGB032	2014_Sept	-0.138047510473946	0.0864540828824887	50	50	0.118799510250331	0.356398530750992
Sequencing_Run	MGB038	2014_Sept	0.216593595503056	0.139878409012119	50	49	0.130005656754601	0.381718736853936
Site	MGB036	Proximal_Colon	-0.0881798828982319	0.0596878071226288	50	50	0.148032357624578	0.400920551244376
Sex	MGB031	Male	-0.222432265435589	0.132496811236863	50	50	0.144115226976642	0.400920551244376
Type	MGB053	Mucosal	-0.188808527069693	0.1279104843744	50	11	0.148166290677269	0.400920551244376
Site	MGB022	Distal_Colon	-0.119968434102197	0.0795497917117375	50	50	0.140008162773913	0.400920551244376
Site	MGB033	Proximal_Colon	-0.0863184641351886	0.0603072417306339	50	50	0.160723130665011	0.418486642108896
Site	MGB029	Proximal_Colon	-0.0861883694701847	0.0602042538799398	50	50	0.160641086419297	0.418486642108896
Site	MGB015	Distal_Colon	-0.0943972928214592	0.0680395930491781	50	50	0.173604748129661	0.418515916709898
Site	MGB055	Proximal_Colon	-0.085851166666284	0.0617816443512313	50	50	0.172949870284215	0.418515916709898
Site	MGB005	Proximal_Colon	-0.0821208092125488	0.0598707038431531	50	50	0.178427549028862	0.418515916709898
Sex	MGB049	Male	-0.577622582445185	0.382323767651658	50	50	0.181527375464237	0.418515916709898
Site	MGB049	Proximal_Colon	-0.103063402525231	0.0727841484758002	50	50	0.165125678621058	0.418515916709898
Site	MGB006	Proximal_Colon	-0.0882324611446306	0.0648632540550856	50	50	0.181963442047782	0.418515916709898
Site	MGB045	Proximal_Colon	-0.103705666688407	0.0737534031987114	50	50	0.168013899940383	0.418515916709898
Site	MGB035	Proximal_Colon	-0.0853860962451607	0.0636575348628502	50	50	0.187975363768912	0.425255740985408
Site	MGB015	Proximal_Colon	-0.0742384454866585	0.056510313292415	50	50	0.19701832367591	0.431563947099612
Sex	MGB022	Male	-0.515101405526433	0.354565276446803	50	50	0.196443346262051	0.431563947099612
Site	MGB006	Distal_Colon	-0.100769471911004	0.0781042343166716	50	50	0.204978497245899	0.441984884686471
Sex	MGB035	Male	-0.409435948796214	0.29894800353424	50	50	0.219770041646488	0.45511960316193
Site	MGB031	Proximal_Colon	-0.156552298992838	0.124984940596076	50	50	0.218082438728119	0.45511960316193
Site	MGB007	Proximal_Colon	-0.0775095487582056	0.062258483295443	50	50	0.220963865303256	0.45511960316193
Site	MGB055	Distal_Colon	-0.0880646383273193	0.0743910855214233	50	50	0.244026510169135	0.495230270637363
Sex	MGB032	Male	-0.397432630721057	0.31328949466888	50	50	0.251516726903596	0.503033453807191
Sex	MGB015	Male	-0.308330084894298	0.261193401894564	50	50	0.282424078027808	0.509515405320431
Site	MGB037	Distal_Colon	-0.078525980386048	0.0751338419273646	50	50	0.302723470090309	0.509515405320431
Site	MGB037	Proximal_Colon	-0.0648451970703443	0.0623984490696862	50	50	0.305442818814567	0.509515405320431
Sex	MGB038	Male	-0.49625859243271	0.425854655591867	50	49	0.288376815214967	0.509515405320431
Sex	MGB033	Male	-0.352314774942072	0.306072360748133	50	50	0.293421041183347	0.509515405320431
Sex	MGB036	Male	-0.352452416417277	0.299440049353948	50	50	0.283676330486272	0.509515405320431
Sex	MGB007	Male	-0.375434659814172	0.331333617003533	50	50	0.300349342927811	0.509515405320431
Sex	MGB029	Male	-0.357913155680418	0.302533685342712	50	50	0.281459190063535	0.509515405320431
Sequencing_Run	MGB047	2014_Sept	-0.104625328470647	0.0996552751450069	50	50	0.300568135575148	0.509515405320431
Sex	MGB047	Male	-0.408736974579612	0.367743363378712	50	50	0.308858774711364	0.509515405320431
Site	MGB047	Distal_Colon	-0.092381350247627	0.084671998319219	50	50	0.282292469967387	0.509515405320431
Site	MGB047	Proximal_Colon	-0.0723621214189892	0.0703209374638396	50	50	0.310139811934176	0.509515405320431
Sequencing_Run	MGB040	2015_Sept	0.244145367644623	0.217294312775904	50	50	0.293147579289671	0.509515405320431
Site	MGB040	Distal_Colon	0.119472770969198	0.108649250004273	50	50	0.278518285525618	0.509515405320431
Sex	MGB043	Male	-0.330455950062642	0.287605587514007	50	50	0.294228231356159	0.509515405320431
Sex	MGB037	Male	-0.366999347156968	0.341683853470389	50	50	0.324016911082774	0.510871185248663
Sex	MGB052	Male	-0.398096600877305	0.369501560185522	50	50	0.322650195786966	0.510871185248663
Sex	MGB005	Male	-0.323287181890935	0.309145378202533	50	50	0.335903738218048	0.510871185248663
Site	MGB005	Distal_Colon	-0.0706761130653737	0.0720887640077719	50	50	0.333241853971212	0.510871185248663
Sex	MGB006	Male	-0.415396842608614	0.398073862416668	50	50	0.336878825055278	0.510871185248663
Sex	MGB044	Male	3.86440953418584	3.57095189066251	50	29	0.320729719712815	0.510871185248663
Site	MGB043	Distal_Colon	-0.0689964388721234	0.0702881109775244	50	50	0.332647717554012	0.510871185248663
