metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	MGB034	Mucosal	-0.533970460919286	0.097133870253483	50	50	0.00000299316228401201	0.000413056395193657
Type	MGB015	Mucosal	-0.31590219617007	0.0653895054143183	50	50	0.0000235932630134107	0.00162793514792534
Site	MGB044	Distal_Colon	-3.61230687351747	0.787883234295192	50	29	0.0000503253606565583	0.00231496659020168
Sequencing_Run	MGB031	2015_Sept	1.00589409197902	0.188138154817255	50	50	0.000111181732766621	0.00383576978044844
Type	MGB055	Mucosal	-0.281194957029233	0.0714974251306294	50	50	0.000354092243638275	0.00901145598864023
Type	MGB049	Mucosal	-0.328347616745172	0.0842281767176978	50	50	0.000391802434288705	0.00901145598864023
Type	MGB044	Mucosal	-2.83179636088839	0.757236049939907	50	29	0.000621130882715036	0.0122451516878107
Type	MGB022	Mucosal	-0.279448600504236	0.0764551021329703	50	50	0.000791602339472407	0.013655140355899
Site	MGB034	Distal_Colon	-0.359607501229662	0.101064031832629	50	50	0.00104333496184294	0.0159978027482584
Sequencing_Run	MGB035	2014_Sept	-0.309502793052278	0.0902039824819339	50	50	0.00148906866803926	0.0189499679189557
Sequencing_Run	MGB044	2014_Sept	3.17728753632522	0.927320153125036	50	29	0.00151050468919212	0.0189499679189557
Type	MGB032	Mucosal	-0.233144195616126	0.070597641704131	50	50	0.00212804689761286	0.0244725393225478
Sequencing_Run	MGB031	2014_Sept	-0.534228063799708	0.175507011759577	50	50	0.00416822612509198	0.0432769928676176
Type	MGB047	Mucosal	-0.246906265518141	0.0813774374455963	50	50	0.00439041956628005	0.0432769928676176
Sequencing_Run	MGB036	2014_Sept	-0.242706107733294	0.0845837482673238	50	50	0.00674996450020487	0.0580091597562163
Sequencing_Run	MGB053	2015_Sept	-0.597235810671583	0.179383638316703	50	11	0.00646388626432829	0.0580091597562163
Type	MGB006	Mucosal	-0.21375404402832	0.0750682498639593	50	50	0.00714605591199766	0.0580091597562163
Type	MGB037	Mucosal	-0.199122302252063	0.0722113416788062	50	50	0.00898652240302419	0.0590542900770161
Sequencing_Run	MGB033	2014_Sept	-0.236532337059027	0.0854623613830048	50	50	0.00875552643796689	0.0590542900770161
Sequencing_Run	MGB040	2014_Sept	-0.353616154132515	0.127711747451748	50	50	0.00867950786884244	0.0590542900770161
Type	MGB043	Mucosal	-0.189126701435951	0.0675519656866831	50	50	0.00807129059150246	0.0590542900770161
Sequencing_Run	MGB029	2014_Sept	-0.230500126918916	0.0853157236910093	50	50	0.0103376309917558	0.0648451398573772
Type	MGB005	Mucosal	-0.177739131601656	0.069283551061169	50	50	0.0144820894832026	0.0868925368992157
Type	MGB038	Mucosal	-0.279004754033822	0.114226482982832	50	49	0.0194679073091589	0.111940467027664
Site	MGB053	Proximal_Colon	-0.268328075825024	0.111174529956012	50	11	0.0208542611409404	0.115115521497991
Sequencing_Run	MGB007	2014_Sept	-0.19940904461979	0.0882307305290424	50	50	0.0297750951742627	0.15273626031196
Type	MGB007	Mucosal	-0.162721947572892	0.0720481266430028	50	50	0.0298831813653835	0.15273626031196
Sequencing_Run	MGB053	2014_Sept	-0.33965355813559	0.156400617713315	50	11	0.0361475181346658	0.178155625092282
Type	MGB031	Mucosal	0.305880608015035	0.143605042141414	50	50	0.0395926408806857	0.188406360052918
