feature,metadata,value,coef,stderr,N,N.not.0,pval,qval,V1,Genus,Phylum
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Acetatifactor,Site_General,SI,-1.771015419,0.4176592486,51,37,0.0001271325413,0.001374914891,0.003078648773,Acetatifactor,Firmicutes
k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia,Site_General,SI,2.565379824,0.5817129974,51,42,7.46E-05,0.0009082010489,0.04070510871,Akkermansia,Verrucomicrobia
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes,Site_General,SI,-1.642255328,0.3672334633,51,51,6.23E-05,0.0008821030234,0.02364017121,Alistipes,Bacteroidetes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella,Site_General,SI,-3.169832344,0.5236009214,51,48,3.78E-07,5.51E-05,0.06435551979,Alloprevotella,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes,Site_General,SI,0.958100447,0.3248359124,51,7,0.005280088285,0.03358205575,7.42E-05,Anaerostipes,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Angelakisella,Site_General,SI,-0.9503091298,0.3442530775,51,9,0.008653151114,0.04859077164,0.0001401067483,Angelakisella,Firmicutes
k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila,Site_General,SI,1.533018614,0.4982161578,51,9,0.003757084188,0.02493337689,0.000971719641,Bilophila,Proteobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia,Site_General,SI,2.996491327,0.4851132305,51,15,2.58E-07,5.51E-05,0.001071446957,Blautia,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Butyricicoccus,Site_General,SI,-1.060789882,0.3447895029,51,10,0.003747690541,0.02493337689,0.0001037104957,Butyricicoccus,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Candidatus_Stoquefichus,Site_General,SI,1.802662572,0.3981323461,51,9,5.17E-05,0.0008379908199,0.0002122787172,Candidatus_Stoquefichus,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Eisenbergiella,Site_General,SI,2.063674138,0.4172969972,51,13,1.39E-05,0.0002703082285,0.0003659780975,Eisenbergiella,Firmicutes
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.Shigella,Site_General,SI,1.729779294,0.5948690409,51,25,0.005906739902,0.03593266774,0.009255564843,Escherichia.Shigella,Proteobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium,Site_General,SI,2.954753634,0.521418005,51,14,1.37E-06,6.92E-05,0.001956807636,Faecalibacterium,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Flavonifractor,Site_General,SI,1.597517373,0.3740567663,51,6,0.0001151952264,0.001293731005,0.0001549095717,Flavonifractor,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania,Site_General,SI,1.659538359,0.3731514679,51,11,6.65E-05,0.0008821030234,0.0001678371778,Holdemania,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Intestinimonas,Site_General,SI,-2.205139358,0.3911844872,51,42,1.48E-06,6.92E-05,0.001483982229,Intestinimonas,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_FCS020_group,Site_General,SI,-1.83446127,0.4201994273,51,29,8.59E-05,0.001003085354,0.00101662617,Lachnospiraceae_FCS020_group,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_ND3007_group,Site_General,SI,0.9181512767,0.2862028965,51,7,0.00261850046,0.01911505335,5.95E-05,Lachnospiraceae_ND3007_group,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_NK4A136_group,Site_General,SI,-1.217687129,0.4311889726,51,51,0.007332368205,0.04282103032,0.08270168652,Lachnospiraceae_NK4A136_group,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.004,Site_General,SI,-1.590840144,0.3551147833,51,42,5.97E-05,0.0008821030234,0.001261530576,Lachnospiraceae_UCG.004,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_UCG.006,Site_General,SI,-1.840980418,0.3304924351,51,22,1.85E-06,6.92E-05,0.0003770090592,Lachnospiraceae_UCG.006,Firmicutes
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Lactobacillus,Site_General,SI,2.127340753,0.4764750564,51,48,6.36E-05,0.0008821030234,0.06607341298,Lactobacillus,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Millionella,Site_General,SI,-1.153640344,0.3440787476,51,13,0.001755638064,0.01349069249,0.0008004260009,Millionella,Bacteroidetes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__Muribaculum,Site_General,SI,-1.215040928,0.4385029484,51,43,0.008506612878,0.04859077164,0.001950975406,Muribaculum,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Negativibacillus,Site_General,SI,1.001456692,0.3227127805,51,7,0.00349823899,0.02432109012,0.000135538741,Negativibacillus,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter,Site_General,SI,-1.438973789,0.3808672545,51,38,0.0005139831477,0.004288087975,0.004395602041,Odoribacter,Bacteroidetes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Oscillibacter,Site_General,SI,-2.301304203,0.4909454679,51,43,3.11E-05,0.0005336319839,0.003491173714,Oscillibacter,Firmicutes
k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella,Site_General,SI,2.129334666,0.6010021311,51,19,0.001020647481,0.00805483958,0.009852238492,Paraprevotella,Bacteroidetes
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Betaproteobacteriales.f__Burkholderiaceae.g__Parasutterella,Site_General,SI,2.721896857,0.5092872054,51,26,2.74E-06,8.01E-05,0.004013845888,Parasutterella,Proteobacteria
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae.g__Romboutsia,Site_General,SI,1.863808258,0.4753395964,51,9,0.0003350757695,0.00315619757,0.0006634155468,Romboutsia,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium,Site_General,SI,-2.121247569,0.4102409148,51,45,6.72E-06,0.0001621703474,0.004316940778,Ruminiclostridium,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5,Site_General,SI,-1.589592363,0.2847154959,51,45,1.21E-06,6.92E-05,0.002314364374,Ruminiclostridium_5,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_9,Site_General,SI,-2.460275287,0.4766151751,51,45,6.87E-06,0.0001621703474,0.00680513502,Ruminiclostridium_9,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.003,Site_General,SI,-1.041440548,0.248350651,51,7,0.0001469201206,0.001532166972,0.0001534922327,Ruminococcaceae_UCG.003,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.004,Site_General,SI,1.426665488,0.3761490075,51,7,0.0004885865527,0.004196096276,0.0001147900218,Ruminococcaceae_UCG.004,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.005,Site_General,SI,-1.461059277,0.374998418,51,18,0.0003622365641,0.003305408647,0.0005033277652,Ruminococcaceae_UCG.005,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.009,Site_General,SI,-1.627359127,0.4283299039,51,24,0.0004243376068,0.003754744884,0.0004629312047,Ruminococcaceae_UCG.009,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.010,Site_General,SI,-1.063818136,0.2670629563,51,14,0.0002792461167,0.002717995536,0.0005017996415,Ruminococcaceae_UCG.010,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Shuttleworthia,Site_General,SI,-1.041293954,0.3301989691,51,12,0.003052318554,0.02173846384,0.0005942990068,Shuttleworthia,Firmicutes
k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter,Site_General,SI,1.677963103,0.3791284947,51,11,7.14E-05,0.0009058844764,0.0002229651999,Turicibacter,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__UBA1819,Site_General,SI,2.307394198,0.4168047663,51,14,2.07E-06,6.92E-05,0.0003549214935,UBA1819,Firmicutes
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.g__,Site_General,SI,-1.532200496,0.30734561,51,12,1.24E-05,0.0002576962025,0.0002503099949,Clostridiales (o),Firmicutes
