metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sequencing_Run	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	2015_Sept	-2.50692527335919	0.453751055296133	53	53	1.48275162047755e-06	0.000498204544480457
Sequencing_Run	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae_RC9_gut_group	2015_Sept	-5.24019843306441	1.01381495598037	53	37	4.9783699689748e-06	0.000836366154787766
Site	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	Distal_Colon	1.64223253321691	0.340812907001998	53	6	1.61162107552153e-05	0.000857813381893774
Type	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	Mucosal	1.50576152869341	0.314521392371271	53	6	1.7871112122787e-05	0.000857813381893774
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae_1.g__Candidatus_Arthromitus	2015_Sept	-3.02412592475661	0.626638268492458	53	21	1.5725577567795e-05	0.000857813381893774
Sex	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Family_XIII.g__	Male	1.04602162868136	0.210855037137828	53	41	1.00231308516157e-05	0.000857813381893774
Sex	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae.g__Escherichia.Shigella	Male	2.3137739536656	0.477245458719815	53	20	1.46037217322579e-05	0.000857813381893774
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminiclostridium_5	2015_Sept	-1.33339783266037	0.298205816252254	53	53	5.05336240011323e-05	0.00212241220804756
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Alicyclobacillaceae.g__Tumebacillus	2014_Sept	-1.67833534218409	0.382454555326152	53	6	6.61706424711194e-05	0.00230103597962896
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__GCA.900066575	2015_Sept	-1.78821321768381	0.408481949697789	53	48	6.84832136794334e-05	0.00230103597962896
Sequencing_Run	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_UCG.003	2015_Sept	2.33345150543809	0.54241037629857	53	14	8.74094270306192e-05	0.00266996068020801
