metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sex	MF0024	Male	5.2674524591142	1.20047175392875	15	8	0.00136068507552903	0.153385877185222
Sequencing_Run	MF0079	2014_Sept	-3.77233209922978	0.633597298347034	15	2	0.00149401828427164	0.153385877185222
Type	MF0012	Mucosal	0.949913073599311	0.146987553275983	15	8	0.00131921609120501	0.153385877185222
Type	MF0025	Mucosal	-1.35047092079666	0.272148682529622	15	11	0.00402550889033	0.155333316259325
Sequencing_Run	MF0072	2014_Sept	-1.96594852795608	0.451863077784765	15	6	0.0024113787849319	0.155333316259325
Sequencing_Run	MF0085	2014_Sept	-3.03704230650136	0.624826057767869	15	4	0.00291275152677289	0.155333316259325
Sequencing_Run	MF0012	2014_Sept	-1.16243436897974	0.224142515822037	15	8	0.00343443853972886	0.155333316259325
Sex	MF0009	Male	-1.2483802496521	0.242115619805727	15	15	0.00403463159115129	0.155333316259325
Sequencing_Run	MF0025	2014_Sept	1.77111823360172	0.405790759411273	15	11	0.00550312403305163	0.188329133575545
Sequencing_Run	MF0014	2014_Sept	-1.04619445749015	0.321898083299248	15	13	0.00879108551190304	0.270765433766614
Sequencing_Run	MF0058	2014_Sept	-2.10138053234853	0.669216015238029	15	2	0.0107301583651661	0.300444434224652
Sex	MF0046	Male	-1.451659401679	0.377131569947378	15	15	0.0144587628402427	0.318092782485339
Sex	MF0096	Male	-0.965950969392764	0.258136171486293	15	15	0.0137612039610947	0.318092782485339
Sex	MF0051	Male	-1.1905664827983	0.311433436383355	15	15	0.0139375034685784	0.318092782485339
Type	MF0019	Mucosal	-1.72034940887334	0.498603578656913	15	10	0.0186423067353641	0.347400062401384
Type	MF0079	Mucosal	1.33010716070197	0.419052377421484	15	2	0.0236863678910035	0.347400062401384
Type	MF0085	Mucosal	1.37605034229416	0.421613210207397	15	4	0.0208598209182242	0.347400062401384
Sex	MF0044	Male	-0.977430703944457	0.289668027086564	15	15	0.0199965859771316	0.347400062401384
Type	MF0058	Mucosal	1.4796282948774	0.512589307582948	15	2	0.0235003582458027	0.347400062401384
Type	MF0056	Mucosal	-1.97665021442963	0.616261778328287	15	10	0.0218070851482768	0.347400062401384
Sex	MF0010	Male	-1.04330060709953	0.295041150239519	15	15	0.0177415887674255	0.347400062401384
Sequencing_Run	MF0103	2014_Sept	1.2329981064372	0.489793911942795	15	15	0.0440797218018032	0.397905986598353
Type	MF0101	Mucosal	-1.47277518662346	0.547271331775316	15	11	0.0374317975706995	0.397905986598353
Sequencing_Run	MF0022	2014_Sept	0.737127580403027	0.284128284839919	15	15	0.0441897350069874	0.397905986598353
Sex	MF0066	Male	-1.21501948105533	0.389494350463394	15	15	0.0338524975409933	0.397905986598353
Sex	MF0018	Male	-1.10118842065782	0.407788615310315	15	15	0.0510654684246137	0.397905986598353
Sequencing_Run	MF0031	2014_Sept	0.708510171879159	0.284326212804294	15	15	0.0505226777574023	0.397905986598353
Sequencing_Run	MF0073	2014_Sept	0.565006757739658	0.217553964189491	15	15	0.0436546197951646	0.397905986598353
Sex	MF0070	Male	-1.39313883872728	0.519115868993973	15	15	0.048029244649968	0.397905986598353
Sequencing_Run	MF0076	2014_Sept	-1.77711924929963	0.684050240646626	15	9	0.0431544096999505	0.397905986598353
Type	MF0076	Mucosal	1.1760237420707	0.458881430591927	15	9	0.0495724005196482	0.397905986598353
Sex	MF0086	Male	-1.05442144165758	0.39434992952963	15	15	0.0486558445234231	0.397905986598353
Sex	MF0002	Male	-1.02138440179813	0.35344229760979	15	15	0.0358668690056508	0.397905986598353
Type	MF0088	Mucosal	-1.44945693111481	0.56098263730582	15	10	0.0478298980896794	0.397905986598353
Sequencing_Run	MF0096	2014_Sept	0.669049945394443	0.300180686932217	15	15	0.0516761021556302	0.397905986598353
Type	MF0050	Mucosal	-0.251514677079931	0.0961545155255283	15	15	0.0471717746578213	0.397905986598353
Sex	MF0090	Male	-1.10552015134442	0.423776197615864	15	15	0.0488488093122785	0.397905986598353
Sex	MF0017	Male	-1.05848419330243	0.379970227673822	15	15	0.0410963341361468	0.397905986598353
Sex	MF0058	Male	1.57977713531648	0.529678327437657	15	2	0.0321271874463674	0.397905986598353
Type	MF0015	Mucosal	0.796164697337515	0.294964311680638	15	14	0.0423462169936828	0.397905986598353
Type	MF0063	Mucosal	-0.754022031064887	0.328091658616101	15	14	0.0617743210622996	0.400224773137672
Sex	MF0020	Male	-1.21419770871331	0.546925237969721	15	15	0.0780869382999122	0.400224773137672
Sequencing_Run	MF0061	2014_Sept	-0.618221822083979	0.305134182205114	15	15	0.0702649681121502	0.400224773137672
Sequencing_Run	MF0060	2014_Sept	-1.11831491549961	0.568090862120542	15	7	0.0773305834448709	0.400224773137672
Sequencing_Run	MF0028	2014_Sept	0.883824247952287	0.410049758158419	15	15	0.0722441384527694	0.400224773137672
Type	MF0102	Mucosal	-3.1665340346064	1.53905752035775	15	3	0.0666713717647107	0.400224773137672
Sex	MF0067	Male	-0.809902940863505	0.354245156485245	15	15	0.0736822885466699	0.400224773137672
Sex	MF0068	Male	-0.870334715970378	0.378535493404176	15	15	0.0728771077213507	0.400224773137672
Type	MF0072	Mucosal	0.757111988187931	0.322463737773871	15	6	0.0580745944193952	0.400224773137672
Sequencing_Run	MF0035	2014_Sept	0.760731532739729	0.34667240717129	15	15	0.0702522894749178	0.400224773137672
Sequencing_Run	MF0045	2014_Sept	0.768689343347748	0.327261267899432	15	15	0.0584125017317165	0.400224773137672
Sequencing_Run	MF0046	2014_Sept	0.75737237822977	0.355320349586531	15	15	0.0672084353404742	0.400224773137672
Sequencing_Run	MF0050	2014_Sept	0.315854586876828	0.145095454646175	15	15	0.0785750642828079	0.400224773137672
Sex	MF0050	Male	-0.850145863945569	0.351439635974605	15	15	0.0626204351160382	0.400224773137672
Sequencing_Run	MF0051	2014_Sept	0.724080753696965	0.340596987588124	15	15	0.0629585874744516	0.400224773137672
Sequencing_Run	MF0095	2014_Sept	0.967951197569278	0.420133416443294	15	15	0.0580270376285461	0.400224773137672
Type	MF0090	Mucosal	-0.202114332375507	0.0825246376550219	15	15	0.0578957915234267	0.400224773137672
Sequencing_Run	MF0015	2014_Sept	-0.968412528500159	0.446039845994713	15	14	0.0792652959785649	0.400224773137672
Sex	MF0011	Male	-0.977320913352764	0.433101354469094	15	15	0.0778237411846	0.400224773137672
Sex	MF0055	Male	0.954285633435258	0.402244328255324	15	12	0.0661094685492192	0.400224773137672
Sequencing_Run	MF0007	2014_Sept	-2.23344678683682	0.958860126239238	15	9	0.0627948305803631	0.400224773137672
Sex	MF0065	Male	-0.964271779189843	0.436504189261249	15	15	0.0825130346671571	0.403397058372768
Sex	MF0006	Male	-0.751734811142177	0.307653142849871	15	15	0.0824420986526811	0.403397058372768
Sequencing_Run	MF0060	2015_Sept	-1.57575454967195	0.849878974531598	15	7	0.0934160484288646	0.405241449522399
Type	MF0103	Mucosal	-0.708210047078276	0.335160619874709	15	15	0.0866549690672248	0.405241449522399
Sequencing_Run	MF0019	2014_Sept	1.45812735028149	0.720522854065953	15	10	0.0868631117521271	0.405241449522399
Sequencing_Run	MF0072	2015_Sept	-1.51657697411616	0.778487338856478	15	6	0.0885762376426469	0.405241449522399
Sex	MF0071	Male	-0.870405767516199	0.413423004322073	15	15	0.0917148035503127	0.405241449522399
Sex	MF0029	Male	1.02048872328842	0.546064167163907	15	12	0.0911864931001343	0.405241449522399
Sequencing_Run	MF0047	2014_Sept	0.50579739631396	0.251676192862293	15	15	0.0928777523071538	0.405241449522399
Type	MF0007	Mucosal	1.36289146574472	0.639957496698084	15	9	0.0858587474548817	0.405241449522399
Sex	MF0008	Male	-1.44517204849479	0.700226487849959	15	14	0.0962615618935117	0.411785570322244
Type	MF0061	Mucosal	0.4530139841718	0.249141016494653	15	15	0.0990509351846784	0.415758975154708
Sequencing_Run	MF0024	2014_Sept	3.0782014015491	1.69772343565185	15	8	0.099890143381326	0.415758975154708
Type	MF0029	Mucosal	-1.12448562812791	0.630540587813781	15	12	0.104851717325326	0.425490656565231
Sex	MF0005	Male	-0.629445302879259	0.318589127223203	15	15	0.106372664141308	0.425490656565231
Sequencing_Run	MF0097	2014_Sept	-1.65715496040364	0.90044200755108	15	2	0.106244247031183	0.425490656565231
Sequencing_Run	MF0056	2014_Sept	1.56455318021156	0.861515403089646	15	10	0.108169486940562	0.42713079458581
Sequencing_Run	MF0102	2014_Sept	3.20340943706728	1.88495280483481	15	3	0.120072631956203	0.459469055168228
Type	MF0021	Mucosal	-0.673048386510646	0.365218627065195	15	14	0.119600866261229	0.459469055168228
Sex	MF0089	Male	0.693343205344613	0.37074679388434	15	2	0.120834394378657	0.459469055168228
Sex	MF0001	Male	-0.982103594482272	0.518607701611227	15	15	0.126555071544294	0.475353195556615
Sex	MF0092	Male	-1.34645224574349	0.736409898484642	15	15	0.129724155106363	0.481386021358552
Sequencing_Run	MF0085	2015_Sept	-2.68555486304265	1.53679520257398	15	4	0.131326195998	0.481529385325998
Sequencing_Run	MF0077	2014_Sept	-1.49340301052736	0.91565053433307	15	3	0.140859219356115	0.498982781972739
Sex	MF0033	Male	3.8888731019754	2.20352095610903	15	12	0.139337246275178	0.498982781972739
Sequencing_Run	MF0088	2014_Sept	1.29832771098987	0.788230194872629	15	10	0.140946435167624	0.498982781972739
Sex	MF0077	Male	1.52195089438211	0.931835468379293	15	3	0.1651040996618	0.577864348816301
Sequencing_Run	MF0065	2014_Sept	0.402423143037135	0.261715391813615	15	15	0.177103523394664	0.581611635603497
Sequencing_Run	MF0006	2014_Sept	0.542970346810428	0.36446835955153	15	15	0.170217744903357	0.581611635603497
Sequencing_Run	MF0048	2014_Sept	-0.36291135795287	0.250110470466138	15	15	0.177504849827041	0.581611635603497
Sex	MF0048	Male	-0.284364739820755	0.179123927444458	15	15	0.176185228940368	0.581611635603497
Type	MF0001	Mucosal	-0.514051997560062	0.327714281137887	15	15	0.172507726271861	0.581611635603497
Sequencing_Run	MF0090	2014_Sept	0.198305628221061	0.125283470824459	15	15	0.172748793496086	0.581611635603497
Sequencing_Run	MF0076	2015_Sept	-2.76544459529465	1.83777606700628	15	9	0.185654613334959	0.59564188444966
Sequencing_Run	MF0007	2015_Sept	-4.31630312893608	2.84770630267242	15	9	0.184485452358831	0.59564188444966
Sex	MF0034	Male	-0.683177452388079	0.454923721300542	15	14	0.198353649236622	0.623397183315096
Sequencing_Run	MF0058	2015_Sept	-1.4217707615193	1.02569588779021	15	2	0.198011513152054	0.623397183315096
Sex	MF0101	Male	0.844718812904781	0.535418497145861	15	11	0.201806712421936	0.625117429775963
Sequencing_Run	MF0001	2015_Sept	1.22006548009068	0.868654583883514	15	15	0.202960204472715	0.625117429775963
Sequencing_Run	MF0061	2015_Sept	-0.603818033394306	0.456488817473698	15	15	0.215370731910814	0.637035056690421
