	TL1a_FP_230	TL1a_FP_128	TL1a_FP_129	TL1a_FP_86	TL1a_FP_266	TL1a_FP_159	TL1a_FP_195	TL1a_FP_158	TL1a_DTT_127_Repeat	TL1a_DTT_157_Repeat	TL1a_FP_231	TL1a_FP_284	TL1a_FP_267	TL1a_FP_87	TL1a_FP_194	TL1a_FP_285	TL1a_DTT_284	TL1a_DTT_231	TL1a_FP_85	TL1a_DTT_267	TL1a_FP_127	TL1a_DTT_158	TL1a_FP_193	TL1a_FP_265	TL1a_DTT_129	TL1a_DTT_265	TL1a_DTT_285	TL1a_DTT_159	TL1a_FP_157	TL1a_DTT_195	TL1a_DTT_85	TL1a_DTT_86	TL1a_DTT_193	TL1a_DTT_230	TL1a_DTT_128	TL1a_DTT_283	TL1a_DTT_194	TL1a_DTT_229	TL1a_FP_283	TL1a_FP_229	TL1a_DTT_87	TL1a_DTT_266	TL1A_DTT_673	TL1A_FP_626	TL1A_DTT_675	TL1A_DTT_626	TL1A_FP_674	TL1A_DTT_674	TL1A_DTT_627	TL1A_FP_625	TL1A_FP_673	TL1A_FP_675	TL1A_FP_627
TL1a_FP_230	0.0	2.699623177482991	2.344054935126701	0.9718678997321414	2.9087431985004257	2.2479673653324572	3.543959072918376	2.3639807261590615	2.1767278301486557	2.0649456089073883	0.5601544598915688	3.529127584827151	2.4430302094027265	0.5844971443733491	3.757378650844018	2.239020847088206	1.0973411509746298	1.385861561964332	0.9081919743744449	2.1842308002891477	2.36962585080234	2.232832360387845	3.9214720085747308	3.566748095876329	2.4361775691614787	1.8756170529131406	1.8615507790601502	2.1636675318008356	2.681925270685204	3.0724225230019027	1.0072475083413563	0.43258493612087867	3.019652521134296	0.8858734271955008	2.1827229342403593	1.8830776101663311	2.652592850251258	1.7327307367565397	2.0316548887197774	0.9997433050311813	0.5769847668642939	1.5955687256736548	1.5986074084017459	1.4298593995313187	1.2256096735901592	1.254891078648806	1.6093657604639837	0.9842971810675084	0.6422424322354259	2.068127766491783	1.856671047666479	0.9876191982745433	1.227548694270531
TL1a_FP_128	2.699623177482991	0.0	0.9691093432405038	2.9591260793655167	3.305243827756513	1.844854612062627	2.9309647482130807	2.112987572413587	0.7516601492312118	1.7913978625862983	2.632267243650136	4.895409871067235	2.701936609723917	3.257776183507283	3.948701565120986	3.5344862647806594	1.8375120290102207	2.124656189356397	2.9826383718172935	1.577740736288443	1.7620097519905613	1.5405406864997975	4.2713632133082555	3.990925396399634	0.3584541545930821	1.5023796006504553	2.775401650666488	1.7791352185399663	2.6290326929208954	1.284136274793923	2.987136709531239	2.7979267521276223	2.171026791655672	2.0981229728684427	0.774600145185004	2.84157815634321	2.2015645650577973	2.5076922673731596	2.7702231891960865	3.2707380445708085	2.446908905011678	1.7886887598707812	3.465802521894624	3.146063136080176	3.360667278552517	3.3378048669289497	3.39761221547752	3.0652021237832257	2.833780036708296	3.9249721572665823	3.9314765208312936	2.7801638527207237	3.1245037899243147
TL1a_FP_129	2.344054935126701	0.9691093432405038	0.0	2.295355604458995	2.3380059511074993	0.8840400284629898	2.042847139656114	1.144453638024792	0.37031670195779004	0.8995456557493204	2.090881100110869	3.962400376458881	1.7391279126492414	2.8191061373080335	2.998028333825647	2.641447294383834	1.3140995841960552	2.3098831862886637	2.3402326621650387	0.6202421218519439	0.7953482108507318	0.6454297409989893	3.313106384352092	3.024525300446318	0.7376244648297785	0.698155539555655	1.8859951450980177	0.8261844691123462	1.660769663454668	0.7546516111900494	2.315939747748772	2.2959016680598916	1.2815610571128397	2.0394495389607883	0.46912010446290536	1.9507892902169175	1.2457019136512495	1.8085552828840143	1.8530338082627662	2.6485540528256557	1.9214641136231994	0.9943620933905187	2.7355775993618825	2.3856203840722574	2.6763544976588642	2.64712162894441	2.6131223077611714	2.4167451763745915	2.4527662640372996	3.1154632050253395	3.174939355944411	2.106266439319531	2.4164440002725756
TL1a_FP_86	0.9718678997321414	2.9591260793655167	2.295355604458995	0.0	2.055508835104733	1.8457546051799352	2.8926427185316173	1.8436135555109114	2.277848960570014	1.7354900541641334	0.4831419133040442	2.567449808744845	1.7062463639655823	0.9029003224099167	2.88611939444226	1.2899485486233564	1.185579010997625	2.25530457022739	0.13525967959718133	1.899562367036374	1.9912253749034918	1.9908156677634945	3.0124646658375607	2.6592606217767614	2.6609928174632858	1.7195274360937387	1.0561697474954255	1.7950931756958104	1.9983129311322918	2.909559780793405	0.12859200074725047	0.5575141243494388	2.5325769052273523	1.7005419441073737	2.3000078981579586	1.0491398878248623	2.115644427562369	1.3736226821937367	1.2417822875019966	0.39529698774453503	0.6298498887096721	1.3433185730498864	0.8755428820577048	0.5501216135432226	0.42817630317248095	0.47562610971942365	0.6558287009192105	0.29306893836076203	1.1062125381407903	1.1769147740092245	1.0410468160994364	0.2954739589819389	0.4118052112681816
TL1a_FP_266	2.9087431985004257	3.305243827756513	2.3380059511074993	2.055508835104733	0.0	1.4893455153448591	1.1965917311245682	1.1950211216241982	2.609883841333279	1.677736757740214	2.3556745256000067	1.8057589095135536	0.6246445437303483	2.9578040520040862	0.886051082970311	1.124370161654024	2.3058276775878808	3.8343303813067573	2.1476656413056867	1.7456897859071197	1.5483406147013596	1.8758678966314013	1.0840581825497777	0.7309399509163039	3.0479683971596168	1.9893926974386307	1.082172212090662	1.5623277332076073	0.7117960156867984	2.4218075070801186	2.045298320922293	2.5398872935953136	1.4356551997213056	3.313578782639952	2.656335207362689	1.0512535738190596	1.163054194872027	1.9555408735541997	0.9266579236309255	2.3214952781369327	2.358698444221662	1.8169229504612239	2.0318544157518783	1.7488920220691144	2.13766398808299	2.1114820730575414	1.698863193466972	2.16586160497613	2.9379198268270934	1.8493081870251862	2.1180068868175472	1.9893052881895494	1.9631022219799654
TL1a_FP_159	2.2479673653324572	1.844854612062627	0.8840400284629898	1.8457546051799352	1.4893455153448591	0.0	1.4342794826408003	0.32387985150717524	1.1422115308317176	0.3442271114694341	1.829730957455026	3.1204843184103233	0.8941750093794532	2.57780584529302	2.2167529180480074	1.8369168997059848	1.248600447212019	2.6847869009614653	1.9059284878576916	0.27243458985769287	0.2617068066089763	0.41213943442221557	2.504780332613108	2.187058058159114	1.568807968386533	0.592409301378965	1.1196683022371305	0.10247437926516152	0.823362583789952	1.1630058627726456	1.8452545784993681	2.039595479656962	0.8252757498962426	2.260174781726525	1.1750496307016003	1.183170481782896	0.5543684750134086	1.30830196574179	1.0383749242913298	2.225149455209097	1.700078584316248	0.6655696665983625	2.1210666513724887	1.7711913976618476	2.1540961017817177	2.1104923218541916	1.9668897433606136	1.9556779326650717	2.282026967464988	2.404540397277046	2.532537837421681	1.650262922991527	1.8718360080545693
TL1a_FP_195	3.543959072918376	2.9309647482130807	2.042847139656114	2.8926427185316173	1.1965917311245682	1.4342794826408003	0.0	1.2093344177127117	2.3977253392836557	1.7123124208617395	3.041788989700844	2.9250346219151924	1.1982306034247134	3.7582471884613144	1.284660329681332	2.232374626496072	2.652417311925914	4.112707614168673	2.978801945861156	1.6310712157242717	1.3693583369731293	1.7232886419952536	1.6126679120863212	1.4685794405027641	2.750130543852854	2.0156315701252456	1.8863622320977083	1.5357274103076342	0.8994471518119737	1.7453977501105875	2.889601590162844	3.2580616653328103	0.7712034616799449	3.6798394265622605	2.446815968298667	1.901892560781585	0.9417954393834224	2.4126604308058606	1.7066868556750467	3.224667965517308	2.9730753345391983	2.062987529387932	2.9734602088033726	2.6646332455713786	3.088478268473756	3.051016846363246	2.7204072853991654	3.0140507290453105	3.5771180679668997	2.9675230325816284	3.213970124147063	2.7587967762096053	2.8489215713291998
TL1a_FP_158	2.3639807261590615	2.112987572413587	1.144453638024792	1.8436135555109114	1.1950211216241982	0.32387985150717524	1.2093344177127117	0.0	1.4258299657796838	0.6254134802060446	1.8959212470232205	2.8726161179822274	0.6099388888018736	2.641888583894483	1.9058453628945042	1.6716523391631664	1.4495246293155457	2.9233181297356174	1.9200278313751216	0.5597319457125529	0.36531246639119247	0.7332964160172055	2.1983270639190637	1.8895722249271787	1.856873884610187	0.8913241960735687	1.0050625740466221	0.4046462601182735	0.5326731404615983	1.3363621774310772	1.8483890310474604	2.1172472450614768	0.6977871024645762	2.4744697887260374	1.4767817318885053	1.05289312547734	0.3080486762974612	1.4464645626524133	0.8901586230413636	2.207794283061885	1.8008056612115133	0.8613432330441555	2.1031326370598475	1.7357927873014574	2.126509148665076	2.091929500010917	1.8785020112377844	1.9741016395899404	2.4259906675983767	2.289569400326971	2.4423408857805207	1.6805772329310735	1.8652230632992957
TL1a_DTT_127_Repeat	2.1767278301486557	0.7516601492312118	0.37031670195779004	2.277848960570014	2.609883841333279	1.1422115308317176	2.3977253392836557	1.4258299657796838	0.0	1.062687955990716	2.0072037312243847	4.158237904567594	1.9945547544552202	2.691216166896366	3.314187360191802	2.784631680454576	1.1867159685392352	1.9793224593283405	2.3068350950977417	0.8732165866949341	1.1043719071339249	0.8473006941654316	3.619052856894952	3.3149476813949197	0.4527395393518897	0.7575192315845377	2.0263892811927025	1.0637563216289223	1.9528134009461162	1.047040306859791	2.2982994153724507	2.1888554543572996	1.6429785060553355	1.7583128132044918	0.1761475043831918	2.0940066253588063	1.5711609268021889	1.8121549022574446	2.023513029471733	2.6163830423133336	1.8206814354997367	1.0424589914243374	2.7479535243367996	2.4193368063002074	2.668548713896364	2.639236397517419	2.6709332223887654	2.3825829534085967	2.282040178609287	3.1885659511366966	3.2135973453912747	2.084866103622312	2.41612048653912
TL1a_DTT_157_Repeat	2.0649456089073883	1.7913978625862983	0.8995456557493204	1.7354900541641334	1.677736757740214	0.3442271114694341	1.7123124208617395	0.6254134802060446	1.062687955990716	0.0	1.6883031117371186	3.203274489044861	1.0884139253568843	2.4082861654665217	2.457729308828536	1.8374441893440139	1.0240913945311563	2.4612807959760437	1.7733711489699073	0.3814371353920122	0.5754979199397532	0.30391127996825457	2.7225429220332327	2.3811376489990663	1.4751310253617973	0.36787002428378085	1.1126664541954145	0.2862636414950633	1.059123897700445	1.2861252879985756	1.7193363113183322	1.8685111999810273	1.1367783486989365	2.0355154330939547	1.0507162261224072	1.1889398833533686	0.883125975401878	1.0241198334453325	1.0673599742908808	2.1264319049770704	1.5298211959415737	0.49718148163473735	1.9651259832907524	1.6548467154457789	2.0384790238164263	1.9790747494738075	1.9039374038969124	1.8042677093370443	2.029738716298631	2.3435825709568356	2.4536383403158366	1.5030735906730717	1.7324206870361474
