	TL1a_DTT_173_Repeat	TL1a_FP_89	TL1a_FP_65	TL1a_FP_209	TL1a_FP_287	TL1a_FP_77	TL1a_FP_245	TL1a_FP_161	TL1a_FP_197	TL1a_FP_173	TL1a_DTT_269_Repeat	TL1a_DTT_245_Repeat	TL1a_FP_269	TL1a_FP_143	TL1a_FP_131	TL1a_DTT_89_Re_extracted	TL1a_FP_101	TL1a_DTT_197_Repeat	TL1a_FP_233	TL1a_DTT_209	TL1a_DTT_287	TL1a_DTT_233	TL1a_DTT_65	TL1a_DTT_77	TL1A_FP_641	TL1A_FP_689	TL1A_DTT_629	TL1A_FP_677	TL1A_DTT_641	TL1A_DTT_689
TL1a_DTT_173_Repeat	0.0	2.297382835747314	1.8690109402321533	0.8563588692399617	1.64411179594288	1.2321592967953474	1.3275994029670242	1.2874301869193463	1.5307259883532398	1.8675879341440058	1.6738860730463496	0.357437983827069	3.4634357218103835	1.6103477364304755	1.323873608879036	0.9750789105720923	3.195095299379389	1.1018417321948628	1.5523883124708144	1.3021411554662257	1.130387637430678	1.6459715484913788	0.8088304374806956	0.7555886375909181	0.8688896824591127	0.7480093109982554	2.0697048309306774	0.1384736179271166	1.0573051199091115	1.1126638763629835
TL1a_FP_89	2.297382835747314	0.0	0.4681881131475421	2.3678595179235162	3.864496120801018	2.470642277780188	3.483321890847976	1.5890663714822326	3.4088289316091114	3.9190545477619634	2.9173441964380644	2.32347390056859	4.255829139781647	3.2437369295183935	3.3939613000541975	3.1311831394170375	5.109666535786432	3.2722516499448613	3.4257585593020554	1.5859591907211126	3.345198179220096	3.853869637911899	1.5579329846059948	1.5653533690076347	2.870652267185956	2.6612170722947424	1.9653341944284366	2.2539839957683427	2.8745398073925132	2.7310944695331734
TL1a_FP_65	1.8690109402321533	0.4681881131475421	0.0	2.0464919599013274	3.4672896799113824	2.135898258554598	3.094702178483658	1.329476632848458	3.082749856794417	3.5562702280010248	2.6204619512860994	1.9330880884917918	4.113437531696517	2.905676090363464	2.9818752768473216	2.7453455596234737	4.6936143552037635	2.8605680268329863	3.0774714573326456	1.352390047824778	2.9055820457097608	3.4281788352281723	1.1215975646505387	1.1424961511060283	2.4528759677986747	2.234320037049653	1.7024119218670726	1.8302545169621338	2.48792236744635	2.340803863493743
TL1a_FP_209	0.8563588692399617	2.3678595179235162	2.0464919599013274	0.0	1.644950170853063	1.2372015138540755	1.2895789305855303	1.0942350164217718	1.053520632568448	1.6641307017965046	1.6191868243936391	0.5032791791778031	3.052601527856782	1.4910157441833187	1.6479585770874052	0.9101575468240685	3.5345250680845535	1.3699095978632922	1.4043047393863197	1.0261656721436683	1.6301351928148715	1.961082543595943	1.214641561925835	1.0877574081590744	1.2604672931211076	1.2672112265084603	2.435451835444849	0.8152460949714881	1.216924718784805	1.3991845635528632
TL1a_FP_287	1.64411179594288	3.864496120801018	3.4672896799113824	1.644950170853063	0.0	1.8941690952989527	0.43092122986123055	2.4973631100411584	1.0286862011506743	0.5740811365172593	2.328277246873041	1.5591700565066768	3.6429768169807133	1.4205266868344946	1.4188221095211184	0.7594007284843103	2.363301833413028	1.1386372825851374	1.4400102377390154	2.60286772040724	1.2158156236353344	1.162153499328418	2.3861757851857974	2.331754464329206	1.276846128767127	1.5047122118420282	3.2731163939724297	1.6570461973363555	1.3370926928570224	1.6447899938093744
TL1a_FP_77	1.2321592967953474	2.470642277780188	2.135898258554598	1.2372015138540755	1.8941690952989527	0.0	1.4740209484283902	0.9924978109421416	1.8854515525651099	1.7648108452145632	2.746981329626776	1.1876596122813052	4.288847379407454	0.8057864901289973	2.3773516700211053	1.4336668111870532	2.850621253706966	2.0661385513773327	2.428287911745666	1.8725834648526396	2.0772900909285776	2.51508351483684	1.2274470018025372	1.2308570507865764	0.8696141765626603	0.84795189249377	1.571849843716984	1.0976641905101638	0.6141169950481289	0.5228315649970128
TL1a_FP_245	1.3275994029670242	3.483321890847976	3.094702178483658	1.2895789305855303	0.43092122986123055	1.4740209484283902	0.0	2.077951597605452	0.9130818094058389	0.5682253490177493	2.2358760844845187	1.217897052765411	3.6369389307560023	1.063038257810716	1.4581630861007047	0.4722740359815971	2.4342256984324666	1.1260857811692297	1.454325025457981	2.2738822699871557	1.220761188967867	1.3504301062676438	2.0177790493601067	1.9628033061487309	0.9311712274694283	1.161664880728816	2.8892879288003193	1.315192842771241	0.9440172938366054	1.2687002827424367
TL1a_FP_161	1.2874301869193463	1.5890663714822326	1.329476632848458	1.0942350164217718	2.4973631100411584	0.9924978109421416	2.077951597605452	0.0	2.1003614408961147	2.4281916469295584	2.4323624796881065	1.1759778270480794	3.87412642233939	1.6981089969749896	2.533589156126826	1.8191958740343444	3.8131385910575424	2.2796434425942964	2.462349982487107	1.1208496040324727	2.39341924430307	2.858867690981425	0.8463113460544217	0.7913001996259181	1.5684274293174074	1.4464979746773676	1.5818291629066659	1.1752355238381622	1.4462719986941068	1.3842724179259251
TL1a_FP_197	1.5307259883532398	3.4088289316091114	3.082749856794417	1.053520632568448	1.0286862011506743	1.8854515525651099	0.9130818094058389	2.1003614408961147	0.0	1.0469488770120408	1.7356948582313791	1.2557058381582225	2.8119572259985963	1.6385245276077554	1.461027905177956	0.7198154780428981	3.3182134970004857	1.179357270941509	0.9435104315645896	1.9423384191659754	1.5438527226511418	1.5463736824481	2.1772800100151337	2.0675140966700885	1.6014651524407653	1.7553702935197086	3.320729414563749	1.5411358155608985	1.5722348896795701	1.8904444043001283
TL1a_FP_173	1.8675879341440058	3.9190545477619634	3.5562702280010248	1.6641307017965046	0.5740811365172593	1.7648108452145632	0.5682253490177493	2.4281916469295584	1.0469488770120408	0.0	2.644692836487761	1.7140963071081552	3.819360673326586	1.129017804563493	1.9164975267050097	0.9701244690868821	2.378548847265011	1.6043586514877066	1.7713328438280196	2.685435785098502	1.7272865603764826	1.7235696911232512	2.506910881379117	2.447558260720262	1.3912757550346198	1.6409142463774293	3.2675165125420933	1.8411826679675392	1.2998586922279525	1.6274301233135084
TL1a_DTT_269_Repeat	1.6738860730463496	2.9173441964380644	2.6204619512860994	1.6191868243936391	2.328277246873041	2.746981329626776	2.2358760844845187	2.4323624796881065	1.7356948582313791	2.644692836487761	0.0	1.5697945329934708	1.920747629971108	2.9505757489920224	1.2599390885350865	1.7909384966071156	4.466176636308752	1.3476322621987804	0.9969751882944278	1.5217661210442202	1.6831491158546343	1.7761309130865803	2.1176583584693307	2.001193858682985	2.4007857217866317	2.372270954761618	3.5830963202970865	1.7784329462300568	2.556003808350933	2.7245319371588086
TL1a_DTT_245_Repeat	0.357437983827069	2.32347390056859	1.9330880884917918	0.5032791791778031	1.5591700565066768	1.1876596122813052	1.217897052765411	1.1759778270480794	1.2557058381582225	1.7140963071081552	1.5697945329934708	0.0	3.247588966313268	1.5107703406282247	1.3654618880362626	0.8179101471664005	3.305152611177976	1.1039410629965634	1.3914607633473781	1.1364198807179078	1.258611319825956	1.693282856176945	0.9401802928136025	0.8412291221102741	0.9622164288655188	0.9121562785295863	2.2260194462470015	0.3454571080815707	1.0523363201733364	1.1825481619285503
TL1a_FP_269	3.4634357218103835	4.255829139781647	4.113437531696517	3.052601527856782	3.6429768169807133	4.288847379407454	3.6369389307560023	3.87412642233939	2.8119572259985963	3.819360673326586	1.920747629971108	3.247588966313268	0.0	4.35515295497594	2.9181801644649545	3.275391088083109	5.988925705940697	2.9974503770859506	2.2904936798606723	2.891110189987224	3.4064357383519925	3.262311454421097	3.843847229034462	3.70460449143875	4.08367225680591	4.111040007201655	5.285707979851385	3.5390939378940347	4.147210746314745	4.379201182282366
TL1a_FP_143	1.6103477364304755	3.2437369295183935	2.905676090363464	1.4910157441833187	1.4205266868344946	0.8057864901289973	1.063038257810716	1.6981089969749896	1.6385245276077554	1.129017804563493	2.9505757489920224	1.5107703406282247	4.35515295497594	0.0	2.374022433460023	1.273861456130444	2.34734061239555	2.0331808654223567	2.361179871214	2.3967359960898995	2.0583208840879137	2.3482261228222394	1.9204263319679828	1.901548446305794	0.9413918545696479	1.1212228491522391	2.285142918281428	1.5093932034418946	0.6152136558814251	0.8077663688999408
TL1a_FP_131	1.323873608879036	3.3939613000541975	2.9818752768473216	1.6479585770874052	1.4188221095211184	2.3773516700211053	1.4581630861007047	2.533589156126826	1.461027905177956	1.9164975267050097	1.2599390885350865	1.3654618880362626	2.9181801644649545	2.374022433460023	0.0	1.164726017231797	3.3393038238548076	0.34846461611192714	0.8269388423121138	2.119479988077496	0.5231182302156737	0.559357394631231	2.0756393214265234	2.0108959886831523	1.691446661038471	1.7280326923842448	3.3353545504889324	1.4436552106719955	1.942851533940184	2.1316521431174467
TL1a_DTT_89_Re_extracted	0.9750789105720923	3.1311831394170375	2.7453455596234737	0.9101575468240685	0.7594007284843103	1.4336668111870532	0.4722740359815971	1.8191958740343444	0.7198154780428981	0.9701244690868821	1.7909384966071156	0.8179101471664005	3.275391088083109	1.273861456130444	1.164726017231797	0.0	2.8334955061472673	0.8168265319157555	1.110991355114868	1.8459922840614795	1.0216411003136117	1.238294316678947	1.7055495735386887	1.6297296557075434	0.9274515326132635	1.0808380184623108	2.777076097659119	0.9852258694417444	0.9963604104817766	1.2927991913313193
TL1a_FP_101	3.195095299379389	5.109666535786432	4.6936143552037635	3.5345250680845535	2.363301833413028	2.850621253706966	2.4342256984324666	3.8131385910575424	3.3182134970004857	2.378548847265011	4.466176636308752	3.305152611177976	5.988925705940697	2.34734061239555	3.3393038238548076	2.8334955061472673	0.0	3.1404759385058365	3.7215608170080783	4.410994257461507	2.8738831160179883	2.963102252463448	3.6368521376771987	3.6802231768276172	2.3849530496229834	2.5398967926385696	3.5997011974817235	3.161960800704216	2.4170624681878325	2.438005071359263
TL1a_DTT_197_Repeat	1.1018417321948628	3.2722516499448613	2.8605680268329863	1.3699095978632922	1.1386372825851374	2.0661385513773327	1.1260857811692297	2.2796434425942964	1.179357270941509	1.6043586514877066	1.3476322621987804	1.1039410629965634	2.9974503770859506	2.0331808654223567	0.34846461611192714	0.8168265319157555	3.1404759385058365	0.0	0.767644449221868	1.9743271408373966	0.4525345060370921	0.6233581944267323	1.8929572181452976	1.824048343421764	1.3967518703586628	1.4585545440986223	3.1241230810830602	1.204812410062722	1.6232130120192423	1.8351645292724927
TL1a_FP_233	1.5523883124708144	3.4257585593020554	3.0774714573326456	1.4043047393863197	1.4400102377390154	2.428287911745666	1.454325025457981	2.462349982487107	0.9435104315645896	1.7713328438280196	0.9969751882944278	1.3914607633473781	2.2904936798606723	2.361179871214	0.8269388423121138	1.110991355114868	3.7215608170080783	0.767644449221868	0.0	1.9215596570572027	1.2113393597702302	1.1066003020202209	2.255658666489325	2.1459798258533933	1.949469727883682	2.027938276805645	3.604340593948023	1.638848147303964	2.0774499035026297	2.336077410890091
TL1a_DTT_209	1.3021411554662257	1.5859591907211126	1.352390047824778	1.0261656721436683	2.60286772040724	1.8725834648526396	2.2738822699871557	1.1208496040324727	1.9423384191659754	2.685435785098502	1.5217661210442202	1.1364198807179078	2.891110189987224	2.3967359960898995	2.119479988077496	1.8459922840614795	4.410994257461507	1.9743271408373966	1.9215596570572027	0.0	2.210624051340506	2.5941993631588867	1.1361431828603539	0.9970795832540817	2.0311240818969174	1.9198329341107598	2.4580346476187516	1.2959822211986116	2.0452849043842294	2.095685312040613
TL1a_DTT_287	1.130387637430678	3.345198179220096	2.9055820457097608	1.6301351928148715	1.2158156236353344	2.0772900909285776	1.220761188967867	2.39341924430307	1.5438527226511418	1.7272865603764826	1.6831491158546343	1.258611319825956	3.4064357383519925	2.0583208840879137	0.5231182302156737	1.0216411003136117	2.8738831160179883	0.4525345060370921	1.2113393597702302	2.210624051340506	0.0	0.5816156096740098	1.8977019705225653	1.8629126597074117	1.2963595618603914	1.3376773957843557	3.000385013213233	1.233794636579309	1.5897903281330379	1.7485827467701585
TL1a_DTT_233	1.6459715484913788	3.853869637911899	3.4281788352281723	1.961082543595943	1.162153499328418	2.51508351483684	1.3504301062676438	2.858867690981425	1.5463736824481	1.7235696911232512	1.7761309130865803	1.693282856176945	3.262311454421097	2.3482261228222394	0.559357394631231	1.238294316678947	2.963102252463448	0.6233581944267323	1.1066003020202209	2.5941993631588867	0.5816156096740098	0.0	2.4380198033312763	2.3876821755945645	1.7376661154752537	1.834564549359891	3.5596200381662833	1.7446066761409984	1.9864125136092214	2.1995101194005056
TL1a_DTT_65	0.8088304374806956	1.5579329846059948	1.1215975646505387	1.214641561925835	2.3861757851857974	1.2274470018025372	2.0177790493601067	0.8463113460544217	2.1772800100151337	2.506910881379117	2.1176583584693307	0.9401802928136025	3.843847229034462	1.9204263319679828	2.0756393214265234	1.7055495735386887	3.6368521376771987	1.8929572181452976	2.255658666489325	1.1361431828603539	1.8977019705225653	2.4380198033312763	0.0	0.15067828517166063	1.3413972023172764	1.1254944056762057	1.4691495683139766	0.7459606620484263	1.4202586324796127	1.3033750643893376
TL1a_DTT_77	0.7555886375909181	1.5653533690076347	1.1424961511060283	1.0877574081590744	2.331754464329206	1.2308570507865764	1.9628033061487309	0.7913001996259181	2.0675140966700885	2.447558260720262	2.001193858682985	0.8412291221102741	3.70460449143875	1.901548446305794	2.0108959886831523	1.6297296557075434	3.6802231768276172	1.824048343421764	2.1459798258533933	0.9970795832540817	1.8629126597074117	2.3876821755945645	0.15067828517166063	0.0	1.3465700470397095	1.1488208050451334	1.5951098706785498	0.69522426456595	1.415077688791666	1.3325074964652548
TL1A_FP_641	0.8688896824591127	2.870652267185956	2.4528759677986747	1.2604672931211076	1.276846128767127	0.8696141765626603	0.9311712274694283	1.5684274293174074	1.6014651524407653	1.3912757550346198	2.4007857217866317	0.9622164288655188	4.08367225680591	0.9413918545696479	1.691446661038471	0.9274515326132635	2.3849530496229834	1.3967518703586628	1.949469727883682	2.0311240818969174	1.2963595618603914	1.7376661154752537	1.3413972023172764	1.3465700470397095	0.0	0.2594764886476596	2.005261205769561	0.802742343261924	0.35330475871234984	0.46221068000331944
TL1A_FP_689	0.7480093109982554	2.6612170722947424	2.234320037049653	1.2672112265084603	1.5047122118420282	0.84795189249377	1.161664880728816	1.4464979746773676	1.7553702935197086	1.6409142463774293	2.372270954761618	0.9121562785295863	4.111040007201655	1.1212228491522391	1.7280326923842448	1.0808380184623108	2.5398967926385696	1.4585545440986223	2.027938276805645	1.9198329341107598	1.3376773957843557	1.834564549359891	1.1254944056762057	1.1488208050451334	0.2594764886476596	0.0	1.8014637424264692	0.6735043940821546	0.50888522565286	0.45774806253275463
TL1A_DTT_629	2.0697048309306774	1.9653341944284366	1.7024119218670726	2.435451835444849	3.2731163939724297	1.571849843716984	2.8892879288003193	1.5818291629066659	3.320729414563749	3.2675165125420933	3.5830963202970865	2.2260194462470015	5.285707979851385	2.285142918281428	3.3353545504889324	2.777076097659119	3.5997011974817235	3.1241230810830602	3.604340593948023	2.4580346476187516	3.000385013213233	3.5596200381662833	1.4691495683139766	1.5951098706785498	2.005261205769561	1.8014637424264692	0.0	1.969554679609365	1.9744516636184115	1.6587996836205485
TL1A_FP_677	0.1384736179271166	2.2539839957683427	1.8302545169621338	0.8152460949714881	1.6570461973363555	1.0976641905101638	1.315192842771241	1.1752355238381622	1.5411358155608985	1.8411826679675392	1.7784329462300568	0.3454571080815707	3.5390939378940347	1.5093932034418946	1.4436552106719955	0.9852258694417444	3.161960800704216	1.204812410062722	1.638848147303964	1.2959822211986116	1.233794636579309	1.7446066761409984	0.7459606620484263	0.69522426456595	0.802742343261924	0.6735043940821546	1.969554679609365	0.0	0.9604446136573815	1.0040547872488892
TL1A_DTT_641	1.0573051199091115	2.8745398073925132	2.48792236744635	1.216924718784805	1.3370926928570224	0.6141169950481289	0.9440172938366054	1.4462719986941068	1.5722348896795701	1.2998586922279525	2.556003808350933	1.0523363201733364	4.147210746314745	0.6152136558814251	1.942851533940184	0.9963604104817766	2.4170624681878325	1.6232130120192423	2.0774499035026297	2.0452849043842294	1.5897903281330379	1.9864125136092214	1.4202586324796127	1.415077688791666	0.35330475871234984	0.50888522565286	1.9744516636184115	0.9604446136573815	0.0	0.3414567822795783
TL1A_DTT_689	1.1126638763629835	2.7310944695331734	2.340803863493743	1.3991845635528632	1.6447899938093744	0.5228315649970128	1.2687002827424367	1.3842724179259251	1.8904444043001283	1.6274301233135084	2.7245319371588086	1.1825481619285503	4.379201182282366	0.8077663688999408	2.1316521431174467	1.2927991913313193	2.438005071359263	1.8351645292724927	2.336077410890091	2.095685312040613	1.7485827467701585	2.1995101194005056	1.3033750643893376	1.3325074964652548	0.46221068000331944	0.45774806253275463	1.6587996836205485	1.0040547872488892	0.3414567822795783	0.0
