	chao1
TL1a_FP_162	97.33333333333333
TL1a_FP_88	134.66666666666666
TL1a_FP_230	146.0
TL1a_FP_89	81.2
TL1a_FP_234	90.76923076923077
TL1a_FP_128	136.9090909090909
TL1a_DTT_268_Repeat	128.23076923076923
TL1a_FP_129	148.5
TL1a_FP_287	153.05555555555554
TL1a_FP_86	119.27272727272727
TL1a_FP_198	99.21428571428571
TL1a_FP_161	131.6
TL1a_FP_266	136.57142857142858
TL1a_FP_197	193.33333333333334
TL1a_FP_159	112.58333333333333
TL1a_FP_132	138.0
TL1a_FP_130	118.2
TL1a_DTT_269_Repeat	72.6
TL1a_FP_90	115.0
TL1a_FP_195	130.0
TL1a_FP_158	125.0
TL1a_DTT_127_Repeat	158.54545454545453
TL1a_DTT_157_Repeat	119.25
TL1a_FP_231	162.42857142857142
TL1a_FP_284	138.625
TL1a_FP_267	155.6875
TL1a_DTT_130_Repeat	86.14285714285714
TL1a_FP_269	116.0
TL1a_FP_288	113.14285714285714
TL1a_DTT_196_Repeat	84.9090909090909
TL1a_DTT_90_Repeat	86.0
TL1a_FP_87	93.5
TL1a_FP_196	140.54545454545453
TL1a_FP_131	113.2
TL1a_DTT_198_Repeat	89.5
TL1a_DTT_88_Repeat	84.16666666666667
TL1a_FP_270	102.71428571428571
TL1a_FP_160	161.61904761904762
TL1a_FP_194	88.61538461538461
TL1a_FP_286	173.2
TL1a_DTT_89_Re_extracted	165.66666666666666
TL1a_DTT_197_Repeat	81.0
TL1a_FP_232	87.75
TL1a_DTT_270_Repeat	137.6
TL1a_FP_233	130.33333333333334
TL1a_FP_268	188.16666666666666
TL1a_FP_285	159.23076923076923
TL1a_DTT_284	141.71428571428572
TL1a_DTT_231	151.89473684210526
TL1a_FP_85	117.75
TL1a_DTT_267	166.875
TL1a_FP_127	139.0
TL1a_DTT_160	166.15384615384616
TL1a_DTT_234	141.27272727272728
TL1a_DTT_158	132.75
TL1a_FP_193	111.0
TL1a_FP_265	129.07692307692307
TL1a_DTT_129	147.5
TL1a_DTT_265	149.1
TL1a_DTT_285	165.14285714285714
TL1a_DTT_159	158.5
TL1a_FP_157	127.4375
TL1a_DTT_287	100.0
TL1a_DTT_233	118.375
TL1a_DTT_195	124.46153846153847
TL1a_DTT_85	127.66666666666667
TL1a_DTT_86	125.33333333333333
TL1a_DTT_193	152.05263157894737
TL1a_DTT_286	193.0
TL1a_DTT_230	150.0
TL1a_DTT_128	121.66666666666667
TL1a_DTT_283	175.0
TL1a_DTT_194	162.9090909090909
TL1a_DTT_229	149.28571428571428
TL1a_FP_283	157.0
TL1a_FP_229	135.33333333333334
TL1a_DTT_87	121.11111111111111
TL1a_DTT_266	213.77272727272728
TL1a_DTT_232	85.125
TL1A_DTT_673	181.0
TL1A_FP_626	155.0
TL1A_DTT_675	153.5
TL1A_DTT_626	162.88235294117646
TL1A_DTT_629	70.8
TL1A_FP_677	129.75
TL1A_FP_674	161.8846153846154
TL1A_FP_678	110.0
TL1A_DTT_674	171.05882352941177
TL1A_DTT_627	174.55555555555554
TL1A_FP_625	132.65217391304347
TL1A_FP_630	181.75
TL1A_FP_673	158.4375
TL1A_FP_675	157.14285714285714
TL1A_DTT_630	148.0
TL1A_DTT_628	171.2
TL1A_FP_627	164.5
