	observed_otus
TL1a_DTT_284	246
TL1A_DTT_642	234
TL1a_DTT_173_Repeat	169
TL1A_FP_641	167
TL1A_FP_642	217
TL1A_FP_689	140
TL1a_FP_162	179
TL1a_DTT_174_Repeat	179
TL1A_DTT_673	268
TL1A_FP_638	78
TL1a_FP_88	183
TL1a_FP_140	102
TL1A_FP_626	217
TL1a_DTT_76_Repeat	236
TL1a_FP_230	208
TL1a_FP_89	140
TL1a_FP_207	112
TL1a_DTT_78	108
TL1a_DTT_231	256
TL1a_FP_234	97
TL1a_FP_205	107
TL1A_FP_640	125
TL1a_FP_65	93
TL1a_FP_128	218
TL1a_FP_64	98
TL1a_DTT_172_Re_extracted	314
TL1A_DTT_675	201
TL1a_FP_209	107
TL1A_FP_629	65
TL1a_DTT_268_Repeat	186
TL1a_FP_85	182
TL1a_DTT_267	250
TL1a_DTT_139	123
TL1a_FP_129	206
TL1A_DTT_626	220
TL1a_DTT_171	106
TL1a_FP_206	103
TL1a_FP_287	187
TL1a_FP_242	93
TL1A_DTT_629	80
TL1a_FP_86	162
TL1a_FP_77	209
TL1a_FP_245	192
TL1a_FP_198	198
TL1a_FP_161	141
TL1a_FP_266	209
TL1a_FP_127	180
TL1a_FP_76	266
TL1A_FP_676	130
TL1a_FP_73	125
TL1a_FP_102	245
TL1a_DTT_169_Re_extracted	284
TL1a_FP_197	251
TL1a_DTT_209	116
TL1a_FP_159	143
TL1a_DTT_160	223
TL1A_FP_677	184
TL1a_FP_132	172
TL1a_FP_98	96
TL1a_FP_75	156
TL1a_FP_130	159
TL1a_DTT_234	248
TL1a_FP_173	262
TL1A_FP_685	59
TL1a_DTT_74	150
TL1a_DTT_158	154
TL1a_DTT_269_Repeat	245
TL1a_DTT_161_Repeat	190
TL1a_FP_193	126
TL1a_FP_139	129
TL1a_FP_90	173
TL1a_DTT_141	128
TL1a_DTT_210	176
TL1A_FP_686	58
TL1A_FP_674	220
TL1A_FP_678	174
TL1a_FP_265	166
TL1a_FP_141	112
TL1a_FP_174	276
TL1a_FP_144	144
TL1a_FP_195	167
TL1a_FP_142	278
TL1A_DTT_674	216
TL1a_FP_158	158
TL1a_DTT_143_Repeat	162
TL1a_DTT_129	198
TL1a_DTT_265	249
TL1a_DTT_285	249
TL1a_DTT_144_Repeat	183
TL1a_DTT_241	153
TL1a_DTT_159	190
TL1a_FP_62	120
TL1A_DTT_627	250
TL1a_FP_157	137
TL1a_DTT_243	85
TL1A_FP_625	180
TL1a_DTT_127_Repeat	249
TL1a_DTT_205	129
TL1A_DTT_640	222
TL1a_DTT_206	123
TL1a_DTT_64	152
TL1a_DTT_287	179
TL1a_DTT_157_Repeat	195
TL1a_DTT_233	175
TL1a_DTT_62	107
TL1a_DTT_65	110
TL1a_DTT_242	92
TL1a_FP_231	212
TL1a_FP_284	157
TL1a_DTT_245_Repeat	161
TL1a_FP_74	200
TL1A_FP_630	253
TL1a_FP_267	210
TL1a_DTT_130_Repeat	157
TL1A_FP_639	60
TL1A_FP_673	208
TL1a_FP_172	222
TL1a_DTT_102_Repeat	83
TL1a_FP_269	183
TL1a_DTT_73	133
TL1a_DTT_195	192
TL1a_DTT_63	103
TL1a_FP_171	103
TL1A_FP_687	65
TL1a_DTT_85	207
TL1A_DTT_638	58
TL1a_DTT_86	172
TL1a_DTT_193	235
TL1A_FP_675	214
TL1a_FP_288	165
TL1a_FP_66	191
TL1a_DTT_207	140
TL1A_FP_637	66
TL1a_DTT_196_Repeat	142
TL1a_DTT_286	210
TL1a_DTT_90_Repeat	185
TL1a_FP_143	297
TL1a_DTT_131_Repeat	123
TL1a_DTT_230	199
TL1a_DTT_75	111
TL1a_DTT_61_Repeat	180
TL1a_FP_87	163
TL1a_FP_100	258
TL1a_FP_99	104
TL1a_DTT_246	235
TL1a_DTT_128	211
TL1a_DTT_283	259
TL1a_DTT_194	246
TL1a_FP_196	181
TL1a_DTT_100_Repeat	173
TL1a_FP_131	98
TL1A_FP_688	170
TL1a_DTT_198_Repeat	182
TL1a_DTT_97	147
TL1a_DTT_88_Repeat	160
TL1A_DTT_630	178
TL1a_FP_246	159
TL1a_DTT_229	185
TL1a_FP_169	128
TL1a_FP_270	134
TL1a_DTT_162_Repeat	130
TL1a_DTT_66	117
TL1a_FP_160	240
TL1a_FP_283	236
TL1a_FP_194	120
TL1a_FP_61	125
TL1a_FP_241	88
TL1a_FP_286	171
TL1a_DTT_140	149
TL1a_FP_229	184
TL1a_DTT_89_Re_extracted	251
TL1a_FP_78	127
TL1a_FP_210	187
TL1a_FP_208	61
TL1A_DTT_641	213
TL1a_DTT_244_Repeat	225
TL1a_FP_101	206
TL1a_DTT_99	160
TL1A_DTT_639	70
TL1a_DTT_87	188
TL1a_DTT_197_Repeat	149
TL1a_FP_244	125
TL1a_DTT_266	274
TL1a_FP_232	79
TL1a_DTT_270_Repeat	233
TL1a_FP_233	145
TL1A_DTT_687	54
TL1a_FP_63	111
TL1a_DTT_232	133
TL1A_DTT_689	156
TL1a_DTT_142_Repeat	188
TL1a_DTT_77	126
TL1a_DTT_98	109
TL1a_FP_243	96
TL1A_DTT_628	236
TL1a_FP_268	250
TL1a_FP_97	115
TL1a_FP_285	221
TL1A_FP_627	229
TL1a_DTT_288	128
TL1a_DTT_170	199
TL1a_DTT_101_Repeat	186
TL1a_DTT_208	152
TL1a_FP_170	141
