feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
MF0026	Type	Mucosal	8.41770861476345	1.12427326151143	17	9	7.35828929152179e-06	0.00279614993077828
MF0028	Type	Mucosal	-0.924541500748811	0.14087752796626	17	17	0.000240359400497985	0.00603414599132901
MF0065	Type	Mucosal	-0.660922781319876	0.103217249697372	17	17	0.000291391669898846	0.00603414599132901
MF0022	Type	Mucosal	-0.689691730977037	0.10838899248282	17	17	0.000301707299566451	0.00603414599132901
MF0066	Type	Mucosal	-0.854538069521885	0.128201081673369	17	17	0.000252866007961781	0.00603414599132901
MF0018	Type	Mucosal	-0.889018949659544	0.1244195491687	17	17	0.000145551353452767	0.00603414599132901
MF0031	Type	Mucosal	-0.860872381508069	0.113371098638837	17	17	0.000173312484538384	0.00603414599132901
MF0073	Type	Mucosal	-0.720852468840833	0.104118842834579	17	17	0.000207124742207342	0.00603414599132901
MF0035	Type	Mucosal	-0.958957085573179	0.147140672331551	17	17	0.000232426092169423	0.00603414599132901
MF0080	Type	Mucosal	4.89870893417135	0.871284881687801	17	0	0.000112078698876614	0.00603414599132901
MF0005	Type	Mucosal	-0.995799730178908	0.156997363808541	17	17	0.000284385594310866	0.00603414599132901
MF0006	Type	Mucosal	-0.64397133453578	0.0938333139803673	17	17	0.000276610636529912	0.00603414599132901
MF0047	Type	Mucosal	-0.687203667393921	0.0982113349988492	17	17	0.000190298694923271	0.00603414599132901
MF0048	Type	Mucosal	-0.68090549596272	0.106976122386809	17	17	0.000284522250545597	0.00603414599132901
MF0045	Type	Mucosal	-0.911883740642871	0.139932093210199	17	17	0.000250733503777167	0.00603414599132901
MF0046	Type	Mucosal	-0.686414126635173	0.0913260333360844	17	17	0.00020311028795188	0.00603414599132901
MF0096	Type	Mucosal	-0.945984064730291	0.139052812393432	17	17	0.00019831608527624	0.00603414599132901
MF0051	Type	Mucosal	-0.91757315458456	0.121887486840718	17	17	0.000122594050839116	0.00603414599132901
MF0095	Type	Mucosal	-0.938254387194448	0.131074384379212	17	17	0.000154351461617125	0.00603414599132901
MF0024	Sex	Male	7.21173643312665	1.47745383305987	17	7	0.000377758407805971	0.00652491795301223
MF0075	Type	Mucosal	-0.922194821998044	0.153857756764262	17	17	0.000374359362240216	0.00652491795301223
MF0070	Type	Mucosal	-0.978490593150698	0.159982825383908	17	17	0.00035520982902778	0.00652491795301223
MF0001	Sex	Male	-1.17372972280313	0.244029500344543	17	17	0.000426379324529936	0.00704452797049459
MF0086	Type	Mucosal	-0.615316961846958	0.106085071827169	17	17	0.000537388631874348	0.00816830720449009
MF0050	Type	Mucosal	-0.672231056586985	0.106684829352009	17	17	0.000521987476480199	0.00816830720449009
MF0069	Sex	Male	2.54329088746531	0.552310899175388	17	0	0.000605866696789755	0.00822247659928954
MF0034	Type	Mucosal	-0.871796452843645	0.157777620749337	17	17	0.000575663432965907	0.00822247659928954
MF0017	Type	Mucosal	-0.671481175344573	0.1181208478459	17	17	0.000594162155151318	0.00822247659928954
MF0054	Type	Mucosal	-0.584405649713288	0.100615854327416	17	17	0.000711940259465295	0.00932887236540732
MF0025	Type	Mucosal	-0.973102309133777	0.171238595503506	17	17	0.000757931461381459	0.00960046517749848
MF0029	Type	Mucosal	-0.998686899368917	0.179037133795659	17	17	0.000816799615800296	0.00969949543762851
MF0088	Type	Mucosal	-0.619696320936586	0.110124267347186	17	17	0.000810261844539382	0.00969949543762851
MF0068	Type	Mucosal	-0.637771932183279	0.119979406910357	17	17	0.000860609969690144	0.00991005419643196
MF0084	Sex	Male	2.82298906136726	0.649327781951755	17	0	0.00094891145250394	0.0106054809397499
MF0011	Type	Mucosal	-0.631113840223258	0.12203830719827	17	17	0.0010285778377714	0.0111674165243752
MF0056	Type	Mucosal	-0.841117940607085	0.165689795797908	17	17	0.00115758002915557	0.0122189003077533
MF0052	Sex	Male	2.49513090655708	0.59337990180625	17	0	0.00122111776806749	0.0125412095098824
MF0059	Sex	Male	2.53547139722662	0.621660527467731	17	0	0.00152999988538737	0.0152999988538737
MF0044	Type	Mucosal	-0.43348366557247	0.0879303876251463	17	17	0.00164060362290331	0.0159853686334169
MF0071	Type	Mucosal	-0.589438832121486	0.126697407349513	17	17	0.00172018850055354	0.0163417907552586
MF0033	Sex	Male	6.40529146108752	1.63157268840096	17	12	0.00201375799256394	0.018380076266374
MF0009	Type	Mucosal	-0.462366908781015	0.0964425534865038	17	17	0.00203148211365187	0.018380076266374
MF0038	Type	Mucosal	-0.551890336361273	0.142161029586782	17	17	0.00217937816380934	0.0192596209825012
MF0090	Type	Mucosal	-0.553074588381597	0.115497964701091	17	17	0.00225221598690224	0.0194509562505194
MF0010	Type	Mucosal	-0.438212564673235	0.0988854590317752	17	17	0.00305217446334479	0.0257739176904672
MF0021	Type	Mucosal	-0.499948042335024	0.122702585564328	17	17	0.003932300747466	0.0324842235660235
MF0063	Type	Mucosal	-0.632683254255987	0.162852613805411	17	17	0.00475081137224999	0.0384108153501063
MF0103	Type	Mucosal	-0.755326902722106	0.209637043339482	17	17	0.00691380839597148	0.0547343164681076
MF0009	Sex	Male	-0.888177895154163	0.221230799194408	17	17	0.00718107402435694	0.0556899618215436
MF0058	Sequencing_Run	2015_Sept	-2.32396428473858	0.738638863289878	17	0	0.00843299424919335	0.0640907562938695
MF0082	Sex	Male	2.4727863306489	0.814320439769749	17	0	0.0103385036334442	0.0770319878570349
MF0084	Sequencing_Run	2015_Sept	-3.65148754269375	1.22081976270033	17	0	0.0112530795521554	0.0822340428811356
MF0067	Type	Mucosal	-0.456649805140117	0.140365610592795	17	17	0.0115834100455673	0.0830508644776527
MF0037	Type	Mucosal	5.21574061864998	1.64462984254458	17	4	0.0121505454049076	0.0855038380345352
MF0069	Type	Mucosal	1.58526430866973	0.539313527988385	17	0	0.0123855120399615	0.0855726286397339
MF0040	Type	Mucosal	-1.1688003711121	0.358607111143516	17	6	0.012622993181823	0.0856560251623704
MF0078	Type	Mucosal	-0.319927508391036	0.0987310714971951	17	17	0.016118401902023	0.105603322806358
MF0014	Sex	Male	-0.82906356677441	0.244836760486821	17	17	0.0158650516251128	0.105603322806358
MF0102	Type	Mucosal	2.37574718070906	0.749273620014743	17	4	0.0188357469517303	0.119810375709435
MF0003	Sequencing_Run	2015_Sept	7.59164517337915	2.800225610473	17	2	0.018917427743595	0.119810375709435
MF0103	Sex	Male	-0.895379089109341	0.279830552728798	17	17	0.0199595600858531	0.122332787622971
MF0078	Sequencing_Run	2014_Sept	0.566456847209914	0.190658021930254	17	17	0.0196540217686537	0.122332787622971
MF0008	Type	Mucosal	-0.474699308340414	0.17842441665459	17	16	0.0207719722681717	0.125291261300084
MF0101	Type	Mucosal	-0.738248022229178	0.261539844688798	17	17	0.0214335101077337	0.125303597552905
MF0090	Sex	Male	-0.907803785532386	0.290627056517066	17	17	0.0212462937358696	0.125303597552905
MF0052	Sequencing_Run	2015_Sept	-2.93401975064054	1.11563055062393	17	0	0.0219788911395901	0.126545130803701
MF0042	Type	Mucosal	1.65365093565595	0.653436769576787	17	0	0.0263855582708994	0.143235887756311
MF0046	Sex	Male	-0.879525118067511	0.298459454720841	17	17	0.0261223449693319	0.143235887756311
MF0009	Sequencing_Run	2014_Sept	0.495053434837032	0.182859768326856	17	17	0.0256744733352187	0.143235887756311
MF0008	Sequencing_Run	2015_Sept	-0.875093707297856	0.343545410556672	17	16	0.0255951456883043	0.143235887756311
MF0075	Sex	Male	-0.693533813772267	0.23730113833438	17	17	0.0275628813907061	0.147519646879836
MF0095	Sex	Male	-0.691603261909317	0.238340071749011	17	17	0.028533112312055	0.150591426091401
MF0022	Sex	Male	-0.558527453583859	0.195845256642891	17	17	0.0296565898046627	0.154376768846189
MF0098	Type	Mucosal	-0.838895338421084	0.321784947196423	17	1	0.0300903880803685	0.154518209061351
MF0014	Sequencing_Run	2015_Sept	1.07399107246635	0.430794527857209	17	17	0.0308984324784884	0.155147261400702
MF0058	Sex	Male	0.959480518640105	0.392866129315038	17	0	0.0310294522801403	0.155147261400702
MF0054	Sex	Male	-0.658768295882272	0.236743507387709	17	17	0.0325443880889601	0.160608668490972
MF0006	Sex	Male	-0.62775142829454	0.230735738109059	17	17	0.0352966849593031	0.171958208776092
MF0031	Sex	Male	-0.863674866317794	0.320231133023478	17	17	0.036404349740056	0.175109530395206
MF0084	Sequencing_Run	2014_Sept	-2.3208992321331	0.990215584248839	17	0	0.0371263457299651	0.176350142217334
MF0070	Sex	Male	-0.698648810665168	0.262916352052964	17	17	0.0387408184654738	0.181346219278029
MF0009	Sequencing_Run	2015_Sept	0.733319615593012	0.309261456015461	17	17	0.0391326052126274	0.181346219278029
MF0001	Type	Mucosal	-0.548943864781196	0.238286825337962	17	17	0.0399284484879974	0.182804944884807
MF0021	Sex	Male	-0.448912239400612	0.16870546719418	17	17	0.0417858932532016	0.184635342281588
MF0019	Sex	Male	-1.00507006336456	0.378890219458088	17	16	0.0409059582282276	0.184635342281588
MF0044	Sex	Male	-0.463780771854158	0.177997992211288	17	17	0.0414678166451667	0.184635342281588
MF0081	Sequencing_Run	2015_Sept	1.95828049000715	0.85815212469298	17	0	0.044452235039651	0.19415918752951
MF0066	Sex	Male	-0.622503821041827	0.245272806701352	17	17	0.0453420285303252	0.195795123199132
MF0025	Sex	Male	-0.777660437215343	0.307081447114301	17	17	0.0485580028095477	0.207326304130653
MF0014	Sequencing_Run	2014_Sept	0.715418010788355	0.334347540068461	17	17	0.0538422881488667	0.227334105517437
MF0090	Sequencing_Run	2015_Sept	0.864570412430844	0.395467609918323	17	17	0.0546595024914333	0.228248471942249
MF0001	Sequencing_Run	2015_Sept	0.963284671729096	0.458806853769642	17	17	0.0575916640800049	0.237878612504368
MF0078	Sex	Male	-0.646738335146974	0.279842657833116	17	17	0.062311078927477	0.251895850983418
MF0090	Sequencing_Run	2014_Sept	0.479506877934032	0.220957813325857	17	17	0.0622497918060571	0.251895850983418
MF0003	Type	Mucosal	2.97435120806726	1.45433065235918	17	2	0.0634101137770766	0.253640455108307
MF0063	Sex	Male	-0.477930198412253	0.20680413559155	17	17	0.064889552752154	0.256079602717116
MF0074	Type	Mucosal	-0.265356930776669	0.124334369310931	17	17	0.0653676880620006	0.256079602717116
