feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sex	1	-3.3831971595615	0.14828727855101	18	12	4.64403918752293e-07	0.000139321175625688
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Candidatus.Stoquefichus	Sequencing_Run	2	2.54404840996437	0.332501949242913	18	14	3.63035154459974e-06	0.000544552731689961
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	2	1.70376395065052	0.282236641130033	18	16	4.86250301649022e-05	0.00486250301649022
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sequencing_Run	1	1.47550000435094	0.260603153712757	18	14	0.000127977831689263	0.00959833737669471
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Negativibacillus	Sex	1	1.62730385031122	0.263931501984834	18	5	0.000835717383852783	0.050143043031167
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Sequencing_Run	1	-1.56268726991761	0.37125958333776	18	7	0.00103677816381084	0.0518389081905421
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	2	1.39050167199972	0.310968975989708	18	17	0.0015144274233114	0.0567910283741777
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sequencing_Run	1	1.08036927858994	0.25151096665465	18	12	0.00151256819517373	0.0567910283741777
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium	Sequencing_Run	2	-1.40860256352438	0.359387985687104	18	4	0.00209323492185862	0.0697744973952875
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__UBA1819	Sex	1	0.643283019830001	0.171307922683459	18	18	0.00240390943120591	0.0721172829361773
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Sequencing_Run	2	-1.36712379084708	0.37125958333776	18	7	0.00279080339193218	0.0761128197799687
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Anaerotruncus	Sex	1	1.40790973532652	0.318435680734425	18	7	0.00446454076545073	0.103027863818094
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Sequencing_Run	2	1.14928258489513	0.308310550907088	18	12	0.00428792283679713	0.103027863818094
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Sequencing_Run	1	-1.90987385932789	0.56280986157937	18	18	0.00587458237824711	0.125883908105295
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Type	1	-0.482869633142684	0.128199412648072	18	6	0.00701449763401256	0.140289952680251
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Type	1	0.608724997684205	0.165879281671861	18	16	0.00796754430927965	0.149391455798993
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sequencing_Run	2	-1.25319566269598	0.414556983309146	18	9	0.00988070468388246	0.159634392973341
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Type	1	-0.885229111251209	0.256335969988815	18	9	0.0106422928648894	0.159634392973341
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Sequencing_Run	2	1.33885710227834	0.408572571095181	18	18	0.0095333792961632	0.159634392973341
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Type	1	-0.681988942809531	0.195549708396646	18	18	0.0101622170865597	0.159634392973341
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Type	1	-0.619051427003101	0.195760747627546	18	14	0.0158776236999451	0.226823195713501
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Sequencing_Run	2	-0.694193873778461	0.237571446826964	18	18	0.0169850310542362	0.231614059830493
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Sex	1	0.469101381091839	0.179850429063537	18	7	0.0216626389875454	0.282556160707114
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Sex	1	0.312319101361857	0.12561481468131	18	17	0.0272831000605389	0.29298569801303
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Candidatus.Stoquefichus	Sequencing_Run	1	0.822594445925649	0.332501949242913	18	14	0.0279261204821234	0.29298569801303
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Sequencing_Run	2	0.922184970345027	0.364557094075974	18	6	0.0283219508079262	0.29298569801303
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sex	1	-1.13203739919351	0.391033656250231	18	9	0.027513847510592	0.29298569801303
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	2	0.988027301517515	0.387064561013519	18	15	0.0240731464668816	0.29298569801303
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Type	1	-0.554685758326457	0.198563702768053	18	12	0.0267736190414602	0.29298569801303
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Type	1	0.689393284349516	0.255149328525475	18	17	0.0305540020243578	0.305540020243579
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Sequencing_Run	2	-1.36606882487173	0.56280986157937	18	18	0.0332674389731057	0.311882240372866
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Sex	1	-1.48276477898645	0.537963835112657	18	14	0.0330172777554322	0.311882240372866
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sex	1	-0.387852792374865	0.150832116584638	18	17	0.0422541836683277	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sex	1	0.473394875967717	0.180622253107127	18	14	0.0395379422429315	0.336579741131566
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Marinifilaceae.g__Odoribacter	Sex	1	-1.44455336392391	0.547781837674469	18	14	0.0386904407196033	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Sequencing_Run	1	-0.834726072610622	0.364557094075974	18	6	0.0431891246029969	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sequencing_Run	1	0.946291616275266	0.414556983309146	18	9	0.0400865927428457	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Flavonifractor	Sex	1	0.62216432288227	0.240098151229197	18	18	0.0411404853773851	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lactonifactor	Type	1	0.404534713552424	0.164748859245111	18	1	0.0437553663471035	0.336579741131566
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella	Sex	1	1.48627659265376	0.591015347637171	18	10	0.0456073092456727	0.342054819342545
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family.XIII.UCG.001	Type	1	0.672145066477777	0.280794759775209	18	6	0.0479059250591338	0.34319648188751
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Flavonifractor	Sequencing_Run	2	-0.517610528114997	0.235475840158957	18	18	0.0480475074642514	0.34319648188751
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sex	1	-2.21181092849367	0.901450355535754	18	14	0.0495470692072452	0.345677227027292
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	Sex	1	-2.74102923888518	1.14342157010137	18	14	0.0534973986118696	0.364754990535474
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Sequencing_Run	1	0.58744795419323	0.280309447329649	18	17	0.0562485239123278	0.368916872048444
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Sequencing_Run	2	-0.884920846077248	0.401999028419086	18	6	0.0597653791116437	0.368916872048444
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Faecalibacterium	Sex	1	2.05446472502797	0.886280257362504	18	9	0.0596058320489933	0.368916872048444
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Type	1	-0.690971945116045	0.333018284359481	18	7	0.0584122151653139	0.368916872048444
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella	Sex	1	-2.1812518559451	0.9442034272636	18	14	0.0602564224345792	0.368916872048444
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	1	0.575048703836992	0.282236641130033	18	16	0.063258227512301	0.377287335033337
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	Sex	1	1.03651771236829	0.460572700133646	18	6	0.0653964714057783	0.377287335033337
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Candidatus.Stoquefichus	Sex	1	-0.300402032419323	0.149003792534341	18	14	0.0649422422125019	0.377287335033337
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UC5.1.2E3	Type	1	-0.944779615048311	0.440128453779468	18	8	0.0689589957048906	0.390333937952211
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Sequencing_Run	1	-0.627113122224851	0.30802514555278	18	0	0.0726995770494469	0.403886539163594
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Sequencing_Run	1	0.746329539230038	0.396298153972371	18	16	0.0838474516918655	0.457349736501084
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Sex	1	1.38264010029533	0.707255451036378	18	5	0.0983832300947874	0.522688934870156
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Sequencing_Run	1	-0.441138484568086	0.24351490339	18	0	0.104358446472673	0.522688934870156
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__	Sex	1	0.310887872176123	0.162668635803242	18	12	0.104537786974031	0.522688934870156
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..torques.group	Sex	1	0.689709033666813	0.360832458721226	18	5	0.1044992928456	0.522688934870156
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Sex	1	-1.77063079404307	0.916370116908414	18	14	0.101531072983911	0.522688934870156
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sex	1	0.21699796083723	0.127311693916333	18	0	0.112061858327606	0.538791337741185
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Sequencing_Run	1	-0.457952203159624	0.269573743764715	18	0	0.113146180925649	0.538791337741185
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__	Sex	1	-0.734584149942882	0.391910037973073	18	3	0.11001043521028	0.538791337741185
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sequencing_Run	1	-0.473891028253496	0.284096033185476	18	0	0.119195894989369	0.558730757762667
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Sex	1	0.198402664894379	0.120803833722124	18	0	0.124472814264693	0.574489911990892
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Erysipelatoclostridium	Type	1	-0.36941921947532	0.222553671199752	18	16	0.140892363212998	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes	Type	1	0.505900990579465	0.302531740522924	18	11	0.138399698083802	0.583398413525662
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotellaceae.UCG.001	Sex	1	-0.274102364169485	0.163130021814967	18	0	0.143904942002997	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Sex	1	0.191562667288205	0.112831899684973	18	18	0.140471333403512	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Tuzzerella	Sequencing_Run	2	0.92876413418165	0.593805851905556	18	16	0.143178282810997	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas	Sequencing_Run	2	-0.938720389875623	0.567693473791943	18	5	0.129596702769623	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Cuneatibacter	Sequencing_Run	2	-0.680049202586271	0.420044973872974	18	1	0.134873877851578	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UC5.1.2E3	Sequencing_Run	2	-0.943529900385681	0.583122930697797	18	8	0.133223433707825	0.583398413525662
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.009	Sex	1	0.778450409735106	0.448829176444045	18	9	0.133539801470985	0.583398413525662
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	1	0.598278118029936	0.387064561013519	18	15	0.146170952448697	0.584683809794788
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sequencing_Run	2	0.53320127182153	0.343016005331973	18	18	0.149440256655301	0.589895749955137
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Sequencing_Run	2	0.442805504156886	0.296949113980867	18	18	0.159775523887853	0.622502041121504
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Roseburia	Sex	1	1.6282867184042	1.04492222319021	18	2	0.170177331062179	0.650152300289889
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Sellimonas	Sex	1	0.493916740395398	0.31974072613717	18	5	0.173360921244512	0.650152300289889
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sequencing_Run	2	-0.368240071532495	0.25151096665465	18	12	0.17337394674397	0.650152300289889
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Type	1	-0.226230303173917	0.150508995960188	18	14	0.176516840610781	0.653766076336224
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae.g__Romboutsia	Sex	1	0.718542075431233	0.472807693200189	18	5	0.17938706302853	0.656294133031208
