feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.g__Candidatus.Stoquefichus	Sequencing_Run	2	3.12455955467645	0.196512924077742	15	12	1.99474611011326e-08	6.78213677438507e-06
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Sequencing_Run	2	-1.30921647190883	0.125809370276864	15	1	1.10207319150868e-06	0.000187352442556475
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Sequencing_Run	2	-1.19359282396146	0.125809370276864	15	1	2.5694096784624e-06	0.000253579408335705
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	Sequencing_Run	2	-2.00394051235583	0.222246619818764	15	1	4.06946194588076e-06	0.000253579408335705
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010.g__	Sequencing_Run	2	-1.1109807693266	0.125809370276864	15	1	4.90706389794884e-06	0.000253579408335705
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Holdemania	Sequencing_Run	2	2.05279853594956	0.234077457050762	15	14	5.22075252455863e-06	0.000253579408335705
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sex	1	-3.74477015912184	0.222778404255544	15	9	4.2756183827361e-06	0.000253579408335705
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Sequencing_Run	2	-1.06647030511843	0.125809370276864	15	0	7.06616074872077e-06	0.000300311831820633
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	Sequencing_Run	2	-1.1050102878583	0.133905548154242	15	1	8.96320483115574e-06	0.000305345210139688
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	Sequencing_Run	1	3.39518399730211	0.411520775469441	15	1	8.9807414746967e-06	0.000305345210139688
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	2	2.31822458412635	0.280625735441489	15	13	1.0536100883875e-05	0.000325661300047045
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Sequencing_Run	2	-1.00090020703641	0.125809370276864	15	0	1.23615498024413e-05	0.000350243911069169
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Sequencing_Run	1	1.81186315958435	0.232953687484096	15	1	1.50571557479509e-05	0.000393802534946407
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium..innocuum.group	Sequencing_Run	2	1.6538340277331	0.214600022588177	15	14	1.74231544078722e-05	0.000397558634787981
