feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota	Type	Mucosal	-0.878114184234235	0.155723171536763	53	53	1.49647588540059e-06	5.38731318744211e-05
k__Bacteria.p__Actinobacteriota	Type	Mucosal	-1.28828528135676	0.330651175547376	53	0	0.000361016088338992	0.00649828959010185
k__Bacteria.p__Proteobacteria	Type	Mucosal	1.24267113484684	0.37637931171871	53	3	0.00202018035895885	0.0242421643075062
k__Bacteria.p__Firmicutes	Site	Cecum	1.00518835656731	0.31649764306133	53	53	0.00285141795379944	0.025662761584195
k__Bacteria.p__Proteobacteria	Site	Cecum	-1.16279086333712	0.406606897621091	53	3	0.00669491479271035	0.0482033865075145
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	2015_Sept	2.94385507150002	0.993710394327712	53	14	0.0181022613433737	0.108613568060242
k__Bacteria.p__Bacteroidota	Sequencing_Run	2015_Sept	-1.26612190301486	0.471475839132927	53	53	0.0320958023002019	0.165064126115324
k__Bacteria.p__Proteobacteria	Site	Proximal_Colon	-0.868685355760902	0.406606897621091	53	3	0.0387889221836208	0.174550149826293
k__Bacteria.p__Desulfobacterota	Site	Proximal_Colon	0.658331938569818	0.333552043555478	53	8	0.0553436521546663	0.221374608618665
k__Bacteria.p__Firmicutes	Type	Mucosal	0.545671707594902	0.292590611411239	53	53	0.069374198188421	0.249747113478316
