feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota	Sequencing_Run	2015_Sept	-1.44656379581034	0.518968116457242	18	18	0.0220183331462136	0.528439995509125
k__Bacteria.p__Bacteroidota	Sex	Male	-0.876272147937134	0.413667287835806	18	18	0.0784673536262806	0.627738829010244
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	2015_Sept	2.27905593106041	1.13416845037149	18	4	0.0657179341034345	0.627738829010244
k__Bacteria.p__Bacteroidota	Sequencing_Run	2014_Sept	-0.55855601416355	0.444142651514679	18	18	0.248863903708081	0.889600889655683
k__Bacteria.p__Bacteroidota	Type	Mucosal	-0.230089119657978	0.391697000848222	18	18	0.575374168671022	0.889600889655683
k__Bacteria.p__Firmicutes	Sequencing_Run	2014_Sept	0.850076172850371	0.95735683395521	18	18	0.404049060975943	0.889600889655683
k__Bacteria.p__Firmicutes	Sequencing_Run	2015_Sept	-0.746422289541525	0.840830611822936	18	18	0.393736327005285	0.889600889655683
k__Bacteria.p__Firmicutes	Sex	Male	-0.602704866345382	0.609648499482232	18	18	0.361029649621374	0.889600889655683
k__Bacteria.p__Firmicutes	Type	Mucosal	0.343326210183862	0.844309366197881	18	18	0.696420964701592	0.889600889655683
k__Bacteria.p__Proteobacteria	Sequencing_Run	2014_Sept	0.599844969198872	1.51676802048635	18	1	0.704267370977416	0.889600889655683
k__Bacteria.p__Proteobacteria	Sex	Male	1.16838623929322	0.995161887483228	18	1	0.284854751143503	0.889600889655683
k__Bacteria.p__Verrucomicrobiota	Sex	Male	0.707553918938431	0.733977372302451	18	4	0.352636639910805	0.889600889655683
k__Bacteria.p__Actinobacteriota	Sequencing_Run	2014_Sept	-0.881728694249953	1.00398136855852	18	0	0.40894852842747	0.889600889655683
k__Bacteria.p__Actinobacteriota	Sequencing_Run	2015_Sept	-1.00303271626408	1.17894297510081	18	0	0.417968308129227	0.889600889655683
k__Bacteria.p__Actinobacteriota	Sex	Male	-0.635272707405648	0.940767018038097	18	0	0.524658631041049	0.889600889655683
k__Bacteria.p__Actinobacteriota	Type	Mucosal	-0.616298551536687	0.885428340716046	18	0	0.508843827241328	0.889600889655683
k__Bacteria.p__Desulfobacterota	Sequencing_Run	2014_Sept	0.416764216842679	0.890410848744722	18	3	0.653966440313946	0.889600889655683
k__Bacteria.p__Desulfobacterota	Sequencing_Run	2015_Sept	0.920864074865982	1.97522493517519	18	3	0.655966155593967	0.889600889655683
k__Bacteria.p__Desulfobacterota	Type	Mucosal	0.330698491083315	0.785268556817494	18	3	0.686290783183844	0.889600889655683
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	2014_Sept	-0.426400650478411	1.5410314670484	18	4	0.786362335154488	0.943634802185386
k__Bacteria.p__Proteobacteria	Type	Mucosal	0.164435233574106	1.3376636595942	18	1	0.905619723530446	0.987948789305941
k__Bacteria.p__Desulfobacterota	Sex	Male	0.238309563456515	1.69715905502665	18	3	0.892926070404867	0.987948789305941
k__Bacteria.p__Proteobacteria	Sequencing_Run	2015_Sept	-0.00390120431046499	1.35957707655413	18	1	0.997763028825978	0.997763028825978
k__Bacteria.p__Verrucomicrobiota	Type	Mucosal	0.00792773635337353	1.3590620081117	18	4	0.995434338624442	0.997763028825978
