feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Type	Mucosal	1.70797715338472	0.25099063023828	18	8	0.00025207182910062	0.0746132614137836
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__Butyricicoccus	Sequencing_Run	2014_Sept	-1.69553460483748	0.284596623864796	18	8	0.000565695093638704	0.0837228738585281
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sequencing_Run	2015_Sept	-2.1389410548017	0.557258544295885	18	17	0.00257814731967093	0.254377202207532
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sex	Male	1.66230047340807	0.395410588616305	18	17	0.00566074104955081	0.335115870133408
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Type	Mucosal	0.92020897300551	0.231110683409933	18	15	0.00531249283025526	0.335115870133408
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Sex	Male	2.52907886441728	0.770336970034771	18	5	0.016757946534783	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Type	Mucosal	1.29208265553643	0.430441354199272	18	18	0.0198924766800718	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnoclostridium	Sequencing_Run	2015_Sept	-0.959438096401609	0.36001268470881	18	18	0.0200538648570443	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Sequencing_Run	2014_Sept	-0.841634020453629	0.262054882985513	18	15	0.0148236701841928	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Sequencing_Run	2015_Sept	-1.25957438840579	0.468454281544111	18	18	0.0185870085516398	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.FCS020.group	Sequencing_Run	2014_Sept	2.25286985999447	0.684198221754058	18	15	0.0132529017386708	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Sex	Male	1.78574083291744	0.557583902761673	18	9	0.018538212946421	0.4137903386544
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Harryflintia	Sequencing_Run	2015_Sept	2.41227339660156	0.883243847202691	18	1	0.0178827919592745	0.4137903386544
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	Sequencing_Run	2015_Sept	-2.49743234062668	0.806091796813778	18	18	0.0169233500929127	0.4137903386544
