feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	2015_Sept	-3.48349033601896	0.769199844063905	17	17	0.00116668893539934	0.130669160764726
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Sequencing_Run	2015_Sept	-3.50404354238233	0.807839427704265	17	16	0.000965777342750577	0.130669160764726
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Sequencing_Run	2015_Sept	-2.6892691094555	0.620885768259124	17	17	0.000976394774261927	0.130669160764726
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	2015_Sept	5.19984589765165	1.28273152015074	17	16	0.00159959425057104	0.134365917047967
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Sex	Male	2.84654394743525	0.762145466448774	17	7	0.00284829802796922	0.159504689566276
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella	Sequencing_Run	2015_Sept	3.13319595191773	0.799774939053532	17	2	0.00265770216908897	0.159504689566276
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sequencing_Run	2015_Sept	-6.97474417183687	2.16976997342681	17	13	0.00951224878334391	0.179840822141984
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Type	Mucosal	-2.55677791048767	0.649099157330115	17	13	0.00597555494617836	0.179840822141984
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Sequencing_Run	2015_Sept	-4.46969860034519	1.43293152296117	17	7	0.00886685079855212	0.179840822141984
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	2014_Sept	3.51016930424763	1.04043265064038	17	16	0.00553162031573442	0.179840822141984
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	Type	Mucosal	3.20169405146921	0.980512012601043	17	7	0.00676151244891637	0.179840822141984
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sequencing_Run	2015_Sept	1.99781731441592	0.623691586198875	17	0	0.00963432975760627	0.179840822141984
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Sex	Male	2.60655906537225	0.627404612326687	17	11	0.00682040932774852	0.179840822141984
k__Bacteria.p__Firmicutes.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Tumebacillus	Type	Mucosal	1.93467271850109	0.600237664362373	17	5	0.00731125041293004	0.179840822141984
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.010	Sequencing_Run	2014_Sept	-2.38082081746837	0.762148970277328	17	3	0.00891447790208962	0.179840822141984
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Type	Mucosal	-1.18425260462064	0.305165804948351	17	1	0.00685094872168041	0.179840822141984
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sequencing_Run	2015_Sept	4.65234131259934	1.50724248568462	17	3	0.00942065814370548	0.179840822141984
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UC5.1.2E3	Sequencing_Run	2015_Sept	2.21077652908305	0.647711225294821	17	0	0.00635003200364584	0.179840822141984
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	-1.61619793897705	0.528009502201298	17	17	0.0159972861559445	0.185347867186116
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	2015_Sept	2.51767380276169	0.833356784882184	17	1	0.0123300117294101	0.185347867186116
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Type	Mucosal	1.76892400624855	0.60150185920906	17	3	0.0123525548559002	0.185347867186116
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Sequencing_Run	2015_Sept	1.80468721452323	0.618615796422542	17	0	0.0149706405248259	0.185347867186116
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Sequencing_Run	2015_Sept	-2.57005296129619	0.903714259235388	17	15	0.0147898848252947	0.185347867186116
