feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	2015_Sept	-3.40117418663459	0.737457507986237	17	17	0.00104869858824138	0.109064653177103
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Intestinimonas	Sequencing_Run	2015_Sept	-3.41339059857997	0.781972163488579	17	16	0.00092006888994892	0.109064653177103
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae.g__Incertae.Sedis	Sequencing_Run	2015_Sept	-2.59861616565315	0.601514059370734	17	17	0.00099589236322758	0.109064653177103
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	2015_Sept	5.29049884145401	1.29602938874186	17	14	0.00152034214460026	0.118586687278821
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Sex	Male	2.80060636072764	0.762042715821143	17	6	0.00317700344231215	0.165204179000232
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Eisenbergiella	Sequencing_Run	2015_Sept	3.22079932152516	0.825544589419764	17	2	0.00271417736249277	0.165204179000232
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Type	Mucosal	-1.61817328956866	0.521255459412105	17	17	0.0150048245823235	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sequencing_Run	2015_Sept	-6.88173727435467	2.16136244608156	17	13	0.0100669106676446	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Type	Mucosal	-2.55820359867804	0.640895450473104	17	13	0.00562110385526984	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	2015_Sept	2.60368077486368	0.86481949749622	17	1	0.0124907971142763	0.170610521128402
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae.g__Acinetobacter	Type	Mucosal	1.76621514295678	0.60084367027143	17	3	0.012382125518659	0.170610521128402
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dielma	Sequencing_Run	2015_Sept	1.89241463968581	0.654872783716492	17	0	0.0156265625791203	0.170610521128402
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Escherichia.Shigella	Sequencing_Run	2015_Sept	-4.37904565654283	1.43273833856289	17	6	0.00996517531652234	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides	Sequencing_Run	2014_Sept	3.54644613465844	1.05121864634469	17	14	0.0055327153053021	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.004	Sequencing_Run	2015_Sept	-2.47940001749383	0.883513796147026	17	15	0.0158580292074476	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Paraprevotella	Type	Mucosal	3.19898518817745	0.993900692410345	17	7	0.00737338211291688	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Candidatus.Arthromitus	Sequencing_Run	2015_Sept	-3.80076489939205	1.30073787952423	17	11	0.012792541350786	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sequencing_Run	2015_Sept	2.08475634545301	0.658722321949695	17	0	0.010133312974561	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Type	Mucosal	-1.31418542316658	0.417691091736524	17	17	0.0139182095315031	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Sex	Male	2.56086190348716	0.644598231282157	17	10	0.00829120511243036	0.170610521128402
k__Bacteria.p__Firmicutes.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Tumebacillus	Type	Mucosal	1.93196385520934	0.600225244161282	17	5	0.00737181042073199	0.170610521128402
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Alloprevotella	Type	Mucosal	-1.65790676217422	0.514738469745027	17	17	0.0134303465915618	0.170610521128402
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Type	Mucosal	-1.68577870244996	0.501467745730064	17	5	0.0114465386706046	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.010	Sequencing_Run	2014_Sept	-2.33307736834643	0.757293953340994	17	2	0.00960854181972337	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.006	Type	Mucosal	-1.18925666109684	0.303001239764915	17	1	0.00646056425168632	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae.g__UCG.009	Sex	Male	1.5199987107907	0.539449818282149	17	8	0.0155265308247447	0.170610521128402
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sequencing_Run	2015_Sept	4.7429942564017	1.53165614955857	17	3	0.00924747017385829	0.170610521128402
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__UC5.1.2E3	Sequencing_Run	2015_Sept	2.29741491237091	0.681717586520842	17	0	0.00677774454165828	0.170610521128402
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Sequencing_Run	2015_Sept	3.93180729093345	1.38637977967338	17	2	0.015007019081882	0.170610521128402
k__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae.g__Akkermansia	Sequencing_Run	2015_Sept	6.36399546161687	2.2425979493107	17	11	0.0180889482842265	0.188125062155955
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium..innocuum.group	Sequencing_Run	2015_Sept	2.88729081953263	1.07237515147007	17	1	0.0222920479309413	0.204562322189814
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Blautia	Type	Mucosal	1.80462677085964	0.637951106395257	17	3	0.0215897195702113	0.204562322189814
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Sex	Male	-2.14415129793258	0.81465497257826	17	3	0.0218957257897288	0.204562322189814
k__Bacteria.p__Firmicutes.c__Negativicutes.o__Acidaminococcales.f__Acidaminococcaceae.g__Phascolarctobacterium	Type	Mucosal	2.10212967319584	0.795483934882378	17	3	0.021471246654929	0.204562322189814
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila	Sex	Male	-1.91551582425886	0.737385595140512	17	2	0.0233240386270333	0.207917144332411
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Type	Mucosal	-0.989827334144375	0.370601721529189	17	17	0.0282655566263668	0.240344208827741
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Oscillibacter	Sequencing_Run	2015_Sept	-2.63219440949742	1.0638987298128	17	16	0.0292726921008146	0.240344208827741
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Anaerostipes	Sequencing_Run	2015_Sept	1.84036887838075	0.729108893581274	17	0	0.0287380998024363	0.240344208827741
