feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Firmicutes.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Tumebacillus	Sequencing_Run	2014_Sept	-4.19342081386926	0.499374162490377	15	5	9.48618702412968e-06	0.00326324833630061
k__Bacteria.p__Firmicutes.c__Bacilli.o__Alicyclobacillales.f__Alicyclobacillaceae.g__Tumebacillus	Type	Mucosal	3.98113856699453	0.384942544704293	15	5	0.000240467969381811	0.0413604907336715
k__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium	Sequencing_Run	2014_Sept	-3.32973016101852	0.429188923701814	15	10	0.000551176373832353	0.0632015575327765
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Ruminococcus..torques.group	Type	Mucosal	0.833541959959769	0.150051779058111	15	0	0.00133840144750776	0.115102524485667
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Type	Mucosal	-2.80472602922074	0.50362819483227	15	15	0.00216360347746657	0.12404659937475
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__	Type	Mucosal	3.6967253265182	0.893608259718469	15	3	0.00202196154597268	0.12404659937475
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Sex	Male	-0.879683818280414	0.155843967093382	15	0	0.00277092428976274	0.136171136525483
k__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Eubacteriaceae.g__Eubacterium	Sex	Male	-1.15261890021626	0.299910092665352	15	0	0.00324799298255739	0.139663698249968
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Acetatifactor	Sequencing_Run	2014_Sept	2.47621012048695	0.706922744400469	15	5	0.00569976677943246	0.148538110047438
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Hungatella	Type	Mucosal	0.651215387547078	0.165783294834939	15	0	0.0054343296233879	0.148538110047438
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Type	Mucosal	-2.37681175608078	0.573653813782224	15	15	0.0057261966874397	0.148538110047438
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__.Eubacterium..nodatum.group	Type	Mucosal	-1.82144759344421	0.428773454772957	15	7	0.00487178985125645	0.148538110047438
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae.g__Ligilactobacillus	Sequencing_Run	2014_Sept	-3.34110291258942	0.796625654164106	15	15	0.00604515564146551	0.148538110047438
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Cuneatibacter	Type	Mucosal	0.764491380492606	0.187473344371533	15	0	0.00519577927837785	0.148538110047438
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Type	Mucosal	1.35141035940014	0.311429597617818	15	5	0.00698831743849943	0.160265413256254
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Faecalibaculum	Type	Mucosal	-1.97122339840592	0.46253440633715	15	6	0.00896101886778653	0.171255027251031
k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__	Sequencing_Run	2014_Sept	-3.54931474508627	1.09444213312336	15	3	0.00882393590769272	0.171255027251031
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Cuneatibacter	Sex	Male	-0.963555416682105	0.225176650629496	15	0	0.00830371909987613	0.171255027251031
