feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Sequencing_Run	2014_Sept	-1.20706194879364	0.555862186650167	18	18	0.0664683868513613	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae.g__	Sex	Male	-0.891407541613585	0.719415247436046	18	18	0.261588313319251	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sequencing_Run	2014_Sept	-1.96363906028594	1.23498335511899	18	12	0.15585706348902	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sequencing_Run	2015_Sept	-5.20111954518655	2.12557378116767	18	12	0.0438068731420967	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Sex	Male	-2.43761232227998	1.79373525518757	18	12	0.223020989408204	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sequencing_Run	2014_Sept	0.77793790510316	0.75138006637404	18	18	0.334944566930259	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__	Sex	Male	-0.488484551110115	0.513855111591177	18	18	0.378498387599182	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Sequencing_Run	2014_Sept	0.614321959619302	0.859318539767299	18	18	0.497817206552063	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Sequencing_Run	2015_Sept	-0.77591052583992	1.2130896502163	18	18	0.540959628062042	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia.vadinBB60.group.f__.g__	Sex	Male	-0.548628180707447	1.00049187230052	18	18	0.603234789003056	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Sequencing_Run	2014_Sept	1.44013173792927	1.58847338080276	18	18	0.394747185561473	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.NK4A136.group	Sequencing_Run	2015_Sept	1.33889870596412	1.36453482061328	18	18	0.347203546440007	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Sequencing_Run	2015_Sept	-0.842761556699616	0.645488188228867	18	18	0.232167290023751	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Sex	Male	-0.843704018821547	0.543959987704926	18	18	0.171873301888322	0.950582354070666
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Type	Mucosal	-1.12269384961087	0.335693507027145	18	18	0.0123450172801489	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Sequencing_Run	2015_Sept	-0.958002114606808	0.868388910959621	18	18	0.296365667524912	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Sex	Male	-0.506510620105827	0.662356720079485	18	18	0.473437877277503	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__	Type	Mucosal	0.871470044538211	0.768908976850643	18	18	0.294373279706544	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__.Eubacterium..fissicatena.group	Sequencing_Run	2015_Sept	0.323462798721826	0.465814515267438	18	0	0.499652203695414	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Sequencing_Run	2015_Sept	0.619400993464077	0.713954359717627	18	0	0.402630941307099	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Sex	Male	-0.359995760797248	0.489518690234632	18	0	0.489828192032953	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Turicibacter	Type	Mucosal	0.711371676870042	0.792032227603954	18	0	0.398938584557057	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	Sequencing_Run	2015_Sept	-0.726617267052303	1.2806675117274	18	4	0.582482110077849	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	Sex	Male	1.35439874307564	0.951596063613538	18	4	0.20450663378784	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Dubosiella	Type	Mucosal	-0.751998024163477	1.21672590076727	18	4	0.556108409612137	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	2014_Sept	-0.669295687198752	0.660741128664513	18	18	0.344810861417658	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sequencing_Run	2015_Sept	-1.36162270787324	0.651977118007557	18	18	0.0637009650638033	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Sex	Male	-0.325036321114719	0.495704455900622	18	18	0.536330928732256	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Type	Mucosal	0.990293626304894	0.582718902479478	18	18	0.133037875506048	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sequencing_Run	2014_Sept	0.946326982249148	1.05145727777158	18	16	0.398016226119748	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sequencing_Run	2015_Sept	-1.13923044385289	0.871057747986464	18	16	0.216273698082764	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__GCA.900066575	Sex	Male	0.937431989853437	0.612504602257341	18	16	0.176771514860176	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium..innocuum.group	Sequencing_Run	2015_Sept	0.377317301695703	0.507407757214299	18	0	0.470334991748142	0.950582354070666
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__.Clostridium..innocuum.group	Sex	Male	0.204866186662296	0.328369046241805	18	0	0.543492769809141	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	Sex	Male	-2.62704207504641	1.39397484842225	18	8	0.108465735691245	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Marvinbryantia	Type	Mucosal	0.533034204900677	0.739391211669944	18	8	0.494331255829161	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Sequencing_Run	2014_Sept	0.987150386848569	1.23124965364248	18	4	0.449055572148648	0.950582354070666
k__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.g__Lachnospiraceae.UCG.001	Sequencing_Run	2015_Sept	-1.75835544350068	2.62144242781226	18	4	0.524808877071658	0.950582354070666
