"","(Intercept)","Sequencing_Run2014-September","Sequencing_Run2015-September","Sequencing_Run2017-April","GenotypeTCR_KO","GenotypeRAGROR","SiteProximal_Colon","SiteCecum","SiteIleum","SiteJejunum","SiteDuodenum","GenotypeTCR_KO:SiteProximal_Colon","GenotypeRAGROR:SiteProximal_Colon","GenotypeTCR_KO:SiteCecum","GenotypeRAGROR:SiteCecum","GenotypeTCR_KO:SiteIleum","GenotypeRAGROR:SiteIleum","GenotypeTCR_KO:SiteJejunum","GenotypeRAGROR:SiteJejunum","GenotypeTCR_KO:SiteDuodenum","GenotypeRAGROR:SiteDuodenum"
"TILCDTT774",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT739",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCDTT736",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT852",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT778",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT845",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT744",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT843",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT737",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT850",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT813",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT810",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT841",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TILCDTT846",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT743",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT735",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT809",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT851",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT777",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT844",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT773",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT848",1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCDTT734",1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCDTT807",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT780",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT742",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT849",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT738",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT740",1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCDTT771",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT816",1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"TILCDTT772",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT741",1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"TILCDTT779",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT808",1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"TILCDTT815",1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT590",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCDTT425",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"TILCDTT554",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TILCDTT296",1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"IL17DTT201",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
