metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	k__Bacteria.p__Actinobacteria	Mucosal	-1.40018414080416	0.397343251844468	18	3	0.00656635571587367	0.0328317785793683
Type	k__Bacteria.p__Deferribacteres	Mucosal	1.6525117932021	0.420410743578362	18	10	0.00597954725054264	0.0328317785793683
Type	k__Bacteria.p__Proteobacteria	Mucosal	-0.776082444462937	0.18599148441919	18	16	0.00304563073550485	0.0328317785793683
Sequencing_Run	k__Bacteria.p__Actinobacteria	Two	-1.64591770367698	0.531328284759422	18	3	0.0162844304133381	0.0558369389315416
Sex	k__Bacteria.p__Actinobacteria	M	1.5083805646416	0.509582203466888	18	3	0.0186123129771805	0.0558369389315416
Type	k__Bacteria.p__Bacteroidetes	Mucosal	-0.60532289368239	0.236808490734026	18	18	0.0308569636392586	0.0771424090981464
Sex	k__Bacteria.p__Bacteroidetes	M	-0.576104188729416	0.269436408210814	18	18	0.0666703499503458	0.125006906156898
Type	k__Bacteria.p__Firmicutes	Mucosal	-0.460435809737003	0.223977671489027	18	18	0.0589562122170207	0.125006906156898
Sequencing_Run	k__Bacteria.p__Bacteroidetes	Two	0.549168889106971	0.279682673443648	18	18	0.0894933047396529	0.149155507899421
Sex	k__Bacteria.p__Firmicutes	M	-0.406396146825264	0.248661433140749	18	18	0.124466212884488	0.186699319326732
Sequencing_Run	k__Bacteria.p__Firmicutes	Two	0.37964804802826	0.257874218823823	18	18	0.163082972956101	0.222385872212865
