feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Deferribacterota	Site_General	SI	-3.33610613336953	0.378915170230198	60	11	3.74095077955253e-12	8.97828187092607e-11
k__Bacteria.p__Proteobacteria	Site_General	SI	1.17354553919154	0.180705139257117	60	54	4.03121443862947e-08	4.83745732635536e-07
k__Bacteria.p__Cyanobacteria	Site_General	SI	1.52990118336552	0.355698709933213	60	5	8.07907750691414e-05	0.000646326200553131
k__Bacteria.p__Actinobacteriota	Site_General	SI	0.910525824148545	0.280727150003805	60	25	0.00212889838073628	0.0127733902844177
k__Bacteria.p__Bacteroidota	Sex	M	-0.374901130312164	0.175044697071673	60	60	0.0365782326935754	0.175575516929162
k__Bacteria.p__Firmicutes	Sex	M	-0.847547752419928	0.474894652148881	60	60	0.117483675407704	0.469934701630817
k__Bacteria.p__Bacteroidota	Sequencing_Run	Two	0.266265706850175	0.187130652518237	60	60	0.160316138089854	0.549655330593787
k__Bacteria.p__Bacteroidota	Site_General	SI	-0.191299318997955	0.160249116946275	60	60	0.237603609788202	0.570945722138521
k__Bacteria.p__Verrucomicrobiota	Sex	M	0.801682080479757	0.619428303809205	60	3	0.236645178967052	0.570945722138521
k__Bacteria.p__Deferribacterota	Sex	M	-0.493788392949892	0.413899885707595	60	11	0.23789405089105	0.570945722138521
k__Bacteria.p__Desulfobacterota	Site_General	SI	0.236779290867378	0.231809368704523	60	21	0.312062886263638	0.680864479120664
k__Bacteria.p__Firmicutes	Site_General	SI	-0.180782483639003	0.193298623289651	60	60	0.354246081198664	0.708492162397327
k__Bacteria.p__Proteobacteria	Sequencing_Run	Two	-0.297894221957745	0.348712355722266	60	54	0.42122627771107	0.77764851269736
k__Bacteria.p__Actinobacteriota	Sequencing_Run	Two	-0.486625230236761	0.668698285673249	60	25	0.490403750763198	0.784646001221117
k__Bacteria.p__Actinobacteriota	Sex	M	0.45581532332062	0.625509970028096	60	25	0.489834698188015	0.784646001221117
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Two	0.385797586221672	0.662196711007018	60	3	0.578436211278429	0.867654316917644
k__Bacteria.p__Firmicutes	Sequencing_Run	Two	-0.200415225232078	0.507683738043515	60	60	0.704769177178898	0.879808510874565
k__Bacteria.p__Verrucomicrobiota	Site_General	SI	-0.142563901566504	0.305681335525592	60	3	0.643009812927249	0.879808510874565
k__Bacteria.p__Proteobacteria	Sex	M	0.148594183979063	0.32619054041189	60	54	0.662512146961131	0.879808510874565
k__Bacteria.p__Cyanobacteria	Sex	M	0.308682596914071	0.869971091032089	60	5	0.733173759062138	0.879808510874565
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Two	0.0946220592468165	0.469659046675849	60	21	0.846060806405015	0.903403246542225
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Two	0.163106504799252	0.930038216868572	60	5	0.865749003419797	0.903403246542225
k__Bacteria.p__Deferribacterota	Sequencing_Run	Two	0.0751428203086553	0.44247758992649	60	11	0.865761444602965	0.903403246542225
k__Bacteria.p__Desulfobacterota	Sex	M	0.00146309098844808	0.439325810314974	60	21	0.997435723924618	0.997435723924618
