metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sequencing_Run	k__Bacteria.p__Proteobacteria	2014_Sept	1.56154948457229	0.504285834710267	16	8	0.0194158482428663	0.16967828548369
Sex	k__Bacteria.p__Proteobacteria	Male	2.26085376926893	0.727886096792097	16	8	0.0212097856854613	0.16967828548369
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2014_Sept	-2.21340739843614	1.03987725005536	16	16	0.0567243898995322	0.301929147431142
Type	k__Bacteria.p__Firmicutes	Mucosal	0.757102747319686	0.397892962834155	16	16	0.0925037711551197	0.301929147431142
Type	k__Bacteria.p__Verrucomicrobia	Mucosal	-1.23269547284099	0.622300244960086	16	12	0.0943528585722317	0.301929147431142
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2015_Sept	-1.2840759358846	0.858123438305822	16	16	0.162685518629556	0.433828049678816
Sequencing_Run	k__Bacteria.p__Firmicutes	2015_Sept	-0.681640901822637	0.512440102483692	16	16	0.228011709462478	0.521169621628522
Sequencing_Run	k__Bacteria.p__Firmicutes	2014_Sept	-0.533071841075298	0.61133651845136	16	16	0.401924435535945	0.584617360779557
Type	k__Bacteria.p__Proteobacteria	Mucosal	-0.304374618034511	0.277430619491404	16	8	0.316357725889532	0.584617360779557
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2015_Sept	1.31228219332787	1.41142969444491	16	12	0.386869481103489	0.584617360779557
Sex	k__Bacteria.p__Verrucomicrobia	Male	-1.12858193097544	1.20619377959891	16	12	0.387986920672274	0.584617360779557
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2014_Sept	0.864687052837725	1.10329442782497	16	12	0.45741439089902	0.609885854532027
Type	k__Bacteria.p__Bacteroidetes	Mucosal	0.193047798566369	0.686305452386385	16	16	0.7837122002769	0.895671086030743
Sequencing_Run	k__Bacteria.p__Proteobacteria	2015_Sept	-0.282551358963747	0.839909042968038	16	8	0.747425897513029	0.895671086030743
Sex	k__Bacteria.p__Bacteroidetes	Male	-0.0102242676045294	0.684692511373045	16	16	0.988353317957244	0.988353317957244
Sex	k__Bacteria.p__Firmicutes	Male	0.039182578914204	0.41090997518815	16	16	0.927612396318872	0.988353317957244
