feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Bacteroidota	Site_General	SI	-3.38683071414626	0.124921986660899	262	259	1.56648948623166e-71	7.67579848253513e-70
k__Bacteria.p__Cyanobacteria	Site_General	SI	3.48463845973846	0.191161522181413	262	63	4.84064223987401e-48	1.18595734876913e-46
k__Bacteria.p__Desulfobacterota	Site_General	SI	-1.24122850925978	0.120417942860146	262	1	1.58413021224775e-20	2.58741268000465e-19
k__Bacteria.p__Proteobacteria	Site_General	SI	1.24685177502453	0.140238414396704	262	207	2.42084732708135e-16	2.96553797567465e-15
k__Bacteria.p__Firmicutes	Site_General	SI	-0.576089516621663	0.0792892555330063	262	262	6.64404070731498e-12	6.51115989316868e-11
k__Bacteria.p__Verrucomicrobiota	Sex	Male	-5.25553099000798	0.817406830891973	262	146	1.47513385458404e-07	1.2046926479103e-06
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Oct_2017	-5.9477419370635	1.01033020619804	262	146	8.14818715883139e-07	5.70373101118197e-06
k__Bacteria.p__Actinobacteriota	Site_General	SI	0.628141445255472	0.125538217711709	262	2	1.16415047763884e-06	7.13042167553789e-06
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Dec_2018	-1.37633217836137	0.309796287525526	262	63	1.3271243778507e-05	7.22545494607604e-05
k__Bacteria.p__Proteobacteria	Sequencing_Run	May_2018	-2.70991819082462	0.566437278710734	262	207	2.57068752977771e-05	0.00011451244450828
k__Bacteria.p__Proteobacteria	Sex	Male	2.13872208466457	0.444797539430722	262	207	2.40515370555109e-05	0.00011451244450828
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Oct_2017	1.30352831212918	0.345709423963853	262	63	0.000202621509076871	0.000827371162063891
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	Dec_2018	3.66265361979448	0.906471252301954	262	146	0.000250611158599693	0.000944611290106537
k__Bacteria.p__Firmicutes	Sequencing_Run	Oct_2017	1.05119027212242	0.264404108215596	262	262	0.000303249051357687	0.0010613716797519
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Oct_2017	1.48158896085662	0.376894150063721	262	1	0.000344989669840736	0.00112696625481307
k__Bacteria.p__Desulfobacterota	Sequencing_Run	Dec_2017	1.1218089431207	0.302093582596714	262	1	0.000652781896857832	0.00199914455912711
k__Bacteria.p__Firmicutes	Sequencing_Run	April_2017	2.3373945740009	0.685411401732108	262	262	0.000763825382731856	0.00220161433846241
k__Bacteria.p__Cyanobacteria	Sequencing_Run	May_2018	1.20919295802934	0.35695322090118	262	63	0.000817198342899848	0.00222459548900514
k__Bacteria.p__Proteobacteria	Sequencing_Run	Dec_2018	-1.48852458001843	0.493272684031991	262	207	0.00452603389135271	0.0116724031934886
k__Bacteria.p__Cyanobacteria	Sex	Male	0.795363266633105	0.279324106582721	262	63	0.00476737632507149	0.0116800719964251
k__Bacteria.p__Bacteroidota	Sex	Male	0.789284281515625	0.331507065300395	262	259	0.0223816568675709	0.052223866024332
k__Bacteria.p__Firmicutes	Sex	Male	0.490640029730211	0.213844727882999	262	262	0.0273926757413775	0.0610109596057954
k__Bacteria.p__Desulfobacterota	Sex	Male	0.674846435278364	0.304805440591407	262	1	0.0328935650492416	0.0700775951049061
k__Bacteria.p__Cyanobacteria	Sequencing_Run	Dec_2017	0.551844667313054	0.276951199859578	262	63	0.0473787556027271	0.0967316260222344
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	May_2018	2.06546387964256	1.04029583556652	262	146	0.0543383319337908	0.10650313059023
k__Bacteria.p__Actinobacteriota	Sequencing_Run	Oct_2017	0.930492541018407	0.5015687600632	262	2	0.0713340322675447	0.134437214658065
k__Bacteria.p__Proteobacteria	Sequencing_Run	Dec_2017	-0.799398358373537	0.440803459169202	262	207	0.077642328213135	0.140906447497912
k__Bacteria.p__Bacteroidota	Sequencing_Run	Dec_2018	-0.655258311080297	0.367640750142861	262	259	0.0826770256872462	0.144684794952681
k__Bacteria.p__Proteobacteria	Sequencing_Run	Oct_2017	0.923821522575497	0.549889683690555	262	207	0.101136816709189	0.170886345474148
