feature	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Firmicutes	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Verrucomicrobiota	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Desulfobacterota
TL1a_FP_162	160787	10083	1062	27534	0	2616
TL1a_FP_88	50355	34632	56	202	9	210
TL1a_FP_230	47853	20100	0	20	76	291
TL1a_FP_89	130637	12464	1007	16963	0	1340
TL1a_FP_234	85304	5654	34	66	53	2010
TL1a_FP_128	37165	29997	3	131	4	1
TL1a_FP_129	29171	13237	8	10	6	3
TL1a_FP_287	63104	9190	1032	1097	143	470
TL1a_FP_86	56718	33595	63	112	12	125
TL1a_FP_198	52367	258014	1146	2158	48	0
TL1a_FP_161	72695	4106	1586	14278	0	1084
TL1a_FP_266	46263	10051	210	6	54	322
TL1a_FP_197	47458	15101	45	2360	37	45
TL1a_FP_159	16735	2252	24	0	0	16
TL1a_FP_132	60861	6216	57	8	6	356
TL1a_FP_130	51494	5719	2268	8147	17	703
TL1a_FP_90	9116	10564	10268	18901	0	300
TL1a_FP_195	46295	7216	0	35	7	0
TL1a_FP_158	26075	2499	33	10	0	81
TL1a_FP_231	52454	12328	0	4	30	934
TL1a_FP_284	54908	4006	9	49	148	0
TL1a_FP_267	42370	11632	87	7	23	588
TL1a_FP_269	46650	18659	1432	544	880	7775
TL1a_FP_288	67666	34630	402	154	774	103
TL1a_FP_87	40268	72242	5	881	0	31
TL1a_FP_196	39482	14261	0	11	70	3
TL1a_FP_131	13324	15104	16	10	49	15
TL1a_FP_270	73545	6198	443	1223	26	609
TL1a_FP_160	20946	17498	4879	657	1114	14114
TL1a_FP_194	54018	2265	0	21	17	0
TL1a_FP_286	30618	75958	361	73	4842	92
TL1a_FP_232	5943	59488	9	27	1233	636
TL1a_FP_233	36250	15931	25	505	436	2538
TL1a_FP_268	41812	20279	382	184	185	3336
TL1a_FP_285	42414	22553	8	111	196	1
TL1a_FP_85	55869	16774	19	208	10	277
TL1a_FP_127	57204	13753	0	1	17	0
TL1a_FP_193	54251	1201	0	16	12	1
TL1a_FP_265	38541	4227	178	26	3	12
TL1a_FP_157	74268	4548	139	0	12	281
TL1a_FP_283	51010	25172	16	2	112	11
TL1a_FP_229	34280	2791	0	14	6	12
TL1A_FP_626	9114	4096	45	1174	13	34
TL1A_FP_677	1582	4973	2738	4635	0	2
TL1A_FP_674	9054	4132	10	222	2	156
TL1A_FP_678	4631	1698	491	3260	0	42
TL1A_FP_625	9076	1408	46	1955	14	9
TL1A_FP_630	8761	4904	141	857	15	58
TL1A_FP_673	14088	4164	5	697	14	32
TL1A_FP_675	9278	6596	5	94	6	236
TL1A_FP_627	5616	10691	18	696	7	72
