metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site_General	k__Bacteria.p__Bacteroidetes	SI	-1.45694723515752	0.248103957482819	51	51	6.83415048546749e-07	1.0934640776748e-05
Site_General	k__Bacteria.p__Proteobacteria	SI	1.60996370672384	0.309312993734929	51	15	6.11390383608007e-06	4.89112306886405e-05
Site_General	k__Bacteria.p__Firmicutes	SI	-1.05072153728514	0.264494397309736	51	51	0.000284768311814892	0.00151876432967942
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2015_Sept	-1.31265336760973	0.390719816260733	51	51	0.00921215773405657	0.029478904748981
Site_General	k__Bacteria.p__Verrucomicrobia	SI	1.39024063804631	0.504087334769815	51	14	0.00869656256681584	0.029478904748981
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2015_Sept	2.55086285149841	0.97186208275634	51	14	0.0320648730797939	0.0855063282127837
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2014_Sept	0.587008088528598	0.362965766869075	51	51	0.113615569937201	0.25969273128503
Sex	k__Bacteria.p__Firmicutes	Male	-0.578153576902518	0.329908730856959	51	51	0.131030769157244	0.262061538314488
Sex	k__Bacteria.p__Bacteroidetes	Male	-0.506008135047829	0.314450093669228	51	51	0.159114319436234	0.275275019525234
Sequencing_Run	k__Bacteria.p__Firmicutes	2015_Sept	-0.591242768945506	0.411012683883352	51	51	0.186263615284784	0.275275019525234
Sex	k__Bacteria.p__Proteobacteria	Male	1.46809184177378	0.991163607550317	51	15	0.189251575923598	0.275275019525234
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2014_Sept	-0.659362592958477	0.737120580100707	51	14	0.376367501635501	0.501823335514002
Sex	k__Bacteria.p__Verrucomicrobia	Male	0.537342785591831	0.807382607199601	51	14	0.530559577461982	0.652996403030132
Sequencing_Run	k__Bacteria.p__Firmicutes	2014_Sept	-0.148724631939462	0.38695860183274	51	51	0.702744382570212	0.8031364372231
Sequencing_Run	k__Bacteria.p__Proteobacteria	2014_Sept	-0.000139427899238694	0.451997494223823	51	15	0.999755407464029	0.999755407464029
Sequencing_Run	k__Bacteria.p__Proteobacteria	2015_Sept	-0.00516272807895806	1.14180281844295	51	15	0.996530761800438	0.999755407464029
