metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2015_Sept	-1.44680694973136	0.488617399156785	18	18	0.0146637194035428	0.234619510456685
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2015_Sept	2.28354059723655	1.08982062718714	18	2	0.0562869121367953	0.450295297094363
Sex	k__Bacteria.p__Bacteroidetes	Male	-0.563290599323463	0.373230740341857	18	18	0.181976838781274	0.727907355125096
Sex	k__Bacteria.p__Verrucomicrobia	Male	1.02051948520053	0.705277668376175	18	2	0.171584351257508	0.727907355125096
Sequencing_Run	k__Bacteria.p__Bacteroidetes	2014_Sept	-0.553391976163636	0.488448312508096	18	18	0.294540530712609	0.886821950696382
Sequencing_Run	k__Bacteria.p__Firmicutes	2015_Sept	-0.743243022092208	0.737660925107229	18	18	0.332558231511143	0.886821950696382
Type	k__Bacteria.p__Bacteroidetes	Mucosal	-0.184370684060104	0.430770921068527	18	18	0.681509878499588	0.908679837999451
Sequencing_Run	k__Bacteria.p__Firmicutes	2014_Sept	0.863500870107283	0.994742001273008	18	18	0.414126250832244	0.908679837999451
Sex	k__Bacteria.p__Firmicutes	Male	-0.282233317931049	0.480434999313847	18	18	0.578321079092691	0.908679837999451
Type	k__Bacteria.p__Firmicutes	Mucosal	0.383994076743646	0.877279984679692	18	18	0.674784610316351	0.908679837999451
Sequencing_Run	k__Bacteria.p__Proteobacteria	2014_Sept	0.9776473750489	1.55998831844647	18	2	0.550738136698935	0.908679837999451
Sequencing_Run	k__Bacteria.p__Proteobacteria	2015_Sept	0.905057424674969	1.5648725054785	18	2	0.576185601502167	0.908679837999451
Type	k__Bacteria.p__Proteobacteria	Mucosal	0.326444602107812	1.37578037959173	18	2	0.819234712890049	0.936268243302914
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	2014_Sept	-0.416214112610497	1.48077464100127	18	2	0.783073988268416	0.936268243302914
Sex	k__Bacteria.p__Proteobacteria	Male	0.147311573197547	1.19643198673116	18	2	0.906028367337642	0.966430258493485
Type	k__Bacteria.p__Verrucomicrobia	Mucosal	0.0490791465493503	1.30592048260677	18	2	0.970591924202566	0.970591924202566
