metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	k__Bacteria.p__Actinobacteria	Mucosal	-1.15212038913301	0.1497299064094	95	11	0.000000000760686643589042	0.0000000372736455358631
Line	k__Bacteria.p__Verrucomicrobia	Vil1Cre	3.51496825853653	0.572985411712383	95	10	0.00000026653984564409	0.00000653022621828021
Type	k__Bacteria.p__Cyanobacteria	Mucosal	0.886550074462209	0.173429946059864	95	11	0.00000578094728696716	0.0000944221390204637
Line	k__Bacteria.p__Bacteroidetes	Vil1Cre	-1.19398467173991	0.245820833406486	95	95	0.000018338520510893	0.000224646876258439
Type	k__Bacteria.p__Bacteroidetes	Mucosal	-0.5884751914496	0.128023084960226	95	95	0.0000333965096268669	0.000327285794343295
Line	k__Bacteria.p__Firmicutes	Vil1Cre	-1.04025290332225	0.223054959411807	95	95	0.0000417037465472782	0.000340580596802772
Line	k__Bacteria.p__Verrucomicrobia	JJWT	3.76175534409099	0.968898532053238	95	10	0.000359101015510701	0.0025137071085749
Line	k__Bacteria.p__Tenericutes	JJWT	4.33073705591694	1.21468154752613	95	10	0.000928998637771871	0.00569011665635271
Line	k__Bacteria.p__Cyanobacteria	Vil1Cre	-1.02222799146796	0.307080942216911	95	11	0.00185157519675577	0.0100807982934481
Type	k__Bacteria.p__Firmicutes	Mucosal	-0.326730396788789	0.11518929049982	95	95	0.00700590256208615	0.0313489896869272
Type	k__Bacteria.p__Verrucomicrobia	Mucosal	-0.659718732417535	0.234030206652944	95	10	0.00703752829706529	0.0313489896869272
Line	k__Bacteria.p__Proteobacteria	Vil1Cre	0.770389998060433	0.295980348136378	95	95	0.0108678762515825	0.0443771613606285
Line	k__Bacteria.p__Firmicutes	JJWT	-0.931482457015351	0.377960750726493	95	95	0.0185020889220543	0.0697386428600509
Sequencing_Run	k__Bacteria.p__Tenericutes	NovaSeq_Mar_Twenty	-3.42686425990998	1.69901538574262	95	10	0.0500671163709042	0.163552580144954
Line	k__Bacteria.p__Verrucomicrobia	LyzCre	1.26047105298012	0.616111875075956	95	10	0.0472120504988348	0.163552580144954
Line	k__Bacteria.p__Actinobacteria	Vil1Cre	-0.483780175945938	0.277807760823289	95	11	0.089140710976285	0.268833858393326
Type	k__Bacteria.p__Proteobacteria	Mucosal	0.342863176181728	0.202039023264107	95	95	0.0932688896466643	0.268833858393326
Line	k__Bacteria.p__Actinobacteria	JJWT	-0.793230405265449	0.470958330776397	95	11	0.0995883309031472	0.271101567458567
Sex	k__Bacteria.p__Actinobacteria	Male	0.318389235273834	0.206752152078972	95	11	0.130733931952474	0.322944333692116
Sequencing_Run	k__Bacteria.p__Tenericutes	NovaSeq_Jan_Twenty	-1.46097156569796	0.950823205246396	95	10	0.131814013751884	0.322944333692116
Line	k__Bacteria.p__Bacteroidetes	JJWT	-0.591622491778139	0.416574661499588	95	95	0.163068227687425	0.379109479926071
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	NovaSeq_Jan_Twenty	-1.06351126796296	0.762378041241619	95	10	0.170212419558644	0.379109479926071
