feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Cyanobacteria	Site_General	SI	-1.24206386868757	0.100770010673074	270	8	5.6589981021698e-27	3.16903893721509e-25
k__Bacteria.p__Proteobacteria	Site_General	SI	0.591271739023481	0.0823673283513036	270	234	1.05667418645623e-11	2.95868772207745e-10
k__Bacteria.p__Firmicutes	Site_General	SI	0.462824752344461	0.0731320173504801	270	270	1.35538512974861e-09	2.53005224219741e-08
k__Bacteria.p__Verrucomicrobiota	Line	Vil1Cre	3.00266408046415	0.445429082155307	270	27	4.18874240059559e-08	5.86423936083383e-07
k__Bacteria.p__Desulfobacterota	Line	Vil1Cre	-1.45022428411666	0.234178870279046	270	218	2.25509340830755e-07	2.37948594591062e-06
k__Bacteria.p__Proteobacteria	Line	Vil1Cre	3.14935729203	0.510959465992249	270	234	2.54944922776138e-07	2.37948594591062e-06
k__Bacteria.p__Firmicutes	Line	Vil1Cre	-1.24231876366653	0.23451793937132	270	270	4.47139110273648e-06	3.57711288218919e-05
k__Bacteria.p__Bacteroidota	Line	Vil1Cre	-1.88818403964579	0.373757424400823	270	261	9.40545521105253e-06	6.58381864773677e-05
k__Bacteria.p__Actinobacteriota	Line	Vil1Cre	-0.915580188302109	0.269041063827744	270	5	0.00150207234393302	0.00846404152631422
k__Bacteria.p__Cyanobacteria	Line	Vil1Cre	-0.701699221443004	0.206745037961689	270	8	0.00154159681664568	0.00846404152631422
k__Bacteria.p__Deferribacterota	Line	JJWT	-2.08131757772962	0.620274613749612	270	18	0.00166257958552601	0.00846404152631422
k__Bacteria.p__Deferribacterota	Sequencing_Run	NovaSeq_Jan_Twenty	1.10532169791079	0.473137064479761	270	18	0.0247177438758772	0.11534947142076
k__Bacteria.p__Cyanobacteria	Sequencing_Run	NovaSeq_Jan_Twenty	-0.61769039885166	0.269684750776331	270	8	0.0275584992813542	0.118713535365834
k__Bacteria.p__Verrucomicrobiota	Line	JJWT	1.65764063673531	0.753228042038087	270	27	0.033553466452473	0.134213865809892
k__Bacteria.p__Actinobacteriota	Site_General	SI	0.167722486052341	0.0801842151620294	270	5	0.0376016861693606	0.134993679747563
k__Bacteria.p__Deferribacterota	Site_General	SI	-0.48743540304719	0.234245716381755	270	18	0.0385696227850181	0.134993679747563
k__Bacteria.p__Deferribacterota	Sequencing_Run	NovaSeq_Mar_Twenty	1.57882721097845	0.859932750624161	270	18	0.0736687703709334	0.242673596516016
k__Bacteria.p__Verrucomicrobiota	Site_General	SI	0.306423311533163	0.173840690006518	270	27	0.0793333819992548	0.246814966219904
k__Bacteria.p__Bacteroidota	Site_General	SI	0.154609355341762	0.0958630813817576	270	261	0.108206227977293	0.302365359752566
k__Bacteria.p__Actinobacteriota	Line	LyzCre	-0.469663220191994	0.290204219032021	270	5	0.113387009907212	0.302365359752566
k__Bacteria.p__Cyanobacteria	Sex	Male	-0.254296151272424	0.155148234764115	270	8	0.108816115218458	0.302365359752566
k__Bacteria.p__Cyanobacteria	Sequencing_Run	NovaSeq_Mar_Twenty	-0.660474991239947	0.487779294638276	270	8	0.183404747757433	0.466848448837103
k__Bacteria.p__Firmicutes	Sequencing_Run	NovaSeq_Jan_Twenty	0.376426388112401	0.308810989837283	270	270	0.230135877632769	0.560330832497178
k__Bacteria.p__Firmicutes	Sex	Male	-0.20305769611107	0.175755172092833	270	270	0.254717627694508	0.594341131287185
k__Bacteria.p__Verrucomicrobiota	Line	LyzCre	0.508910001175885	0.479165533309891	270	27	0.294693945436384	0.660114437777501
k__Bacteria.p__Bacteroidota	Sex	Male	0.279392651203374	0.280005153402817	270	261	0.324181970871579	0.698238091108016
k__Bacteria.p__Bacteroidota	Sequencing_Run	NovaSeq_Jan_Twenty	-0.399995838012457	0.493266197984099	270	261	0.422168051591663	0.822186397078097
k__Bacteria.p__Actinobacteriota	Sex	Male	0.172626870441381	0.201609008494653	270	5	0.396831218012168	0.822186397078097
k__Bacteria.p__Cyanobacteria	Line	JJWT	0.279618736727486	0.349658002763315	270	8	0.428499085830334	0.822186397078097
k__Bacteria.p__Cyanobacteria	Line	LyzCre	-0.172734687196788	0.221656592079884	270	8	0.440456998434695	0.822186397078097
k__Bacteria.p__Deferribacterota	Line	LyzCre	-0.287673904813053	0.390598444626655	270	18	0.465667547035645	0.841205891419229
k__Bacteria.p__Proteobacteria	Line	LyzCre	0.370802050418537	0.552740048449488	270	234	0.50610751533765	0.885688151840887
k__Bacteria.p__Firmicutes	Sequencing_Run	NovaSeq_Mar_Twenty	0.358485235253857	0.556230751114258	270	270	0.522962870958305	0.887452144656518
k__Bacteria.p__Firmicutes	Line	JJWT	-0.216644514388626	0.396576803422408	270	270	0.587878741488579	0.968270868334131
k__Bacteria.p__Desulfobacterota	Sequencing_Run	NovaSeq_Jan_Twenty	-0.135699004666295	0.307095074583957	270	218	0.66098503035842	0.974281346596489
k__Bacteria.p__Desulfobacterota	Sequencing_Run	NovaSeq_Mar_Twenty	-0.256161763703687	0.554129272907774	270	218	0.646371197711222	0.974281346596489
k__Bacteria.p__Proteobacteria	Sequencing_Run	NovaSeq_Mar_Twenty	-0.564167410879553	1.21552346516886	270	234	0.64502150682814	0.974281346596489
k__Bacteria.p__Actinobacteriota	Sequencing_Run	NovaSeq_Jan_Twenty	-0.156560946146457	0.354481815791178	270	5	0.661119485190475	0.974281346596489
k__Bacteria.p__Desulfobacterota	Site_General	SI	0.0384559778726592	0.0927747900391892	270	218	0.678900113025475	0.974830931523759
k__Bacteria.p__Firmicutes	Line	LyzCre	0.0237652855274204	0.25287174954264	270	270	0.925596952101881	0.97778336568859
k__Bacteria.p__Bacteroidota	Sequencing_Run	NovaSeq_Mar_Twenty	-0.174115642101074	0.887625663163145	270	261	0.845461596754203	0.97778336568859
k__Bacteria.p__Bacteroidota	Line	JJWT	0.0865442382657289	0.632061768990416	270	261	0.891758931530056	0.97778336568859
k__Bacteria.p__Bacteroidota	Line	LyzCre	0.107097244889707	0.403573893501048	270	261	0.792063102078248	0.97778336568859
k__Bacteria.p__Desulfobacterota	Line	JJWT	-0.0186690530727574	0.396001590325656	270	218	0.962626169770176	0.97778336568859
k__Bacteria.p__Desulfobacterota	Line	LyzCre	-0.0914642129955071	0.251867314865182	270	218	0.718400882343736	0.97778336568859
k__Bacteria.p__Desulfobacterota	Sex	Male	-0.0149879746070016	0.175609552695817	270	218	0.932395299934101	0.97778336568859
k__Bacteria.p__Proteobacteria	Sequencing_Run	NovaSeq_Jan_Twenty	-0.167543968550319	0.676305853809765	270	234	0.80558855653106	0.97778336568859
k__Bacteria.p__Proteobacteria	Line	JJWT	0.12567486619249	0.864167850683516	270	234	0.885086520909373	0.97778336568859
k__Bacteria.p__Proteobacteria	Sex	Male	0.0504607193294849	0.382604402487821	270	234	0.895718758107397	0.97778336568859
k__Bacteria.p__Actinobacteriota	Sequencing_Run	NovaSeq_Mar_Twenty	-0.10127654046553	0.638330843019644	270	5	0.874730191864702	0.97778336568859
k__Bacteria.p__Actinobacteriota	Line	JJWT	0.144216347575473	0.454960322386892	270	5	0.752866902555524	0.97778336568859
k__Bacteria.p__Deferribacterota	Line	Vil1Cre	-0.0231725088126101	0.366483890036046	270	18	0.949879254543309	0.97778336568859
k__Bacteria.p__Deferribacterota	Sex	Male	0.0176655566159741	0.275338421799699	270	18	0.949140331284831	0.97778336568859
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	NovaSeq_Jan_Twenty	-0.0218784608832005	0.584305695332911	270	27	0.970324253203694	0.97778336568859
k__Bacteria.p__Verrucomicrobiota	Sequencing_Run	NovaSeq_Mar_Twenty	-0.193169218270864	1.05418917686388	270	27	0.855551704140657	0.97778336568859
k__Bacteria.p__Verrucomicrobiota	Sex	Male	-0.0093591805004449	0.334009930693158	270	27	0.97778336568859	0.97778336568859
