feature	k__Bacteria.p__Firmicutes	k__Bacteria.p__Bacteroidota	k__Bacteria.p__Desulfobacterota	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Actinobacteriota	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Deferribacterota	k__Bacteria.p__Verrucomicrobiota
Vil1.03B.DTT33	14830	4923	328	798	39	38	1	104
Itg.18.DTT496.S91	42702	6093	827	485	91	57	144	0
Vil1.05B.DTT57	385	42	11	14362	0	5	1	0
Lyz2.07B.DTT281.S123	13897	5672	294	257	22	138	1	17
Vil1.010B.DTT117	18646	4824	674	3381	44	455	1	173
Itg.10.DTT455.S49	48956	10409	880	672	89	108	1	0
Lyz2.05B.DTT260.S101	19285	5239	442	601	25	2	1	0
Lyz2.02B.DTT221.S61	19858	5315	276	105	21	51	1	0
Vil1.06B.DTT70	253	2	0	7895	0	0	0	13
Vil1.03B.DTT35	8318	1007	82	931	10	8	1	45
Itg.10.DTT456.S50	25263	3277	543	91	60	155	1	0
Vil1.01B.DTT11	27876	6746	231	761	20	0	1	32
Lyz2.06B.DTT269.S111	12458	2319	377	200	14	39	99	0
Lyz2.03B.DTT232.S72	36330	10590	456	363	35	73	1	21
Vil1.09B.DTT105	9336	2002	258	13235	17	119	1	88
Itg.20.DTT504.S99	25377	3942	935	83	40	94	1	0
Itg.20.DTT505.S100	24634	6876	715	103	16	83	3294	0
Itg.24.DTT530.S25	27314	2577	408	1294	29	27	1	186
Vil1.06B.DTT72	252	0	0	14156	0	0	0	19
Itg.24.DTT531.S26	47925	838	127	643	24	12	1	97
Vil1.04B.DTT43	11910	3839	309	3660	23	23	1	264
Itg.24.DTT529.S24	28519	8019	601	134	36	94	1	0
Itg.04.DTT423.S15	110269	5996	707	537	33	98	2	38
Vil1.07B.DTT79	465	2	0	16526	0	0	0	50
Lyz2.06B.DTT272.S114	6306	2981	206	1857	22	8	1	125
Itg.18.DTT492.S87	35689	4664	1732	277	84	94	706	0
Vil1.014B.DTT164	19432	4899	729	3120	98	78	473	34
Lyz2.04B.DTT246.S87	25876	3569	187	118	12	16	1	0
Lyz2.01B.DTT207.S47	26264	7106	334	659	14	93	1	55
Itg.26.DTT541.S37	29045	8511	717	195	24	134	1	0
Itg.02.DTT409.S1	28559	9276	765	538	43	202	91	63
Itg.22.DTT516.S11	16005	2137	341	60	17	79	1	0
Itg.20.DTT508.S3	34991	20135	1868	518	92	22	1	0
Lyz2.06B.DTT270.S112	43682	6186	430	911	22	18	1	0
Itg.16.DTT482.S77	25751	9817	1437	386	67	14	1	0
Lyz2.04B.DTT243.S84	52911	16851	553	1375	44	101	1	0
Itg.06.DTT433.S26	53393	12027	412	418	78	44	1	0
Lyz2.03B.DTT236.S76	45125	7070	119	158	0	4	1	0
Vil1.04B.DTT46	23499	6724	715	1416	54	27	1	205
Lyz2.02B.DTT224.S64	25135	11535	338	334	27	25	1	0
Itg.02.DTT407.S99	20301	5164	675	822	40	39	76	293
Lyz2.08B.DTT291.S133	27057	8037	848	828	72	45	2	113
Itg.24.DTT527.S22	28985	5247	592	351	37	100	4	0
Itg.26.DTT539.S35	17018	7588	240	240	26	24	1	34
Vil1.09B.DTT104	12636	1930	263	9052	38	201	1	85
Vil1.02B.DTT24	9749	3680	214	1048	16	10	1	75
Vil1.02B.DTT21	17633	3413	399	862	32	18	1	22
Vil1.02B.DTT23	22237	7487	417	1109	23	9	1	47
Vil1.03B.DTT32	20911	4690	948	645	54	93	1	144
Lyz2.06B.DTT271.S113	19175	6734	818	299	33	6	1	0
Itg.22.DTT517.S12	19034	5259	511	144	23	104	1	0
Lyz2.07B.DTT284.S126	45202	12079	2077	405	141	47	1	0
Vil1.09B.DTT106	7245	1817	134	16289	31	34	1	63
Vil1.02B.DTT20	7807	3186	142	302	24	10	1	0
Lyz2.04B.DTT244.S85	18554	2266	323	104	16	19	1	0
Vil1.06B.DTT67	93	4	0	15078	4	0	0	83
Lyz2.02B.DTT223.S63	38527	18813	140	401	15	4	1	0
Vil1.04B.DTT44	17354	6926	569	874	80	128	1	282
Itg.22.DTT519.S14	34523	4470	370	278	17	11	1	26
Lyz2.04B.DTT247.S88	40959	3599	358	462	13	29	1	139
Itg.06.DTT434.S27	50459	12876	1014	1041	123	8	1	0
Itg.24.DTT528.S23	21779	3477	487	117	35	97	1	0
Itg.22.DTT518.S13	36227	5731	482	321	22	39	1	26
Itg.02.DTT412.S4	58159	17807	564	571	29	41	1	0
Itg.08.DTT444.S37	40125	19507	764	572	88	147	1	0
Vil1.03B.DTT34	21654	2951	1001	611	25	40	16461	116
Itg.12.DTT467.S61	44748	21186	891	532	126	120	1	0
Itg.16.DTT480.S75	51872	12547	1968	574	159	132	18	56
Itg.26.DTT543.S39	33420	6808	636	1534	24	20	1	44
Lyz2.02B.DTT219.S59	34569	9736	752	183	33	95	50	0
Itg.04.DTT424.S16	51203	2873	283	316	28	39	1	0
Itg.12.DTT468.S62	33844	9315	1344	256	66	196	1	0
Lyz2.01B.DTT210.S50	49607	6810	249	270	14	35	1	36
Vil1.08B.DTT96	261	41	15	21442	0	0	1	30
Vil1.010B.DTT119	9251	613	118	23472	14	10	1	77
Vil1.04B.DTT45	26623	3770	1034	1121	51	49	1	220
Lyz2.03B.DTT233.S73	11414	4606	377	114	12	30	1	0
Itg.18.DTT491.S86	48426	18985	985	426	265	42	1	0
Vil1.05B.DTT58	1736	0	0	16362	0	0	1	0
