metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	k__Bacteria.p__Actinobacteria	Mucosal	-1.59135138270976	0.164776374960029	91	37	0.00000000000160231704276719	0.0000000000560810964968516
Type	k__Bacteria.p__Firmicutes	Mucosal	-0.734072800256921	0.134195032633835	91	91	0.00000203262093510375	0.0000355708663643157
Line	k__Bacteria.p__Verrucomicrobia	Vil1Cre	3.00837782245676	0.60010648086731	91	14	0.000012572989672419	0.000146684879511555
Line	k__Bacteria.p__Firmicutes	Vil1Cre	-1.4525643081063	0.327187537969513	91	91	0.0000674197318458475	0.000589922653651165
Line	k__Bacteria.p__Bacteroidetes	Vil1Cre	-1.72445277742587	0.430564273469671	91	89	0.000251301410573758	0.00175910987401631
Line	k__Bacteria.p__Verrucomicrobia	JJWT	3.4427004752864	1.02648809229518	91	14	0.00174682862402799	0.0101898336401632
Line	k__Bacteria.p__Actinobacteria	Vil1Cre	-1.18030169797503	0.384654034596968	91	37	0.00378576019387516	0.0189288009693758
Sex	k__Bacteria.p__Firmicutes	Male	-0.505313450273661	0.241499707537208	91	91	0.0417740512662663	0.147857260686695
Line	k__Bacteria.p__Verrucomicrobia	LyzCre	1.39207456282896	0.64008640862023	91	14	0.03607633717492	0.147857260686695
Type	k__Bacteria.p__Verrucomicrobia	Mucosal	0.664314479782587	0.317298312631024	91	14	0.04224493162477	0.147857260686695
Type	k__Bacteria.p__Bacteroidetes	Mucosal	-0.419141845170436	0.208953015788405	91	89	0.0508248802519782	0.14823923406827
Line	k__Bacteria.p__Firmicutes	JJWT	-1.13842225487908	0.556698090295137	91	91	0.0471524419358299	0.14823923406827
Line	k__Bacteria.p__Proteobacteria	Vil1Cre	0.737944522465711	0.389310165259404	91	91	0.0615044385837763	0.165588873110167
Sequencing_Run	k__Bacteria.p__Firmicutes	NovaSeq_Jan_Twenty	0.743893842770646	0.431566751058064	91	91	0.0923159943797568	0.230789985949392
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	NovaSeq_Jan_Twenty	-1.27721132029875	0.792183328593804	91	14	0.115070278306205	0.268497316047813
Sequencing_Run	k__Bacteria.p__Actinobacteria	NovaSeq_Mar_Twenty	1.42885606072916	0.912750243945407	91	37	0.124976464867308	0.273386016897236
Line	k__Bacteria.p__Actinobacteria	JJWT	-0.992060229096856	0.654973533026293	91	37	0.137195481717402	0.282461285888768
Type	k__Bacteria.p__Proteobacteria	Mucosal	0.384988276692118	0.267684366174038	91	91	0.154132413550256	0.299701915236608
Sequencing_Run	k__Bacteria.p__Actinobacteria	NovaSeq_Jan_Twenty	0.717426551840356	0.507426001939616	91	37	0.164839332550157	0.303651402066079
Sequencing_Run	k__Bacteria.p__Firmicutes	NovaSeq_Mar_Twenty	0.971424613034958	0.776125964570477	91	91	0.217748580604048	0.381060016057084
Line	k__Bacteria.p__Bacteroidetes	JJWT	-0.785556249211373	0.73500230388914	91	89	0.291096487157289	0.463108047750232
Sex	k__Bacteria.p__Bacteroidetes	Male	0.350076092765708	0.321577656904371	91	89	0.281908940979706	0.463108047750232
Sequencing_Run	k__Bacteria.p__Proteobacteria	NovaSeq_Mar_Twenty	0.914062577951587	0.928081256869955	91	91	0.327538027195001	0.498427432688045
Line	k__Bacteria.p__Actinobacteria	LyzCre	-0.357252137769354	0.41144242773423	91	37	0.390369162512046	0.569288361996734
Line	k__Bacteria.p__Firmicutes	LyzCre	-0.283033884676388	0.350177441395073	91	91	0.42376810247685	0.59327534346759
Line	k__Bacteria.p__Proteobacteria	JJWT	-0.447660137010371	0.670797903875841	91	91	0.506396823038765	0.681688031013722
Sequencing_Run	k__Bacteria.p__Verrucomicrobia	NovaSeq_Mar_Twenty	-0.886320352466434	1.42662682020665	91	14	0.538037793141907	0.697456398517287
Line	k__Bacteria.p__Proteobacteria	LyzCre	0.241894414743128	0.41377294656418	91	91	0.560398014673308	0.700497518341635
Sequencing_Run	k__Bacteria.p__Bacteroidetes	NovaSeq_Jan_Twenty	0.295167698883918	0.568207073418766	91	89	0.606176435083122	0.73159224923825
Sequencing_Run	k__Bacteria.p__Proteobacteria	NovaSeq_Jan_Twenty	0.24560332992293	0.514439391363403	91	91	0.634318337152116	0.740038060010803
Sex	k__Bacteria.p__Actinobacteria	Male	0.0732851264105842	0.284861749887273	91	37	0.798079572887388	0.834020302440136
Sequencing_Run	k__Bacteria.p__Bacteroidetes	NovaSeq_Mar_Twenty	0.28118068581918	1.02276323674275	91	89	0.784718111728006	0.834020302440136
Sex	k__Bacteria.p__Proteobacteria	Male	-0.0926429779657403	0.295932256572113	91	91	0.755024408080136	0.834020302440136
Sex	k__Bacteria.p__Verrucomicrobia	Male	0.108865175459567	0.450476818264236	91	14	0.810191150941846	0.834020302440136
Line	k__Bacteria.p__Bacteroidetes	LyzCre	0.0869414939703143	0.459780368300282	91	89	0.85096597879545	0.85096597879545
