metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	k__Bacteria.p__Bacteroidetes	Mucosal	-0.956760648815674	0.124299077167776	95	95	0.000000000809805993577925	0.0000000340118517302729
Line	k__Bacteria.p__Verrucomicrobia	Vil1Cre	3.66055950653044	0.5277140954509	95	13	0.0000000201123396281142	0.000000422359132190399
Type	k__Bacteria.p__Actinobacteria	Mucosal	-1.02681342355144	0.163540739959433	95	11	0.000000103163304442307	0.0000014442862621923
Type	k__Bacteria.p__Cyanobacteria	Mucosal	0.857538439997314	0.147633747349553	95	17	0.000000538790729413847	0.00000565730265884539
Line	k__Bacteria.p__Firmicutes	Vil1Cre	-1.0603142978823	0.194453091156255	95	95	0.00000263030745459081	0.0000220945826185628
Type	k__Bacteria.p__Proteobacteria	Mucosal	0.734263964125051	0.172503037005048	95	95	0.0000522283743542803	0.000365598620479962
Line	k__Bacteria.p__Bacteroidetes	Vil1Cre	-1.26829944805234	0.294641342765178	95	95	0.000102395122681984	0.000614370736091906
Line	k__Bacteria.p__Verrucomicrobia	JJWT	3.08549253558659	0.895903790597349	95	13	0.00130984643294053	0.00687669377293781
Line	k__Bacteria.p__Cyanobacteria	Vil1Cre	-1.1222580259728	0.332946510349425	95	17	0.00164282543283552	0.00766651868656577
Line	k__Bacteria.p__Firmicutes	JJWT	-0.760813636715364	0.330538810832886	95	95	0.0263971377962368	0.100789071585631
Line	k__Bacteria.p__Proteobacteria	Vil1Cre	0.577338624567099	0.252711125417557	95	95	0.024770887858056	0.100789071585631
Line	k__Bacteria.p__Proteobacteria	JJWT	-0.954077463803413	0.429673266118603	95	95	0.0289851984105409	0.101448194436893
Line	k__Bacteria.p__Actinobacteria	Vil1Cre	-0.614705107768295	0.301950934185433	95	11	0.0482752530447784	0.155966202144669
Line	k__Bacteria.p__Verrucomicrobia	LyzCre	1.10753773580777	0.566603364264267	95	13	0.057485891660445	0.172457674981335
Sex	k__Bacteria.p__Cyanobacteria	Male	-0.436223949699797	0.245606684404737	95	17	0.0823702790831436	0.230636781432802
