Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Alistipes_putredinis_DSM_17216	2MBCOATA	2mbcoa[c]	coa[c]	1	1	0.5	-1000	1000	1
Alistipes_putredinis_DSM_17216	2MBCOATA	ACP[c]	coa[c]	1	1	0.5	-1000	1000	1
Alistipes_putredinis_DSM_17216	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	0.5	-1000	1000	1
Alistipes_putredinis_DSM_17216	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	0.5	-1000	1000	1
Alistipes_putredinis_DSM_17216	2OMMBOX	nadph[c]	h2o[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	o2[c]	h2o[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	2ommb[c]	h2o[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	nadph[c]	nadp[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	o2[c]	nadp[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	2ommb[c]	nadp[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	nadph[c]	ocmhmxbq[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	o2[c]	ocmhmxbq[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMMBOX	2ommb[c]	ocmhmxbq[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMPHH	o2[c]	h2o[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMPHH	2omph[c]	h2o[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMPHH	o2[c]	2ombz[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	2OMPHH	2omph[c]	2ombz[c]	1	1	0.5	0	1000	0
Alistipes_putredinis_DSM_17216	36DAHXI	36dahx[c]	35dacap[c]	1	1	0.5	-1000	1000	1
Alistipes_putredinis_DSM_17216	3HAD100	3hdecACP[c]	h2o[c]	1	1	0.5	0	1000	0
