Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Clostridium_viride_DSM_6836	12DGR180ti	12dgr180[e]	12dgr180[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	1P4H2CBXLAH	h2o[c]	nh4[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	1P4H2CBXLAH	h[c]	nh4[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	1P4H2CBXLAH	1p4h2cbxl[c]	nh4[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	1P4H2CBXLAH	h2o[c]	25dop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	1P4H2CBXLAH	h[c]	25dop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	1P4H2CBXLAH	1p4h2cbxl[c]	25dop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	23dhmp[c]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	nadp[c]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	nadp[c]	3h3mop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	23dhmp[c]	nadph[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	23DHMPO	nadp[c]	nadph[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	26dap_LL[c]	h2o[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	akg[c]	h2o[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	26dap_LL[c]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	akg[c]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	26dap_LL[c]	thdp[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	akg[c]	thdp[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	26dap_LL[c]	glu_L[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPLLAT	akg[c]	glu_L[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPt2r	h[e]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPt2r	26dap_M[e]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPt2r	h[e]	26dap_M[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	26DAPt2r	26dap_M[e]	26dap_M[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2DHPL	2dhp[c]	3mob[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2DHPL	2dhp[c]	fald[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2MBCOATA	2mbcoa[c]	coa[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2MBCOATA	ACP[c]	coa[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2OBUTt2r	h[e]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2OBUTt2r	2obut[e]	h[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2OBUTt2r	h[e]	2obut[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	2OBUTt2r	2obut[e]	2obut[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	h[c]	nad[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	nadh[c]	nad[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	34dhmald[c]	nad[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	h[c]	34dhoxpeg[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	nadh[c]	34dhoxpeg[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	34DHOXPEGOX	34dhmald[c]	34dhoxpeg[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	3BTCOAI	3btcoa[c]	b2coa[c]	1	1	0.5	-1000	1000	1
Clostridium_viride_DSM_6836	3HAD100	3hdecACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD100	3hdecACP[c]	tdec2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD10M12	10m3hddcaACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD10M12	10m3hddcaACP[c]	10mtddec2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD11M12	11m3hddcaACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD11M12	11m3hddcaACP[c]	11mtddec2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD120	3hddecACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD120	3hddecACP[c]	tddec2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD121	3hcddec5eACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD121	3hcddec5eACP[c]	t3c5ddeceACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD12M14	12m3hmyrsACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD12M14	12m3hmyrsACP[c]	12mtmrs2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD13M14	13m3hmyrsACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD13M14	13m3hmyrsACP[c]	13mtmrs2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD140	3hmrsACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD140	3hmrsACP[c]	tmrs2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD141	3hcmrs7eACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD141	3hcmrs7eACP[c]	t3c7mrseACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD14M16	14m3hpalmACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD14M16	14m3hpalmACP[c]	14mtpalm2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD15M16	15m3hpalmACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD15M16	15m3hpalmACP[c]	15mtpalm2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD160	3hpalmACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD160	3hpalmACP[c]	tpalm2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD161	3hcpalm9eACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD161	3hcpalm9eACP[c]	t3c9palmeACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD180	3hoctaACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD180	3hoctaACP[c]	toctd2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD181	3hcvac11eACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD181	3hcvac11eACP[c]	t3c11vaceACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD40	3haACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD40	3haACP[c]	but2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD4M6	4m3hhexACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD4M6	4m3hhexACP[c]	4mthex2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD5M6	5m3hhexACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD5M6	5m3hhexACP[c]	5mthex2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD60	3hhexACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD60	3hhexACP[c]	thex2eACP[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD6M8	6m3hocACP[c]	h2o[c]	1	1	0.5	0	1000	0
Clostridium_viride_DSM_6836	3HAD6M8	6m3hocACP[c]	6mtoct2eACP[c]	1	1	0.5	0	1000	0
