Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	h2o[c]	nh4[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	h[c]	nh4[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	1p4h2cbxl[c]	nh4[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	h2o[c]	25dop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	h[c]	25dop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	1P4H2CBXLAH	1p4h2cbxl[c]	25dop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	23dhmp[c]	h[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	nadp[c]	h[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	nadp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	23dhmp[c]	nadph[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	23DHMPO	nadp[c]	nadph[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2DHPL	2dhp[c]	3mob[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2DHPL	2dhp[c]	fald[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	2hb[c]	h[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	nad[c]	h[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	2hb[c]	2obut[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	nad[c]	2obut[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	2hb[c]	nadh[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2HBO	nad[c]	nadh[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2MBCOATA	2mbcoa[c]	coa[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2MBCOATA	ACP[c]	coa[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	h[c]	nad[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	nadh[c]	nad[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	34dhmald[c]	nad[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	h[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	nadh[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHOXPEGOX	34dhmald[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	34DHPHEt2	h[e]	h[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	34DHPHEt2	34dhphe[e]	h[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	34DHPHEt2	h[e]	34dhphe[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	34DHPHEt2	34dhphe[e]	34dhphe[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3CARLPDH	lpam[c]	thmpp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3CARLPDH	HC01435[c]	thmpp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3CARLPDH	lpam[c]	HC00695[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3CARLPDH	HC01435[c]	HC00695[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3HAD100	3hdecACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD100	3hdecACP[c]	tdec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD10M12	10m3hddcaACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD10M12	10m3hddcaACP[c]	10mtddec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD11M12	11m3hddcaACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD11M12	11m3hddcaACP[c]	11mtddec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD120	3hddecACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD120	3hddecACP[c]	tddec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD12M14	12m3hmyrsACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD12M14	12m3hmyrsACP[c]	12mtmrs2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD13M14	13m3hmyrsACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD13M14	13m3hmyrsACP[c]	13mtmrs2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD140	3hmrsACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD140	3hmrsACP[c]	tmrs2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD14M16	14m3hpalmACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD14M16	14m3hpalmACP[c]	14mtpalm2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD15M16	15m3hpalmACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD15M16	15m3hpalmACP[c]	15mtpalm2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD160	3hpalmACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD160	3hpalmACP[c]	tpalm2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD180	3hoctaACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD180	3hoctaACP[c]	toctd2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD40	3haACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD40	3haACP[c]	but2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD4M6	4m3hhexACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD4M6	4m3hhexACP[c]	4mthex2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD5M6	5m3hhexACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD5M6	5m3hhexACP[c]	5mthex2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD60	3hhexACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD60	3hhexACP[c]	thex2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD6M8	6m3hocACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD6M8	6m3hocACP[c]	6mtoct2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD7M8	7m3hocACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD7M8	7m3hocACP[c]	7mtoct2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD80	3hoctACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD80	3hoctACP[c]	toct2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD8M10	8m3hdcaACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD8M10	8m3hdcaACP[c]	8mtdec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD9M10	9m3hdcaACP[c]	h2o[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HAD9M10	9m3hdcaACP[c]	9mtdec2eACP[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HLYTCL	h[c]	co2[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HLYTCL	34dhphe[c]	co2[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HLYTCL	h[c]	dopa[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3HLYTCL	34dhphe[c]	dopa[c]	1	1	1	0	1000	0
Eikenella_corrodens_ATCC_23834	3MOBS	h[c]	h2o[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	coa[c]	h2o[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	3c3hmp[c]	h2o[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	h[c]	3mob[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	coa[c]	3mob[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	3c3hmp[c]	3mob[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	h[c]	accoa[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	coa[c]	accoa[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3MOBS	3c3hmp[c]	accoa[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	h[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	nadph[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	3odecACP[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	h[c]	3hdecACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	nadph[c]	3hdecACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR100	3odecACP[c]	3hdecACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR10M11	h[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR10M11	nadph[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR10M11	10m3oundecACP[c]	nadp[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR10M11	h[c]	10m3hundecACP[c]	1	1	1	-1000	1000	1
Eikenella_corrodens_ATCC_23834	3OAR10M11	nadph[c]	10m3hundecACP[c]	1	1	1	-1000	1000	1
