Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Fusobacterium_varium_ATCC_27725	12PPDSDH	12ppd_S[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	12PPDSDH	12ppd_S[c]	ppal[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	15DAPt	15dap[c]	15dap[e]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	2HYDOGCOAD	2hydogcoa[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	2HYDOGCOAD	2hydogcoa[c]	glutaccoa[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	2hydog[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	accoa[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	h[c]	2hydogcoa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	2hydog[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	accoa[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGCOAT	h[c]	ac[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	h[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	akg[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	nadh[c]	2hydog[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	h[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	akg[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2HYDOGDH	nadh[c]	nad[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2MBCOATA	2mbcoa[c]	coa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2MBCOATA	ACP[c]	coa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	h2o[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	nad[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	35dacap[c]	h[c]	1	2	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	h2o[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	nad[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	35dacap[c]	nadh[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	h2o[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	nad[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	35dacap[c]	5a3ohex[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	h2o[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	nad[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	35DACAPDH	35dacap[c]	nh4[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	36DAHXI	36dahx[c]	35dacap[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	3ABUTCOAL	h[c]	nh4[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3ABUTCOAL	3abutcoa[c]	nh4[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3ABUTCOAL	h[c]	b2coa[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3ABUTCOAL	3abutcoa[c]	b2coa[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3BTCOAI	3btcoa[c]	b2coa[c]	1	1	0.25	-1000	1000	1
Fusobacterium_varium_ATCC_27725	3HACPR1	3hgACPm[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HACPR1	3hgACPm[c]	egACPm[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HACPR2	3hpACPm[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HACPR2	3hpACPm[c]	epACPm[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD100	3hdecACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD100	3hdecACP[c]	tdec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD10M11	10m3hundecACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD10M11	10m3hundecACP[c]	10mtundec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD10M12	10m3hddcaACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD10M12	10m3hddcaACP[c]	10mtddec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD11M12	11m3hddcaACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD11M12	11m3hddcaACP[c]	11mtddec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD120	3hddecACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD120	3hddecACP[c]	tddec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD12M13	12m3htridecACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD12M13	12m3htridecACP[c]	12mttritec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD12M14	12m3hmyrsACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD12M14	12m3hmyrsACP[c]	12mtmrs2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD13M14	13m3hmyrsACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD13M14	13m3hmyrsACP[c]	13mtmrs2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD140	3hmrsACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD140	3hmrsACP[c]	tmrs2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD14M15	14m3hpentdecACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD14M15	14m3hpentdecACP[c]	14mtpentdec2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD14M16	14m3hpalmACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD14M16	14m3hpalmACP[c]	14mtpalm2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD15M16	15m3hpalmACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD15M16	15m3hpalmACP[c]	15mtpalm2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD160	3hpalmACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD160	3hpalmACP[c]	tpalm2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD180	3hoctaACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD180	3hoctaACP[c]	toctd2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD40	3haACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD40	3haACP[c]	but2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD4M5	4m3hpentACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD4M5	4m3hpentACP[c]	4mtpent2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD4M6	4m3hhexACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD4M6	4m3hhexACP[c]	4mthex2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD5M6	5m3hhexACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD5M6	5m3hhexACP[c]	5mthex2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD60	3hhexACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD60	3hhexACP[c]	thex2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD6M7	6m3hheptACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD6M7	6m3hheptACP[c]	6mthept2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD6M8	6m3hocACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD6M8	6m3hocACP[c]	6mtoct2eACP[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD7M8	7m3hocACP[c]	h2o[c]	1	1	0.25	0	1000	0
Fusobacterium_varium_ATCC_27725	3HAD7M8	7m3hocACP[c]	7mtoct2eACP[c]	1	1	0.25	0	1000	0
