Species	KO	Reac	Prod	stoichReac	stoichProd	normalized_copy_number	LB	UB	Rev
Sulfolobus_solfataricus_P2	12DGR180ti	12dgr180[e]	12dgr180[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	12PPDt	12ppd_S[e]	12ppd_S[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	23dhmp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	nadp[c]	3h3mop[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	23dhmp[c]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	nadp[c]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	23dhmp[c]	nadph[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	23DHMPO	nadp[c]	nadph[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	26dap_LL[c]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	akg[c]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	26dap_LL[c]	h2o[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	akg[c]	h2o[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	26dap_LL[c]	thdp[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	akg[c]	thdp[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	26dap_LL[c]	glu_L[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	26DAPLLAT	akg[c]	glu_L[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2AHBUTI	2ahbut[c]	3h3mop[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2DMMQ8abc	h2o[c]	h[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	2dmmq8[e]	h[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	atp[c]	h[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	h2o[c]	2dmmq8[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	2dmmq8[e]	2dmmq8[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	atp[c]	2dmmq8[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	h2o[c]	adp[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	2dmmq8[e]	adp[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	atp[c]	adp[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	h2o[c]	pi[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	2dmmq8[e]	pi[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2DMMQ8abc	atp[c]	pi[c]	1	1	1	0	1000	0
Sulfolobus_solfataricus_P2	2MBCOATA	2mbcoa[c]	coa[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2MBCOATA	ACP[c]	coa[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2MBCOATA	2mbcoa[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2MBCOATA	ACP[c]	2mbutACP[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2OBUTt2r	h[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2OBUTt2r	2obut[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2OBUTt2r	h[e]	2obut[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	2OBUTt2r	2obut[e]	2obut[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	33HPHACt2r	h[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	33HPHACt2r	3hphac[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	33HPHACt2r	h[e]	3hphac[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	33HPHACt2r	3hphac[e]	3hphac[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	h[c]	nad[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	nadh[c]	nad[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	34dhmald[c]	nad[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	h[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	nadh[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHOXPEGOX	34dhmald[c]	34dhoxpeg[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHPHAt2r	h[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHPHAt2r	34dhpha[e]	h[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHPHAt2r	h[e]	34dhpha[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	34DHPHAt2r	34dhpha[e]	34dhpha[c]	1	1	1	-1000	1000	1
Sulfolobus_solfataricus_P2	3HAD10M12	10m3hddcaACP[c]	h2o[c]	1	1	1	0	1000	0
