metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site_General	f5fb42e8863737981eb6e04a3de22e29	SI	0.194618425996537	0.0159129626999277	278	276	7.76413044812266e-27	6.80914240300357e-24
Site_General	X2f65298490e0fe48b880145471ec54eb	SI	0.103720802945018	0.00914181469914144	278	278	5.39741435332591e-24	2.36676619393341e-21
Site_General	a93ecb34623d57ce5a83ac109551229b	SI	0.25338952609331	0.0227765627382092	278	250	3.69180594652261e-23	1.07923793836678e-20
Site_General	X3bffd5a2b1cf48b46d1e51628c3551fc	SI	0.441446941734403	0.0409224171461973	278	152	1.91975596286115e-21	4.20906494857307e-19
Site_General	X49ca472812887fdafb9786d9995aa406	SI	-0.377238151600313	0.035543103965263	278	109	3.81755150310868e-20	6.69598533645263e-18
Site_General	X397aa1ad0378774f826b9825c958427e	SI	0.271245433105714	0.0266554179902344	278	243	5.73283511243727e-20	8.37949398934581e-18
Site_General	X564a2d40353ba6af46b47a2d367a3d56	SI	-0.327119322535845	0.0356930721675209	278	204	6.09226685320431e-17	7.63274004322882e-15
Site_General	f80a7e9c950f857ec31ac4d0cc9c6a03	SI	0.207140597964012	0.0228798533188616	278	226	7.57922546565314e-17	8.30872591672226e-15
Site_General	X5fc2d4103e27f399113f1fc7c954ef66	SI	-0.564152158915993	0.0596615642793503	278	108	1.03902445735697e-16	1.01247161011341e-14
Site_General	db1ea7350f45b6b1c577ee65fae969c4	SI	-0.420516902998439	0.0457432820693285	278	132	1.30605015687239e-16	1.14540598757708e-14
Site_General	X9b5ce504ace88223f14f8b0848d1b054	SI	0.182645035287668	0.0205481921409639	278	256	2.43034399241434e-16	1.93764698304307e-14
Site_General	c003202be6a53b07fbb26ecd2161fe2c	SI	0.231025765560182	0.0265719046860787	278	256	7.84897250445807e-16	5.73629073867477e-14
Site_General	c42634f8d1aad4956aa9638465e86565	SI	0.132265196729654	0.0160108477894966	278	272	1.24833733551583e-14	8.42147571728757e-13
Site_General	f9130f059b9380b9961aef118b3a529e	SI	-0.31005869509262	0.0400811405373775	278	144	6.52145885530906e-13	4.08522815436146e-11
Site_General	X6d5171bbc6ef97262119e6d152d82164	SI	0.470786922025378	0.0605449282970478	278	114	1.56299269223242e-12	9.13829727391888e-11
Site_General	X759abfc82a4b189214d7e148d4aef180	SI	0.0919831920666273	0.012621355122024	278	275	5.12046628468475e-12	2.80665558229283e-10
Site_General	X84a1034f71767fa92491aebf1bdf7fdc	SI	-0.345898657112795	0.0485617042629705	278	131	2.57403550886173e-11	1.32789949486573e-09
Site_General	X691f2dbdac94ad2f7e2486ab73a772af	SI	-0.222981135065113	0.0321775260106152	278	205	5.43336986037263e-11	2.5079291408141e-09
Site_General	X64864a4b76fc5cccc00f4e44f8dbcff4	SI	-0.259477454859814	0.0372046814246554	278	148	5.32671814790992e-11	2.5079291408141e-09
Site_General	X44166d043ae4422d941e1e4c779151f8	SI	0.124159220588888	0.0183294028938636	278	267	1.19399332137137e-10	5.23566071421345e-09
Site_General	X7cd17d18c05e35c6001cc253ac15c517	SI	0.0796892079048738	0.0118796875329299	278	274	1.51309287380708e-10	6.3189640491848e-09
Site_General	X8a8c39a3e855256f236f71f39bf300aa	SI	-0.542053713416833	0.0649114597431089	278	36	2.25944874621688e-10	9.00698432014637e-09
Site_General	X9558d82710beac18e454f983c9db7cca	SI	-0.334560444130871	0.050120089090858	278	90	3.16716856823442e-10	1.20765514536591e-08
Site_General	X0daddf1b0a2e7ae6c3add7261ca7b510	SI	-0.20908882124998	0.032893791478809	278	224	1.170594121431e-09	4.10747068489122e-08
Site_General	X0d193515752095f48f18055431a650f0	SI	-0.363341093863759	0.0561065389123628	278	115	1.17088674027686e-09	4.10747068489122e-08
Site_General	e78a270ccd8d01d326e840cd85e1c1e2	SI	0.0928889450061012	0.0146780355559786	278	269	1.36255007561509e-09	4.59598621659396e-08
Site_General	X04af8257d41718f9636b8bbc789b0fcf	SI	0.233716386213448	0.0380687999138302	278	174	4.41656708401453e-09	1.43456641951139e-07
Site_General	X2da7ea845bb72e8eb58d649348bf057a	SI	-0.217434505314728	0.0357441315035497	278	158	6.03766820740671e-09	1.89108393496275e-07
