2021-06-23 11:48:25 INFO::Writing function arguments to log file
2021-06-23 11:48:25 DEBUG::Function arguments
2021-06-23 11:48:25 DEBUG::Output folder: LogCLR-Luminal-ComBat-Maaslin-SeqRunSexSite_General-1-Line-MsID
2021-06-23 11:48:25 DEBUG::Min Abundance: 0.000000
2021-06-23 11:48:25 DEBUG::Min Prevalence: 0.100000
2021-06-23 11:48:25 DEBUG::Normalization: CLR
2021-06-23 11:48:25 DEBUG::Transform: LOG
2021-06-23 11:48:25 DEBUG::Analysis method: LM
2021-06-23 11:48:25 DEBUG::Max significance: 0.250000
2021-06-23 11:48:25 DEBUG::Random effects: Line,MouseID_Line
2021-06-23 11:48:25 DEBUG::Fixed effects: Sequencing_Run,Sex,Site_General
2021-06-23 11:48:25 DEBUG::Correction method: BH
2021-06-23 11:48:25 DEBUG::Standardize: TRUE
2021-06-23 11:48:25 DEBUG::Cores: 1
2021-06-23 11:48:25 INFO::Verifying options selected are valid
2021-06-23 11:48:25 INFO::Determining format of input files
2021-06-23 11:48:25 INFO::Input format is data samples as columns and metadata samples as rows
2021-06-23 11:48:25 DEBUG::Transformed data so samples are rows
2021-06-23 11:48:25 DEBUG::A total of 278 samples were found in both the data and metadata
2021-06-23 11:48:25 DEBUG::Reordering data/metadata to use same sample ordering
2021-06-23 11:48:25 INFO::Formula for random effects: expr ~ (1 | Line) + (1 | MouseID_Line)
2021-06-23 11:48:25 INFO::Formula for fixed effects: expr ~  Sequencing_Run + Sex + Site_General
2021-06-23 11:48:25 INFO::Running selected normalization method: CLR
2021-06-23 11:48:25 INFO::Filter data based on min abundance and min prevalence
2021-06-23 11:48:25 INFO::Total samples in data: 278
2021-06-23 11:48:25 INFO::Min samples required with min abundance for a feature not to be filtered: 27.800000
2021-06-23 11:48:25 INFO::Total filtered features: 32
2021-06-23 11:48:25 INFO::Filtered feature names: c0d5395792eadbf5f62e8ffb14fa0262, de2cd296cfdcbb16ecb870a7721433d3, X5287908182825be751d21ae4e6f44c79, X18285598fe8215895e323b758326f2e2, fda05925f9cfe9acbd1ec63617c7352a, X5756e2e2f97499253c4280eeb7413ca6, X8fde870b4c3464dbd28fb743c07f36f1, a355ffad67ad78b1bdbd4ad765a6f5cf, X0da7333e379b780a39d305d935692a95, d5971448f3dce06f45cfd35f968de816, c3bdd500bfba25ea4c753e8d815ef903, X55fa67427af49d0e149b71f3e492fc2f, b5c61551098444f976845a271dd33f4f, ca36cc60802278a626b2d36b8da83ae6, X0d1b4cdc41a51d019759c85b5795aad3, X95567a20354fa3a584ecf4f0ab229ef6, c739108a8fb66e778057d21c15128eaf, X3d54a53e5412fd82769620a4792a9b31, dbec9c5165f7fd71fcfcee0766f056e9, X7af0894d365728994d20f8f22143f8e3, X5167710b7280856d9e512a4f58068687, X07f9cf5cd15f1e6c3b5f4c0b6b8addc4, X720832273d925b4115ed01c6d3df48eb, X9682035e00a33066c8a20a5728864160, X84b12c5f4618dbf894915076b08799fa, X4e34142d35033306c8677c05d3183f1d, X43f0247fc01758c65914603bd7280102, X9de76593a352f0485ab552209ea38a3b, X5b239ea4225a1366ac283394a91ec211, adbdc5f804f4d01e74c42c674dcba9b6, a8f7a4c4fa926673d7a1b6e3bd4c8925, X44be4a73cb6fbe694ec6cbbdba4bd3b3
2021-06-23 11:48:25 INFO::Applying z-score to standardize continuous metadata
2021-06-23 11:48:25 INFO::Running selected transform method: LOG
2021-06-23 11:48:25 INFO::Running selected analysis method: LM
2021-06-23 11:48:25 INFO::Fitting model to feature number 1, X2f65298490e0fe48b880145471ec54eb
2021-06-23 11:48:25 INFO::Fitting model to feature number 2, c42634f8d1aad4956aa9638465e86565
2021-06-23 11:48:25 INFO::Fitting model to feature number 3, X5ae5ad642b9c2cc68c4fc59e4902ff63
2021-06-23 11:48:25 INFO::Fitting model to feature number 4, f5fb42e8863737981eb6e04a3de22e29
2021-06-23 11:48:25 INFO::Fitting model to feature number 5, d013db1a71d477496cb864ee431c3420
2021-06-23 11:48:25 INFO::Fitting model to feature number 6, ccdb1dad68d457d1df2d11af1ea8ca5f
2021-06-23 11:48:25 INFO::Fitting model to feature number 7, X9c9d2dfde9ad67dcb9628dc8c30ec99f
2021-06-23 11:48:25 INFO::Fitting model to feature number 8, a93ecb34623d57ce5a83ac109551229b
2021-06-23 11:48:25 INFO::Fitting model to feature number 9, X1b23073ca2a2884ac2bd7895dda760bc
2021-06-23 11:48:26 INFO::Fitting model to feature number 10, X7cd17d18c05e35c6001cc253ac15c517
2021-06-23 11:48:26 INFO::Fitting model to feature number 11, X759abfc82a4b189214d7e148d4aef180
2021-06-23 11:48:26 INFO::Fitting model to feature number 12, X04af8257d41718f9636b8bbc789b0fcf
2021-06-23 11:48:26 INFO::Fitting model to feature number 13, X0247032b5537cfe290e9fe3067f9257e
2021-06-23 11:48:26 INFO::Fitting model to feature number 14, X298c6e520261d927af2fb9e7c1e4cebc
2021-06-23 11:48:26 INFO::Fitting model to feature number 15, X653c972b92d846f3b6b199c4f5257025
2021-06-23 11:48:26 INFO::Fitting model to feature number 16, e78a270ccd8d01d326e840cd85e1c1e2
2021-06-23 11:48:26 INFO::Fitting model to feature number 17, b3703a2157a018a94473b0861589dde0
2021-06-23 11:48:26 INFO::Fitting model to feature number 18, fc7e77e237e910e3f38dbb8e3c69c5bd
2021-06-23 11:48:26 INFO::Fitting model to feature number 19, a589fa026973c67d0f1c7b741d85b90c
2021-06-23 11:48:26 INFO::Fitting model to feature number 20, ad23727bc3e6dc84a4c52399fe4f0d39
2021-06-23 11:48:26 INFO::Fitting model to feature number 21, a87086e2ee322da102d8a52c4de21683
2021-06-23 11:48:26 INFO::Fitting model to feature number 22, f80a7e9c950f857ec31ac4d0cc9c6a03
2021-06-23 11:48:26 INFO::Fitting model to feature number 23, X73e42306e185be6f0c6060d4ed924469
2021-06-23 11:48:26 INFO::Fitting model to feature number 24, X3bffd5a2b1cf48b46d1e51628c3551fc
2021-06-23 11:48:26 INFO::Fitting model to feature number 25, X9b5ce504ace88223f14f8b0848d1b054
2021-06-23 11:48:26 INFO::Fitting model to feature number 26, X6d5171bbc6ef97262119e6d152d82164
2021-06-23 11:48:27 INFO::Fitting model to feature number 27, X235c319ab46f87d377a28a34ba10bfa1
2021-06-23 11:48:27 INFO::Fitting model to feature number 28, X89c209abd89a5232343a4c87c93cb4ea
2021-06-23 11:48:27 INFO::Fitting model to feature number 29, f745d265f36ea7eac26d97280e690796
2021-06-23 11:48:27 INFO::Fitting model to feature number 30, X20fe5c9f456999fe121cb1c16bf41e77
2021-06-23 11:48:27 INFO::Fitting model to feature number 31, X48082d1ff66a9207ede6bf05e9846d6e
2021-06-23 11:48:27 INFO::Fitting model to feature number 32, X695a1bb7c03f0f0b00d69b55fe30c4c3
2021-06-23 11:48:27 INFO::Fitting model to feature number 33, X44166d043ae4422d941e1e4c779151f8
2021-06-23 11:48:27 INFO::Fitting model to feature number 34, X2a9df0f05ef552235191fe0edbbc742e
2021-06-23 11:48:27 INFO::Fitting model to feature number 35, b3111baca54677926264de26b4a9bf7a
2021-06-23 11:48:27 INFO::Fitting model to feature number 36, X21f3474eb0a2647e96181ab06ed9b764
2021-06-23 11:48:27 INFO::Fitting model to feature number 37, X9bc2935704d00be01387e4b91d0ec358
2021-06-23 11:48:27 INFO::Fitting model to feature number 38, X87c1f25ee57f851893eda4c10a460604
2021-06-23 11:48:27 INFO::Fitting model to feature number 39, c003202be6a53b07fbb26ecd2161fe2c
2021-06-23 11:48:27 INFO::Fitting model to feature number 40, ae7aa9c977dea18de5954b3f29c80278
