#OTU ID,Vil1-03B-DTT33,Itg-18-DTT496-S91,Vil1-05B-DTT57,Lyz2-07B-DTT281-S123,Vil1-010B-DTT117,Itg-10-DTT455-S49,Lyz2-05B-DTT260-S101,Lyz2-02B-DTT221-S61,Vil1-06B-DTT70,Vil1-03B-DTT35,Itg-10-DTT456-S50,Vil1-01B-DTT11,Lyz2-06B-DTT269-S111,Lyz2-03B-DTT232-S72,Vil1-09B-DTT105,Itg-20-DTT504-S99,Itg-20-DTT505-S100,Itg-24-DTT530-S25,Vil1-06B-DTT72,Itg-24-DTT531-S26,Vil1-04B-DTT43,Itg-24-DTT529-S24,Itg-04-DTT423-S15,Vil1-07B-DTT79,Lyz2-06B-DTT272-S114,Itg-18-DTT492-S87,Vil1-014B-DTT164,Lyz2-04B-DTT246-S87,Lyz2-01B-DTT207-S47,Itg-26-DTT541-S37,Itg-02-DTT409-S1,Itg-22-DTT516-S11,Itg-20-DTT508-S3,Lyz2-06B-DTT270-S112,Itg-16-DTT482-S77,Lyz2-04B-DTT243-S84,Itg-06-DTT433-S26,Lyz2-03B-DTT236-S76,Vil1-04B-DTT46,Lyz2-02B-DTT224-S64,Itg-02-DTT407-S99,Lyz2-08B-DTT291-S133,Itg-24-DTT527-S22,Itg-26-DTT539-S35,Vil1-09B-DTT104,Vil1-02B-DTT24,Vil1-02B-DTT21,Vil1-02B-DTT23,Vil1-03B-DTT32,Lyz2-06B-DTT271-S113,Itg-22-DTT517-S12,Lyz2-07B-DTT284-S126,Vil1-09B-DTT106,Vil1-02B-DTT20,Lyz2-04B-DTT244-S85,Vil1-06B-DTT67,Lyz2-02B-DTT223-S63,Vil1-04B-DTT44,Itg-22-DTT519-S14,Lyz2-04B-DTT247-S88,Itg-06-DTT434-S27,Itg-24-DTT528-S23,Itg-22-DTT518-S13,Itg-02-DTT412-S4,Itg-08-DTT444-S37,Vil1-03B-DTT34,Itg-12-DTT467-S61,Itg-16-DTT480-S75,Itg-26-DTT543-S39,Lyz2-02B-DTT219-S59,Itg-04-DTT424-S16,Itg-12-DTT468-S62,Lyz2-01B-DTT210-S50,Vil1-08B-DTT96,Vil1-010B-DTT119,Vil1-04B-DTT45,Lyz2-03B-DTT233-S73,Itg-18-DTT491-S86,Vil1-05B-DTT58,Lyz2-07B-DTT280-S122,Itg-06-DTT431-S24,Vil1-05B-DTT59,Vil1-07B-DTT81,Lyz2-05B-DTT255-S96,Vil1-010B-DTT120,Itg-12-DTT470-S64,Lyz2-01B-DTT208-S48,Itg-02-DTT408-S100,Itg-02-DTT410-S2,Lyz2-07B-DTT279-S121,Vil1-05B-DTT60,Itg-08-DTT446-S39,Vil1-013B-DTT152,Vil1-08B-DTT95,Vil1-01B-DTT10,Itg-26-DTT542-S38,Vil1-05B-DTT55,Itg-18-DTT493-S88,Vil1-013B-DTT153,Vil1-01B-DTT08,Lyz2-05B-DTT256-S97,Itg-04-DTT421-S13,Itg-18-DTT495-S90,Lyz2-04B-DTT248-S89,Vil1-014B-DTT165,Vil1-010B-DTT118,Lyz2-08B-DTT292-S134,Itg-20-DTT507-S2,Itg-12-DTT471-S65,Lyz2-03B-DTT235-S75,Vil1-06B-DTT69,Vil1-08B-DTT92,Lyz2-05B-DTT258-S99,Itg-10-DTT459-S53,Itg-08-DTT447-S40,Vil1-09B-DTT107,Itg-10-DTT457-S51,Lyz2-06B-DTT267-S108,Vil1-01B-DTT12,Vil1-013B-DTT156,Vil1-07B-DTT84,Itg-16-DTT479-S73,Lyz2-05B-DTT257-S98,Vil1-014B-DTT167,Itg-26-DTT544-S40,Itg-04-DTT422-S14,Vil1-08B-DTT93,Lyz2-08B-DTT295-S137,Itg-06-DTT435-S28,Vil1-06B-DTT71,Itg-16-DTT484-S79,Itg-20-DTT503-S98,Itg-22-DTT515-S10,Vil1-013B-DTT151,Itg-16-DTT481-S76,Vil1-04B-DTT48,Lyz2-07B-DTT282-S124,Itg-06-DTT436-S29,Vil1-02B-DTT19,Lyz2-08B-DTT296-S139,Itg-12-DTT469-S63,Itg-22-DTT520-S15,Vil1-07B-DTT83,Itg-08-DTT443-S36,Lyz2-02B-DTT222-S62,Lyz2-01B-DTT211-S51,Lyz2-04B-DTT245-S86,Vil1-010B-DTT116,Lyz2-01B-DTT212-S52,Itg-04-DTT420-S12,Lyz2-02B-DTT220-S60,Lyz2-08B-DTT293-S135,Vil1-02B-DTT22,Lyz2-07B-DTT283-S125,Itg-10-DTT458-S52,Vil1-07B-DTT80,Vil1-010B-DTT115,Vil1-08B-DTT91,Vil1-014B-DTT163,Vil1-08B-DTT94,Itg-02-DTT411-S3,Vil1-05B-DTT56,Vil1-014B-DTT168,Lyz2-01B-DTT209-S49,Vil1-09B-DTT103,Vil1-09B-DTT108,Vil1-01B-DTT09,Lyz2-05B-DTT259-S100,Itg-20-DTT506-S1,Lyz2-06B-DTT268-S109,Lyz2-03B-DTT234-S74,Vil1-07B-DTT82,Vil1-06B-DTT68,Vil1-013B-DTT154,Vil1-04B-DTT47,Lyz2-03B-DTT231-S71,Itg-18-DTT494-S89,Itg-06-DTT432-S25,Itg-08-DTT445-S38,Lyz2-08B-DTT294-S136,Itg-26-DTT540-S36,Itg-04-DTT419-S11,Vil1-013B-DTT155
2f65298490e0fe48b880145471ec54eb,3442,2207,10,937,445,12013,1262,2938,7,2563,6326,21161,1924,10528,306,2568,5201,2666,8,1076,1256,2049,65785,3,695,507,1061,2871,2824,1027,5542,495,10649,8192,754,19839,43250,34455,1519,20098,1753,11927,1209,1118,296,1810,3526,4347,1211,3894,1065,4832,876,1468,1679,0,36533,2054,6397,15883,34893,1024,1535,30244,1580,1519,6373,3503,1011,4643,26611,2092,23457,6,1223,1418,3638,2655,202,1639,38924,65,40,523,528,8133,352,2545,7517,1547,8,1319,274,62,11330,4414,5,610,363,1873,393,44235,1983,7012,2305,1155,4812,7829,3254,36699,74,80,900,13271,4660,664,7215,972,21018,1942,11,5514,1565,837,2101,65457,144,5360,49076,3,10844,20237,8862,511,4267,1007,11614,5746,2845,48602,2396,3960,30,2117,89820,16275,1755,516,50173,7042,4549,9554,1564,918,11749,20,87,128,2277,6,9803,44,1717,1467,133,483,5123,540,3018,403,29177,4,36,2169,924,16705,764,15646,1628,1932,540,3989,3748
c42634f8d1aad4956aa9638465e86565,2763,14208,36,2890,6958,9493,10205,393,3,1337,1980,559,640,299,4067,112,149,999,6,393,4375,1346,3529,7,442,10077,3867,273,938,1696,92,408,292,2214,8335,1238,7850,167,12737,1402,828,1824,1459,3121,4686,1155,1772,2779,2704,1836,870,16361,1774,779,225,5,1130,5256,243,571,11624,570,565,41,14881,2407,17213,17264,1449,1092,1620,7742,1103,7,706,4250,37,34487,6,1523,8696,2,302,4439,297,35307,155,68,88,5075,5,6877,4,16,1023,1797,17,34981,4,790,4986,3585,11892,473,8755,1064,517,140,1925,79,329,64,21839,2031,17001,978,2311,561,1661,136,20,15931,7031,1686,3780,1775,250,226,5789,4,19175,2511,3891,202,19371,2863,7979,988,1025,1080,7055,622,24,2502,2442,561,17,6015,1012,971,387,798,2676,916,3027,165,1117,52,4747,6,49,64,5235,264,3921,851,1924,19477,390,160,194,49,51,20,3855,1316,12611,4761,8756,568,1007,5380,17
5ae5ad642b9c2cc68c4fc59e4902ff63,1485,610,5,3711,1883,1736,481,1229,0,305,541,762,643,2589,280,5503,5968,386,0,58,822,592,978,0,205,1651,129,905,1877,1240,1478,2799,6047,389,105,2272,1594,964,533,1515,918,1167,4133,840,611,848,3271,2085,3281,557,3031,3329,146,1382,2374,0,418,1248,441,2308,1313,741,1453,1625,672,1603,1749,840,374,3421,452,3472,731,6,96,1395,979,1423,0,2589,701,0,8,262,8,502,2485,1915,1158,1084,0,69,0,15,959,431,0,950,2,578,1079,1257,680,1375,131,391,695,2748,307,1004,0,389,630,76,332,60,208,1391,399,49,0,686,1110,38,442,751,460,170,1708,0,303,3973,1251,30,454,826,5874,237,208,1020,1790,2130,0,262,414,122,622,2218,387,445,4247,1086,652,572,73,0,22,15,291,11,387,35,597,2177,44,16,1037,290,1621,899,1405,2,0,5,210,954,856,3988,324,408,1725,810,0
f5fb42e8863737981eb6e04a3de22e29,235,732,3,202,491,838,403,179,0,51,472,170,291,374,131,914,541,336,0,65,267,432,472,0,180,1719,689,136,291,463,562,300,1921,352,1575,507,245,64,710,244,638,907,570,196,161,192,309,359,745,817,434,2167,64,115,290,0,78,520,295,247,941,424,423,417,656,537,871,1934,549,716,180,1355,176,4,52,971,329,974,0,267,136,0,22,359,7,657,321,337,1958,199,0,330,0,7,266,980,0,1782,3,286,1496,488,1268,146,382,152,243,478,236,72,42,76,2296,99,839,32,203,576,248,41,4,612,841,141,932,351,101,140,490,0,1233,428,199,23,776,195,639,151,124,531,798,475,6,146,88,215,88,458,101,136,347,312,256,53,130,11,4,0,352,0,350,46,589,344,9,11,435,1623,305,289,340,0,26,3,156,363,1443,716,421,210,657,502,5
d013db1a71d477496cb864ee431c3420,1317,509,0,502,884,1317,1420,437,0,188,443,2398,215,636,201,1143,1822,365,0,101,954,955,1282,0,377,264,685,276,913,1288,1857,358,10067,991,1593,1245,2368,353,2240,1016,601,1725,820,1595,180,789,730,1950,1043,1066,1130,1233,279,609,211,0,2386,2166,1332,314,4008,404,1168,4024,2997,595,2447,1846,2185,831,570,1341,1109,0,63,837,266,1195,0,354,2234,0,36,2321,4,2948,102,734,7281,833,0,1764,2,3,997,1856,0,1109,0,572,1350,1983,707,366,656,184,524,1800,886,557,25,16,5773,776,2038,106,365,446,1341,33,3,1909,1523,128,3430,1008,40,858,1886,0,4184,8378,4840,14,1366,1602,3456,365,856,7706,969,1769,0,437,2768,768,188,702,995,382,186,736,1804,270,1133,21,100,8,307,2,1427,6,488,265,211,57,1825,3103,988,164,458,6,0,0,871,378,767,1317,1186,490,546,907,0
ccdb1dad68d457d1df2d11af1ea8ca5f,19,0,4,0,0,102,247,116,0,3,168,241,20,145,0,0,0,10,0,0,22,0,12,0,1,0,1034,20,83,2,0,0,0,50,0,0,0,0,0,287,0,154,0,3,0,71,46,163,7,64,0,475,0,38,29,0,51,0,0,42,0,0,0,0,52,3,246,0,0,333,0,362,58,0,2,0,11,35,3,0,0,0,24,191,0,70,163,0,0,31,0,16,0,4,122,3,5,0,0,82,759,0,0,11,633,0,6,0,92,0,1,7,366,22,77,1,69,70,106,16,0,39,585,167,0,0,19,58,0,0,41,0,0,3,0,16,113,0,10,188,192,0,0,10,75,0,3,0,41,0,324,5,74,1,24,11,0,3,342,2,0,87,810,105,0,0,100,232,0,20,11,4,0,0,1,124,0,0,56,149,23,0,0
9c9d2dfde9ad67dcb9628dc8c30ec99f,549,690,3,746,245,796,1110,563,0,107,214,1766,278,1368,221,518,865,140,0,48,722,641,429,0,462,385,870,501,910,685,884,248,4191,1055,1562,1909,961,489,2654,1346,398,891,533,759,199,648,518,1753,465,1052,595,1912,185,535,289,0,3669,1282,732,602,1053,240,794,1307,1574,314,2013,1192,561,1130,187,927,1386,3,7,467,506,1701,0,281,904,0,42,1661,0,1743,137,356,3939,532,0,559,2,2,541,902,3,1650,0,333,955,1003,780,399,1108,35,365,850,838,941,38,39,7706,292,1002,89,254,544,566,36,0,1472,1447,175,1608,437,93,998,951,0,3478,3329,2996,16,1326,1163,3751,230,485,3980,670,751,8,274,3807,1538,342,225,542,312,372,617,1643,295,491,107,22,13,599,0,663,12,701,404,262,25,793,4132,358,168,1053,5,9,3,844,289,679,948,576,383,275,511,0
a93ecb34623d57ce5a83ac109551229b,44,48,0,195,121,278,80,146,0,3,146,36,186,174,57,150,87,53,0,12,85,211,80,0,83,195,400,19,129,211,33,85,79,139,61,150,142,6,38,148,40,195,132,70,109,45,30,80,130,275,92,427,22,41,25,0,18,63,10,10,411,191,27,6,88,43,42,381,38,352,52,120,36,0,5,33,14,97,0,117,88,0,19,30,0,50,358,18,23,201,0,9,2,0,27,70,0,107,0,32,102,248,66,22,294,21,157,60,30,0,19,22,26,18,70,7,66,564,17,2,0,64,153,99,43,175,20,76,352,0,285,78,27,3,188,62,447,63,19,239,55,46,0,72,21,2,10,97,10,136,474,181,13,48,20,12,3,0,186,2,4,8,334,141,0,0,87,26,41,433,12,3,11,3,17,110,73,546,40,67,406,230,0
b624666c6326343e28d1098066a7cb32,0,0,0,0,0,0,267,452,0,2,0,153,61,557,0,0,0,0,0,1,0,0,0,0,47,0,0,211,1215,0,0,0,0,97,0,612,0,136,0,1751,11,980,0,25,0,93,104,418,0,212,0,143,0,77,211,0,346,0,0,707,0,0,0,51,0,0,0,0,12,1469,0,0,267,4,0,0,75,0,0,0,0,0,0,95,0,0,1131,0,13,48,0,0,0,5,113,4,0,0,0,39,315,0,0,207,0,2,0,0,0,133,0,205,390,0,0,0,0,255,71,0,0,0,457,0,6,0,331,0,0,0,0,0,0,3,0,0,1,0,32,0,0,0,2,0,372,143,107,0,232,0,1450,0,143,0,0,0,0,4,0,1,12,0,0,768,0,0,85,176,0,135,167,0,0,0,3,241,0,0,0,12,71,0,0
1b23073ca2a2884ac2bd7895dda760bc,34,75,2,48,47,103,56,126,0,3,46,16,58,142,16,237,145,29,0,3,106,246,47,0,23,218,180,24,210,169,57,16,92,40,35,179,81,9,8,55,112,38,50,104,42,12,16,31,62,39,29,165,8,17,106,0,6,64,0,67,120,106,8,20,213,21,4,235,20,605,36,13,44,0,4,20,57,133,0,33,42,0,5,41,0,9,490,43,40,56,0,12,0,2,20,38,0,148,0,22,199,194,57,35,74,8,65,84,2,0,5,39,47,3,98,0,20,218,7,3,0,50,256,29,35,87,36,56,74,0,144,116,4,5,140,43,116,15,4,110,10,6,0,24,6,0,38,51,11,62,215,65,6,13,10,4,0,0,170,0,6,6,94,222,4,0,33,22,48,121,32,0,0,0,2,98,93,171,68,51,304,148,0
