metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Type	X48082d1ff66a9207ede6bf05e9846d6e	Mucosal	-0.862515948459824	0.0694350470872081	279	272	1.92375605802059e-27	8.31062617064895e-25
Type	X4c8288bfbd76958c0c094d87b97650f8	Mucosal	2.97383124437635	0.24424027025682	279	130	1.18312480718882e-26	2.09293388090676e-24
Type	bbf6f74f140636ff3f33ef2bc3d892a3	Mucosal	-0.763206889653635	0.0627904830349799	279	191	1.45342630618525e-26	2.09293388090676e-24
Type	ad4e760fa406db6470c29766422a47d2	Mucosal	-0.958915038561728	0.0873771046569904	279	232	8.20155005021304e-23	8.85767405423008e-21
Type	X3bffd5a2b1cf48b46d1e51628c3551fc	Mucosal	-0.830078836038309	0.0835531925653608	279	111	1.37446246723033e-19	1.187535571687e-17
Type	X87ab9c664033e00f6b64f2afc71a6d90	Mucosal	-0.70973006925452	0.0771342291809343	279	40	2.23773043451486e-17	1.6111659128507e-15
Type	b92f84c206887ecd667f142dd3606ac3	Mucosal	-0.661377221639716	0.0805831082713602	279	216	1.63817858614335e-14	1.01099021316275e-12
Site	X17bccd87573679acdd1eda74fc49bde7	Distal_Colon	-0.721558021054797	0.0881389745381781	279	212	1.88692307982321e-14	1.01893846310453e-12
Type	a172874a13d3e6df1391f0797d95d6bc	Mucosal	-0.534738428069996	0.0701582678222868	279	178	6.53437718780691e-13	3.13650105014732e-11
Site	X2e11ee45d4ccab0775222da825d3bd42	Distal_Colon	-0.653385303911817	0.0884953321742977	279	262	2.90782927045029e-12	1.25618224483453e-10
Site	X204736c3bd4a4c1f840e9fc99a5155d2	Distal_Colon	-0.6990741674793	0.0985809278153806	279	150	1.66474957977058e-11	6.53792562237172e-10
Type	X028e2c1b650e2e2b5847154a153e0166	Mucosal	1.13796773779883	0.161681207090555	279	42	2.20296291430715e-11	7.93066649150573e-10
Site	f5fb42e8863737981eb6e04a3de22e29	Distal_Colon	-0.762831144769028	0.108863436561306	279	273	2.6930416562585e-11	8.94918458079747e-10
Type	X235c319ab46f87d377a28a34ba10bfa1	Mucosal	-0.501735767498245	0.0748602955390932	279	270	1.57671068101884e-10	4.86527867285815e-09
Type	c42634f8d1aad4956aa9638465e86565	Mucosal	-0.66765206038346	0.101468352855461	279	275	3.15806051313463e-10	9.09521427782773e-09
Line	X4c8288bfbd76958c0c094d87b97650f8	Vil1Cre	3.91234694775021	0.485825314662532	279	130	7.60285164088918e-10	2.05276994304008e-08
Site	X4fdd9f8b9aac094acd93155a17435a7f	Distal_Colon	-0.638204267523524	0.10216566491399	279	76	2.03561057403499e-09	5.17284569401832e-08
Site	a5641950b2a3a47827849d91242f0ead	Distal_Colon	-0.571317738699381	0.0927145537243605	279	266	3.22444307160802e-09	7.73866337185926e-08
Site	f745d265f36ea7eac26d97280e690796	Distal_Colon	1.23239360646419	0.202493192960356	279	69	4.86787993483333e-09	1.10680217465684e-07
Line	fbbeae3dceada6928b2cdc472f5d9901	Vil1Cre	4.65540324723235	0.636637442750254	279	113	5.43173534409904e-09	1.17325483432539e-07
Site	X76d6be90e19a660c9a84b35fa31d801c	Distal_Colon	0.591240023979249	0.0997948703250464	279	275	1.15096772235871e-08	2.36770502885221e-07
