metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Line,5adc2daa2981bc07e21b14d53496ff67,Vil1Cre,-2.951825577,0.3737476269,137,68,2.00E-09,3.17E-06
Line,72cb656da17f65d184d9186ee5260f53,Vil1Cre,-3.970440017,0.5246971854,137,63,3.18E-09,3.17E-06
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Jan_Twenty,2.834879253,0.4316820844,137,43,7.61E-08,5.05E-05
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,4.512540094,0.7176814328,137,67,1.89E-07,9.40E-05
Site,6d5171bbc6ef97262119e6d152d82164,Duodenum,-1.58911332,0.3027356546,137,100,1.04E-06,0.0004130948019
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Mar_Twenty,4.287806319,0.7661464823,137,43,1.41E-06,0.0004669606272
Line,772ad2feb9f19ddeace71e8e2e707858,Vil1Cre,-3.345663554,0.6254277006,137,51,3.97E-06,0.001130929868
Line,c50f108c7f26f34cb8226f54985908be,Vil1Cre,-3.827033322,0.7754501403,137,58,1.46E-05,0.003635213215
Sequencing_Run,96c7cedbae877361d087a8b39206d408,NovaSeq_Jan_Twenty,1.804370203,0.3683234048,137,29,1.66E-05,0.003677300906
Line,e8ed0e081283c5963ce9860944f651c6,Vil1Cre,1.633583953,0.3378981947,137,80,2.06E-05,0.004110450336
Line,234b63e9a181c1a4a2abf89444577cef,JJWT,-4.311291592,0.9024328361,137,53,2.43E-05,0.004406142918
Line,e6b0f68e8f6db48ea780944a44ac99a1,Vil1Cre,1.390774146,0.2933532685,137,79,2.89E-05,0.00480045502
Line,9b5ce504ace88223f14f8b0848d1b054,LyzCre,-3.905464904,0.848974542,137,133,4.21E-05,0.005997085148
Site,332d720adc8e107df05b716fd88b601c,Duodenum,1.160547166,0.2682897953,137,123,3.95E-05,0.005997085148
Site,21f3474eb0a2647e96181ab06ed9b764,Duodenum,0.68060463,0.1613331158,137,121,6.00E-05,0.006637242478
Line,6f0b4058c92e83c77533a218739a0e38,JJWT,-2.463742378,0.5428483424,137,43,5.01E-05,0.006637242478
Line,3a863e8d613146295f1169d6d3e462e8,Vil1Cre,-1.241740935,0.2765854254,137,35,5.95E-05,0.006637242478
Line,7b5a9a466d6970735cb986d2e97b7d03,LyzCre,2.229177234,0.4961533281,137,21,5.89E-05,0.006637242478
Site,2f65298490e0fe48b880145471ec54eb,Duodenum,-0.6532148867,0.1559875221,137,137,6.63E-05,0.006842570865
Sequencing_Run,96c7cedbae877361d087a8b39206d408,NovaSeq_Mar_Twenty,2.892372095,0.656988621,137,29,6.87E-05,0.006842570865
Line,2a065d9ee9756b7b08d04e4d8f2ac204,Vil1Cre,0.9098285144,0.2053949174,137,23,7.26E-05,0.006884612657
Line,292a57429f3bed0adc53c07dc4c62c9f,Vil1Cre,1.48508848,0.3372978768,137,59,8.18E-05,0.007408650654
Site,48082d1ff66a9207ede6bf05e9846d6e,Duodenum,0.6443136527,0.1564489756,137,136,8.59E-05,0.007438797122
Sex,397aa1ad0378774f826b9825c958427e,Male,-2.17405133,0.5042119834,137,135,0.0001037384343,0.008450253729
Line,be7fa93e72946b09913f7776a2f1c857,LyzCre,-2.384153069,0.5557936128,137,93,0.0001085959412,0.008450253729
Site,9c6efccec7649fddce7cb4c0b868559f,Duodenum,0.7675653147,0.1915914837,137,106,0.000128618894,0.008450253729
Site,a172874a13d3e6df1391f0797d95d6bc,Jejunum,-0.716906118,0.179708481,137,57,0.0001357470479,0.008450253729
