#OTU ID,Itg.18.DTT496.S91,Lyz2.05B.DTT260.S101,Vil1.13B.FP153,Itg.20.FP508.S11,Vil1.06B.DTT72,Lyz2.06B.DTT272.S114,Itg.20.DTT508.S3,Lyz2.03B.DTT236.S76,Itg.16.FP484.S87,Vil1.05B.FP60,Lyz2.01B.FP212.S60,Lyz2.02B.DTT224.S64,Vil1.09B.FP105,Vil1.02B.DTT24,Vil1.04B.FP48,Lyz2.07B.DTT284.S126,Vil1.03B.FP36,Itg.02.FP412.S12,Lyz2.02B.FP224.S72,Itg.02.DTT412.S4,Itg.26.FP544.S48,Itg.10.FP460.S62,Itg.04.DTT424.S16,Itg.18.FP496.S99,Vil1.08B.DTT96,Vil1.010B.DTT120,Itg.06.FP436.S37,Vil1.01B.FP12,Vil1.10B.FP117,Vil1.05B.DTT60,Lyz2.04B.DTT248.S89,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Vil1.06B.FP72,Vil1.02B.FP24,Itg.26.DTT544.S40,Lyz2.05B.FP260.S57,Itg.12.FP472.S74,Vil1.14B.FP165,Itg.16.DTT484.S79,Vil1.07B.FP84,Vil1.04B.DTT48,Itg.08.FP448.S49,Itg.04.FP424.S24,Itg.06.DTT436.S29,Lyz2.08B.DTT296.S139,Itg.22.DTT520.S15,Lyz2.01B.DTT212.S52,Lyz2.07B.FP284.S82,Lyz2.08B.FP296.S95,Lyz2.03B.FP236.S84,Vil1.014B.DTT168,Vil1.09B.DTT108,Itg.22.FP520.S23,Vil1.08B.FP93,Lyz2.06B.FP272.S70,SLCFP072,LYZFP308,LYZdtt308,SLCFP078,SLCFP024,SLCdtt114,LYZFP320,LYZdtt356,LYZdtt368,LYZFP356,SLCdtt024,LYZFP332,LYZdtt344,SLCdtt096,LYZdtt332,LYZdtt320,SLCdtt078,SLCFP054,SLCFP114,SLCFP006,SLCdtt054,SLCdtt006,SLCdtt132,SLCFP132,LYZFP344,SLCFP096,SLCdtt150,SLCdtt168,SLCFP150,taxonomy
2f65298490e0fe48b880145471ec54eb,5209,2752,7293,15925,209,1486,14350,33087,6680,10833,25514,20157,2237,2818,5267,8719,22873,10017,34544,33027,3296,6206,27902,5128,217,1863,24259,31381,2429,194,10296,19944,4808,218,7180,6857,4917,1893,7405,3372,15319,6814,2013,9882,15038,5894,47736,6623,45690,6156,8653,29841,4208,1772,8548,4361,3156,4178,42060,34049,18362,881,2131,20350,92164,12690,12578,2644,6042,41183,18334,13950,2726,32235,699,105,3693,1838,7173,9985,3646,26450,1546,36699,67819,33463,
c42634f8d1aad4956aa9638465e86565,10653,7531,67,408,8,372,281,167,31706,5409,3576,1162,8565,918,16630,12232,12320,97,3235,48,7027,7135,1372,13561,10,276,6226,8413,12980,7,434,1344,140,24,13920,10262,3016,9598,38296,11413,14297,13535,2183,16494,1365,780,964,550,887,7240,829,601,4083,731,3779,2092,5974,710,1647,696,828,17544,464,1696,13306,8411,80203,9476,19436,17337,570,8346,2193,442,895,1204,1768,285,1456,757,525,112992,352,9149,10137,75266,
5ae5ad642b9c2cc68c4fc59e4902ff63,279,280,1,24901,0,110,6109,572,581,201,35,1206,1975,738,1294,2864,924,1191,1501,1010,305,131,177,73,1,1,1619,5049,2929,0,956,205,6,0,130,2393,179,101,1092,73,89,1777,690,63,141,147,508,1816,140,1792,818,1000,291,2,1470,7266,626,2788,80,972,29,132,21,169,8,896,0,74,16,377,72,299,166,33,3303,9,509,354,457,7540,5941,122,3,1678,799,1106,
f5fb42e8863737981eb6e04a3de22e29,804,431,29,4093,0,198,1834,113,3277,914,187,300,717,211,2609,2059,1554,1822,804,535,1878,1106,258,422,15,20,2003,3537,1024,0,212,293,82,13,1289,1276,975,970,1242,990,1280,1540,218,1063,228,165,655,530,165,415,1349,921,654,28,1026,1180,3355,565,194,1158,1025,609,413,580,171,1146,695,257,55,595,18,531,557,169,832,487,332,299,176,861,548,1025,7,5207,3970,725,
d013db1a71d477496cb864ee431c3420,557,1112,48,4375,0,331,6789,409,2235,1317,1311,884,960,620,2205,1141,1034,5794,694,3158,3577,2103,610,279,0,13,4162,6956,2068,0,416,1076,71,11,1286,3012,2611,926,3356,2293,3199,1184,1159,3872,467,311,5558,1429,950,391,1867,1064,522,95,1960,651,903,500,5675,1901,3006,1053,712,61,2442,17256,6197,294,138,2088,24,1826,2579,812,413,256,256,425,202,1589,1212,2646,0,7291,1601,2159,
ccdb1dad68d457d1df2d11af1ea8ca5f,0,212,36,0,0,1,0,0,87,371,15,251,0,67,46,416,8,0,257,0,15,195,0,0,0,0,0,304,0,0,18,104,26,0,199,507,0,170,367,1722,55,398,20,80,0,0,197,0,54,0,173,32,654,0,0,445,73,55,402,2011,22,100,42,272,4,564,11,64,2,25,0,26,132,24,0,12,3,4,6,19,3,18,0,183,0,76,
9c9d2dfde9ad67dcb9628dc8c30ec99f,487,721,27,2843,0,304,2644,351,1981,1159,469,880,1342,421,3382,1262,1641,2181,1346,898,1254,961,148,165,4,0,1846,5340,1146,0,290,386,34,0,955,4018,1064,470,1724,3347,2232,1301,737,1361,100,157,2559,513,390,582,1501,1432,488,23,674,1147,1257,555,9617,2325,1865,93,649,636,2421,10324,8318,39,0,1493,0,920,1751,557,211,380,230,188,163,686,926,1962,0,2538,2353,5514,
a93ecb34623d57ce5a83ac109551229b,59,78,15,673,0,73,88,12,703,242,7,137,365,44,378,365,171,76,204,13,97,150,63,21,0,0,348,756,141,0,31,23,5,0,430,965,54,68,257,461,261,560,59,89,76,56,231,53,18,149,350,36,287,0,75,171,504,164,96,158,19,77,115,71,30,878,91,41,17,120,0,53,57,27,43,153,58,10,81,102,318,73,0,97,90,23,
1b23073ca2a2884ac2bd7895dda760bc,29,32,1,1277,0,11,43,1,484,56,1,24,89,3,170,112,23,79,87,2,35,4,7,1,0,0,16,303,2,0,8,1,1,0,100,709,7,31,10,341,84,282,28,21,3,6,44,1,1,13,701,2,50,0,1,307,174,0,61,332,0,0,7,65,0,651,63,0,0,87,0,11,26,4,28,9,13,9,9,13,107,20,0,0,169,57,
7cd17d18c05e35c6001cc253ac15c517,218,244,18,1820,0,81,562,102,2013,864,944,339,819,198,1454,482,685,2698,1049,546,1389,1268,156,162,0,6,1683,2485,2210,0,274,100,20,0,901,1933,527,319,1516,692,689,1058,148,1341,273,94,1278,529,308,589,1245,682,202,29,1225,517,607,457,3246,1080,673,195,404,173,590,5080,2243,35,12,647,6,425,1221,96,1029,326,118,360,59,504,799,744,7,288,1438,2286,
