metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Site	f5fb42e8863737981eb6e04a3de22e29	Jejunum	2.51868545691888	0.197346527401192	278	277	0.000000000000000000000000000191140746186549	0.000000000000000000000000105127410402602
Site	b92f84c206887ecd667f142dd3606ac3	Jejunum	-2.55448965734167	0.20797501483676	278	147	0.00000000000000000000000000643394118494189	0.00000000000000000000000176933382585902
Site	X76d6be90e19a660c9a84b35fa31d801c	Jejunum	-2.83439427137509	0.252265899253576	278	211	0.0000000000000000000000144510884602361	0.00000000000000000000264936621770995
Site	b92f84c206887ecd667f142dd3606ac3	Ileum	-2.29854662108604	0.209176810019154	278	147	0.0000000000000000000000832007462141439	0.0000000000000000000114401026044448
Site	b92f84c206887ecd667f142dd3606ac3	Duodenum	-2.17942057088158	0.211757257097792	278	147	0.0000000000000000000117889518139829	0.00000000000000000129678469953811
Site	a172874a13d3e6df1391f0797d95d6bc	Jejunum	-1.87127449769802	0.191073363656423	278	142	0.000000000000000000418309342903387	0.0000000000000000383450230994772
Site	f5fb42e8863737981eb6e04a3de22e29	Duodenum	1.94779706642338	0.201101696977727	278	277	0.000000000000000000867135560233831	0.0000000000000000681320797326581
Site	X76d6be90e19a660c9a84b35fa31d801c	Ileum	-2.423035209084	0.253822537064946	278	211	0.00000000000000000228424971876457	0.000000000000000157042168165064
Site	f5fb42e8863737981eb6e04a3de22e29	Ileum	1.84315519895862	0.198544891005119	278	277	0.000000000000000013938418073174	0.000000000000000851792215582854
Site	X87ab9c664033e00f6b64f2afc71a6d90	Jejunum	-1.36980668716054	0.147888890457803	278	39	0.000000000000000016054661126543	0.000000000000000883006361959867
Site	X64864a4b76fc5cccc00f4e44f8dbcff4	Jejunum	-1.43312579978685	0.162088567631741	278	230	0.000000000000000271726805659606	0.0000000000000135863402829803
Site	ad4e760fa406db6470c29766422a47d2	Jejunum	-2.25840729363199	0.258472111665141	278	187	0.000000000000000534920997571708	0.0000000000000245172123887033
Site	X3bffd5a2b1cf48b46d1e51628c3551fc	Jejunum	1.46713963442437	0.172310590250091	278	193	0.00000000000000235568213053838	0.0000000000000996634747535469
Site	X87ab9c664033e00f6b64f2afc71a6d90	Ileum	-1.23662458040259	0.148746394728668	278	39	0.00000000000000857595567682789	0.00000000000033691254444681
Site	X84a1034f71767fa92491aebf1bdf7fdc	Jejunum	-1.27594571221762	0.154539386810836	278	228	0.0000000000000125777376582569	0.000000000000461183714136087
Site	a5641950b2a3a47827849d91242f0ead	Jejunum	-1.47333728122211	0.178713071772872	278	225	0.0000000000000135346667438389	0.000000000000465254169319463
Site	X64864a4b76fc5cccc00f4e44f8dbcff4	Duodenum	-1.35444582248821	0.165201734389247	278	230	0.0000000000000178816176066539	0.000000000000578522922568213
Site	X6d5171bbc6ef97262119e6d152d82164	Ileum	2.3748386452554	0.29414724535928	278	129	0.0000000000000403390762288121	0.00000000000123258288476926
Site	X762fd96b2d1336974fba68fedd33fefa	Jejunum	-2.00232479995818	0.249925282981342	278	150	0.0000000000000596786151990851	0.00000000000172753886102615
Site	X89c209abd89a5232343a4c87c93cb4ea	Jejunum	2.75396631282599	0.3477042877787	278	144	0.000000000000106487978858469	0.0000000000029284194186079
Site	X87ab9c664033e00f6b64f2afc71a6d90	Duodenum	-1.17127831647855	0.15058679198952	278	39	0.000000000000253752483799496	0.0000000000066458983852249
Site	ad4e760fa406db6470c29766422a47d2	Ileum	-1.97892527752471	0.259916516071186	278	187	0.000000000000706014977723015	0.0000000000176503744430754
Site	c8433912bf1d2d7d9dd177739211ae41	Jejunum	-2.09011267717943	0.27532454626055	278	149	0.000000000000820120588673062	0.0000000000196115792943558
Site	f9130f059b9380b9961aef118b3a529e	Jejunum	-1.2555823285312	0.166034657882927	278	239	0.000000000000983031946511942	0.0000000000225278154408987
Site	X76d6be90e19a660c9a84b35fa31d801c	Duodenum	-1.9300747816139	0.257136928642925	278	211	0.00000000000137545153233047	0.0000000000302599337112703
Site	X2f65298490e0fe48b880145471ec54eb	Jejunum	1.8185406845128	0.243229953197548	278	278	0.00000000000166117153101905	0.000000000035140167002326
Site	c42634f8d1aad4956aa9638465e86565	Jejunum	1.57359729807745	0.213198883089047	278	274	0.00000000000298275593994763	0.0000000000607598432211554
Site	X5ae5ad642b9c2cc68c4fc59e4902ff63	Jejunum	1.36489913692517	0.187592955124915	278	270	0.00000000000561208697963705	0.000000000110237422814299
Site	e8ed0e081283c5963ce9860944f651c6	Jejunum	-1.3162222713947	0.181496312003415	278	200	0.00000000000646102987194854	0.000000000122536773433507
Site	a172874a13d3e6df1391f0797d95d6bc	Duodenum	-1.35523952545937	0.19477691294825	278	142	0.0000000000366351588818025	0.000000000671644579499713
Site	ad4e760fa406db6470c29766422a47d2	Duodenum	-1.78329390446102	0.263031154822882	278	187	0.000000000101288751656657	0.00000000179705849713423
Site	X762fd96b2d1336974fba68fedd33fefa	Ileum	-1.70398025314895	0.25147545338472	278	150	0.000000000105600403921134	0.0000000018150069423945
Site	X64864a4b76fc5cccc00f4e44f8dbcff4	Ileum	-1.10326739511681	0.163082938395609	278	230	0.000000000112401696053084	0.00000000187336160088473
Site	X46864a6aa122ecb439eb59a3c0542ee6	Jejunum	-1.31130858420491	0.195462270089677	278	179	0.000000000155409053436785	0.00000000251396998206565
Site	f9130f059b9380b9961aef118b3a529e	Ileum	-1.11181815585514	0.167043094330347	278	239	0.000000000209344144282758	0.0000000032896936958719
Site	f9130f059b9380b9961aef118b3a529e	Duodenum	-1.12267278102939	0.169194617778563	278	239	0.000000000233999700257514	0.00000000357499542060091
Site	X49e9cee41713f4c00f8b171ecaff09b5	Jejunum	-1.15717290135014	0.174924731005464	278	148	0.000000000264373012670373	0.00000000392986910726229
Site	c8433912bf1d2d7d9dd177739211ae41	Ileum	-1.82547912934098	0.276887685134876	278	149	0.000000000298391063605391	0.0000000043188180258675
Site	a5641950b2a3a47827849d91242f0ead	Duodenum	-1.19246260258409	0.182064973577032	278	225	0.000000000379912702486535	0.00000000535774324019472
Site	b3ef12a80d40902556c2fd4de5924438	Jejunum	1.34883206958649	0.206120965901148	278	109	0.000000000396702824453181	0.00000000545466383623124
Site	f745d265f36ea7eac26d97280e690796	Jejunum	1.94819094294891	0.299980672863032	278	112	0.000000000522986382228392	0.00000000701567098111258
Site	X89c209abd89a5232343a4c87c93cb4ea	Duodenum	2.27655460937657	0.354075854649626	278	144	0.000000000743540389430102	0.00000000973683843301324
Site	X762fd96b2d1336974fba68fedd33fefa	Duodenum	-1.63005418821149	0.254773893629836	278	150	0.000000000889787226406435	0.0000000113809994075242
Site	a5641950b2a3a47827849d91242f0ead	Ileum	-1.13901118476812	0.179781269812622	278	225	0.00000000125936563083731	0.0000000157420703854664
Site	a172874a13d3e6df1391f0797d95d6bc	Ileum	-1.19177565398769	0.192257340193042	278	142	0.00000000266444874635576	0.0000000325654846776815
Site	X2f65298490e0fe48b880145471ec54eb	Ileum	1.50331908815815	0.244730417492272	278	278	0.0000000036057586182656	0.0000000431123313053495
Site	X3bffd5a2b1cf48b46d1e51628c3551fc	Duodenum	1.07351107192487	0.175741241926288	278	193	0.00000000434424429775114	0.0000000508369013566623
Site	X84a1034f71767fa92491aebf1bdf7fdc	Duodenum	-0.953114990064031	0.157561745731718	278	228	0.00000000596428551915046	0.0000000683407715735991
Site	c8433912bf1d2d7d9dd177739211ae41	Duodenum	-1.66099783026782	0.280251563923118	278	149	0.0000000113041470217123	0.000000126883282896771
Site	X89c209abd89a5232343a4c87c93cb4ea	Ileum	2.05975984225732	0.349730300585092	278	144	0.000000013875427169154	0.000000152629698860694
Site	c42634f8d1aad4956aa9638465e86565	Ileum	1.25710944162433	0.214567751360865	278	274	0.0000000163450030690532	0.00000017626964094077
Site	X6f0b4058c92e83c77533a218739a0e38	Duodenum	1.19435379898547	0.209161787740551	278	47	0.0000000351836272731837	0.000000372134519235597
Line	fbbeae3dceada6928b2cdc472f5d9901	Vil1Cre	4.73881510401577	0.73242702721031	278	121	0.000000103557339580733	0.00000107465163715855
Site	X5ae5ad642b9c2cc68c4fc59e4902ff63	Ileum	1.03504515220579	0.188797273171357	278	270	0.00000011182652335204	0.00000113897384895597
Site	e8ed0e081283c5963ce9860944f651c6	Duodenum	-1.00511651125423	0.185009516957583	278	200	0.000000142593492336756	0.00000142593492336756
Site	X49e9cee41713f4c00f8b171ecaff09b5	Duodenum	-0.964948259007275	0.178249093228582	278	148	0.000000156642235482517	0.00000153845052706044
Site	X6d5171bbc6ef97262119e6d152d82164	Jejunum	1.56374149748097	0.29229784519459	278	129	0.000000215497471847402	0.00000207936157045739
Site	b3ef12a80d40902556c2fd4de5924438	Ileum	1.08353885380903	0.207384139706158	278	109	0.000000395307740895438	0.00000374860788780157
Site	X46864a6aa122ecb439eb59a3c0542ee6	Duodenum	-1.03773489962149	0.199133818211267	278	179	0.000000420291060585327	0.00000391796751393102
Site	X5ae5ad642b9c2cc68c4fc59e4902ff63	Duodenum	0.993580032072194	0.19134852859926	278	270	0.000000461782577928628	0.00000423300696434575
Site	X3bffd5a2b1cf48b46d1e51628c3551fc	Ileum	0.898081888275186	0.173410135712888	278	193	0.000000493077775552354	0.00000444578322219336
Line	X89c209abd89a5232343a4c87c93cb4ea	JJWT	-3.61898196099558	0.621065367155757	278	144	0.000000834230987310625	0.00000740043617775554
Site	a30dd65fa0f17c9ffe88b70cc66d024b	Jejunum	0.885181671481791	0.177593730369617	278	32	0.00000123662533741911	0.0000107959354854049
Line	X5adc2daa2981bc07e21b14d53496ff67	Vil1Cre	-1.79871644771036	0.316823379224836	278	46	0.0000013660675807113	0.0000117396432717377
Site	X49e9cee41713f4c00f8b171ecaff09b5	Ileum	-0.870216022989427	0.175985487068498	278	148	0.00000148303121825918	0.0000125487256929623
Site	bbf6f74f140636ff3f33ef2bc3d892a3	Jejunum	-0.938571927633658	0.193665680188883	278	192	0.00000233780510765132	0.0000194817092304277
Line	ad4e760fa406db6470c29766422a47d2	JJWT	-2.11717258411736	0.389186818214691	278	187	0.00000276656659105887	0.0000227106212698863
Sequencing_Run	X4c8288bfbd76958c0c094d87b97650f8	NovaSeq_Jan_Twenty	3.23907142830234	0.602449154598875	278	90	0.00000355248035250723	0.0000287332969688085
Site	X292a57429f3bed0adc53c07dc4c62c9f	Jejunum	-0.89658685808425	0.189014235734183	278	130	0.00000372360634668466	0.0000296809201547328
Site	X4c8288bfbd76958c0c094d87b97650f8	Duodenum	1.28069959118108	0.272802117857463	278	90	0.00000462312856306823	0.0000363245815669647
Site	bbf6f74f140636ff3f33ef2bc3d892a3	Duodenum	-0.918047115299048	0.197514914345681	278	192	0.00000569513049612357	0.0000441172080685629
Site	c42634f8d1aad4956aa9638465e86565	Duodenum	1.00434902363606	0.217467549286892	278	274	0.00000648952545053758	0.0000488936849013106
Site	X028e2c1b650e2e2b5847154a153e0166	Jejunum	0.97575625173519	0.211251157387561	278	31	0.00000647290367064906	0.0000488936849013106
Site	e8ed0e081283c5963ce9860944f651c6	Ileum	-0.831603571127329	0.18261929412147	278	200	0.00000860639805219982	0.0000636524517558387
Site	X84a1034f71767fa92491aebf1bdf7fdc	Ileum	-0.707864792883503	0.155506422138812	278	228	0.0000086798797848871	0.0000636524517558387
Site	a589fa026973c67d0f1c7b741d85b90c	Jejunum	0.829282792702302	0.182360331850507	278	276	0.0000088506907284576	0.0000640510513243642
Site	X5adc2daa2981bc07e21b14d53496ff67	Jejunum	1.33103507377196	0.29692152917351	278	46	0.0000117076412128562	0.0000836260086632586
Site	X5adc2daa2981bc07e21b14d53496ff67	Ileum	1.33363433364528	0.298660138780733	278	46	0.0000126037405726808	0.0000888725296791593
Site	X2f65298490e0fe48b880145471ec54eb	Duodenum	1.09814309957866	0.247925317985795	278	278	0.0000146989304021196	0.0000971878009570039
Site	X235c319ab46f87d377a28a34ba10bfa1	Duodenum	0.812962233906097	0.183306798501136	278	270	0.0000143641289865336	0.0000971878009570039
Sequencing_Run	X6f0b4058c92e83c77533a218739a0e38	NovaSeq_Jan_Twenty	2.70919725269928	0.549820009734493	278	47	0.0000148432277825242	0.0000971878009570039
Site	eee9bab26577ab7978a3c7bb4a082922	Jejunum	1.20496435653867	0.272102765228096	278	115	0.0000147891993729084	0.0000971878009570039
Site	X4fdd9f8b9aac094acd93155a17435a7f	Ileum	-0.756951500461038	0.170535983552517	278	46	0.0000141410178783963	0.0000971878009570039
Site	X4fdd9f8b9aac094acd93155a17435a7f	Jejunum	-0.750898857496469	0.169495825720951	278	46	0.0000146701596345088	0.0000971878009570039
Site	bbf6f74f140636ff3f33ef2bc3d892a3	Ileum	-0.848144059556387	0.194899182692199	278	192	0.0000204650315527409	0.000132420792400088
Site	X4c8288bfbd76958c0c094d87b97650f8	Ileum	1.16387848100814	0.269264210148894	278	90	0.0000231218070544188	0.000147872021859655
