Description,PC1,PC2,PC3
Lyz2.02B.FP222.S70,0.7025746066,-0.8399165909,0.1251007487
Itg.22.FP518.S21,1.168043882,-0.5295203172,0.2803326368
Vil1.06B.DTT70,0.4433192981,1.097442171,-0.7630638589
Vil1.07B.FP82,-0.7404236586,-2.743472918,-0.4205538924
Vil1.10B.FP115,0.21625277,-0.6805997931,0.2020553008
Itg.24.DTT530.S25,-0.2657702341,1.700335132,0.1825295738
Vil1.04B.FP46,-0.03209236983,-2.213210856,-0.0511112373
Vil1.14B.FP163,-2.621298263,-0.1060447653,-0.06912713644
Lyz2.04B.DTT246.S87,-0.1500460708,1.266234839,0.08508146919
Vil1.02B.FP22,-1.088227015,-0.8789030115,0.1850972878
Lyz2.01B.FP210.S58,1.149429406,0.1405087683,0.09543850169
Lyz2.06B.DTT270.S112,0.1199725326,0.8559920079,0.3276661393
Itg.16.DTT482.S77,0.1844410197,-0.2601872201,0.1436751811
Vil1.05B.FP58,-0.1474549124,0.8734084888,0.07502981299
Vil1.04B.DTT46,0.3261079814,-0.5344921352,0.2071585946
Lyz2.07B.FP282.S80,0.1185459513,-1.622854391,-0.325817275
Lyz2.03B.FP234.S82,0.002282697855,-0.7274708841,0.144866423
Vil1.09B.DTT106,0.6240029988,0.7244282743,0.05754216834
Itg.24.FP530.S33,1.012636324,0.824454072,0.2082692025
Itg.06.DTT434.S27,-0.1319378805,-0.1880630318,0.2046525672
Itg.04.FP422.S22,1.590275174,0.2986180659,-0.1430934521
Itg.22.DTT518.S13,-0.4799793046,1.562785779,0.279839091
Itg.20.FP506.S9,-1.785853703,0.6908962086,0.07116751425
Vil1.03B.DTT34,-1.577414424,0.4075415689,-0.01993791764
Itg.06.FP434.S35,-0.2106417468,-1.726286188,0.01481264778
Lyz2.01B.DTT210.S50,-0.251521464,1.095708636,0.1838671489
Vil1.05B.DTT58,0.5669946812,0.9034311345,-0.7081593248
Itg.02.FP410.S10,0.8946284332,-0.8691140079,0.01753537839
Itg.12.DTT470.S64,0.2408381511,0.1111260378,0.2771475976
Itg.02.DTT410.S2,0.505138005,-0.4378879607,0.3650042354
Vil1.03B.FP34,-0.2862001595,0.01815401668,0.1942495818
Itg.08.DTT446.S39,1.187537936,0.173213018,0.1258852497
Itg.26.FP542.S46,0.3902948696,-0.924476513,0.1517225095
Vil1.01B.DTT10,0.3299151592,0.06017984074,0.1198126308
Itg.26.DTT542.S38,0.3094990703,0.7717046851,0.3322684221
Itg.16.FP482.S85,-0.02870157646,-2.288042613,-0.1228598749
Vil1.010B.DTT118,0.528661197,0.9027958622,0.1218907555
Lyz2.05B.DTT258.S99,-0.2486461026,-0.7782950558,0.2538426786
Lyz2.08B.FP294.S92,-0.5553252146,-1.993501921,-0.3482061018
Itg.04.DTT422.S14,-0.5440079945,0.9964793057,0.2037958479
Lyz2.04B.FP246.S43,0.5797194694,0.92449724,0.05017007308
Lyz2.06B.FP270.S68,0.9293640198,-0.7376602792,-0.0731012586
Lyz2.07B.DTT282.S124,-1.458813115,0.1372177991,0.1242827281
Vil1.13B.FP151,1.470191183,1.07551021,-0.4765042384
Vil1.01B.FP10,-0.1086950098,-1.945949836,-0.1101644953
Itg.08.FP446.S47,1.378770162,-0.4612544933,0.1206224877
Lyz2.02B.DTT222.S62,0.4582789466,-0.1368687195,0.2122462225
Vil1.02B.DTT22,1.322900053,0.2366622841,0.08214715503
Itg.10.DTT458.S52,1.509633056,0.3512027771,0.2256038012
Itg.12.FP470.S72,1.311126736,-1.292097234,0.1249902373
Itg.10.FP458.S60,1.683155064,0.1438977028,0.1858973991
Vil1.08B.DTT94,0.7074783844,0.9508692068,-0.6562438493
Lyz2.05B.FP258.S55,-0.3107188118,-0.9633588942,-0.08924935313
Itg.20.DTT506.S1,-0.3930244267,1.240677379,0.2392942926
Lyz2.03B.DTT234.S74,-0.2020220826,0.7177839957,0.1872066094
Vil1.07B.DTT82,0.5466926175,0.9681712808,-0.6637677972
Vil1.08B.FP91,-2.396670698,0.4297596433,-0.1857531053
Vil1.013B.DTT154,1.168604343,1.612232162,-0.7387421552
Vil1.06B.FP70,-2.020670675,0.3354885195,-0.1974290206
Itg.18.DTT494.S89,-0.7654025554,1.097095996,0.1144534345
Itg.18.FP494.S97,0.4914022316,0.3875463048,0.2100150379
Lyz2.08B.DTT294.S136,-0.8174132227,0.2943836106,-0.03124702125
Vil1.09B.FP103,-0.6011104494,-0.3910676263,0.1588667977
LYZdtt342,-0.2663847077,1.156132488,0.2815160931
SLCFP070,0.2484458511,-1.033206574,-0.06319537874
SLCdtt022,-1.049636049,0.5561728949,0.1278005359
LYZdtt366,-0.3112061594,-0.4231361383,0.2535712066
SLCdtt070,0.3690731252,0.4993195001,-0.06530611225
LYZdtt354,1.017596007,1.339604581,-0.1368126722
SLCFP022,0.5943600841,-0.2890574549,-0.181646028
LYZdtt330,-0.3922088563,0.4210254483,0.2759892396
LYZFP354,0.3174076557,0.2301210558,0.2406101166
SLCFP112,-0.4751666732,-1.127250843,-0.2265724966
LYZFP306,-1.105539105,-1.773232337,-0.02432433325
LYZdtt306,0.349748831,0.8451178547,0.2194997762
SLCFP004,1.245684697,-0.1542768506,-0.4249031066
SLCdtt004,1.045677789,0.5673282953,-0.1857699413
SLCdtt112,0.8933734222,0.8710775115,-0.5031345793
SLCFP094,-0.4589008018,0.3305707289,-0.2334873886
SLCdtt076,-0.6749502936,1.449565475,0.1314944436
SLCFP052,0.09407660148,-1.092166817,-0.08764736181
SLCFP076,0.4534151473,0.155972735,-0.1147440024
LYZFP330,-0.05901176066,-1.276646649,0.08660900319
LYZdtt318,-1.206243094,0.9999327397,0.1879751552
SLCdtt052,0.2329517233,-0.4924124963,0.125225121
LYZFP342,0.3205216004,0.3485057625,-0.1007802326
SLCdtt130,0.4111759389,0.2313066173,-0.2364591712
LYZFP318,-2.105881087,0.6533457057,-0.08737817024
SLCFP148,-3.010298875,0.815607246,-0.2291540281
SLCFP166,0.5074917204,-2.067561591,-0.1494568856
SLCdtt148,-3.326359927,-0.3524573239,-0.3618087884
SLCdtt166,0.3921619247,-1.497138333,0.4032891784
