	Lyz2.04B.FP244.S41	Itg.10.DTT456.S50	Lyz2.03B.DTT232.S72	Itg.20.DTT504.S99	Vil1.01B.FP08	Vil1.14B.FP167	Itg.18.DTT492.S87	Vil1.014B.DTT164	Lyz2.01B.FP208.S56	Itg.22.DTT516.S11	Itg.24.FP528.S31	Vil1.08B.FP95	Vil1.03B.FP32	Itg.26.FP540.S44	Vil1.06B.FP68	Vil1.09B.DTT104	Vil1.03B.DTT32	Vil1.02B.DTT20	Lyz2.04B.DTT244.S85	Vil1.04B.DTT44	Itg.24.DTT528.S23	Itg.08.DTT444.S37	Lyz2.08B.FP292.S90	Vil1.10B.FP119	Vil1.04B.FP44	Itg.16.DTT480.S75	Itg.20.FP504.S7	Itg.12.DTT468.S62	Lyz2.07B.DTT280.S122	Vil1.09B.FP107	Lyz2.01B.DTT208.S48	Itg.02.DTT408.S100	Lyz2.05B.FP256.S53	Lyz2.02B.FP220.S68	Vil1.013B.DTT152	Vil1.01B.DTT08	Lyz2.05B.DTT256.S97	Itg.02.FP408.S8	Lyz2.08B.DTT292.S134	Itg.22.FP516.S19	Vil1.08B.DTT92	Itg.04.FP420.S20	Itg.10.FP456.S58	Itg.18.FP492.S95	Itg.12.FP468.S70	Lyz2.06B.FP268.S65	Vil1.13B.FP155	Itg.08.FP444.S45	Vil1.010B.DTT116	Lyz2.03B.FP232.S80	Itg.04.DTT420.S12	Lyz2.02B.DTT220.S60	Itg.06.FP432.S33	Vil1.07B.DTT80	Lyz2.07B.FP280.S78	Vil1.05B.DTT56	Itg.16.FP480.S83	Vil1.07B.FP80	Vil1.05B.FP56	Lyz2.06B.DTT268.S109	Vil1.06B.DTT68	Vil1.02B.FP20	Itg.06.DTT432.S25	Itg.26.DTT540.S36	LYZdtt364	SLCdtt050	SLCdtt110	LYZFP304	SLCdtt002	LYZFP328	LYZdtt328	SLCdtt074	LYZdtt304	SLCFP128	SLCFP092	SLCFP002	SLCdtt092	LYZFP316	SLCdtt020	SLCdtt128	SLCFP050	LYZFP352	LYZdtt340	LYZFP340	SLCFP074	SLCFP068	LYZdtt352	LYZdtt316	SLCFP110	SLCdtt068	SLCFP020	SLCdtt164	SLCFP164	SLCdtt146	SLCFP146
Lyz2.04B.FP244.S41	0.0	0.46798013190026083	0.3264275079217623	0.6021043344715473	0.5112390177111198	0.843717673271266	0.649531007490384	0.6427447171896453	0.5813999920137364	0.6170893768738351	0.44316004680407867	0.8302007500551511	0.5333766722551065	0.499424212781238	0.6390065884542849	0.8082246667152327	0.5965279445569013	0.5898226311296595	0.4084490785271825	0.5792077470965931	0.6089511276872734	0.5857902000630291	0.45545641243537993	0.7970278236791568	0.5682325536251577	0.5938937213831924	0.5274817115323105	0.5408767694357595	0.6505557693613746	0.831583637916492	0.7468636668905305	0.5073666508244068	0.6809501733006601	0.6266209071514702	0.9101635609081292	0.659828232116007	0.6257619849900444	0.5328304772498175	0.5402626039891751	0.5092905767007749	0.8643672250459823	0.49004577490372736	0.40995334759171015	0.7251818360526833	0.5465659573437917	0.5696240601503759	0.8099076721188546	0.5547259670838036	0.7112306232204998	0.5369678336999638	0.4117738791423002	0.5782279856454542	0.6051210369146706	0.9547678096061523	0.49874371859296485	0.9266758367721228	0.6990221875710619	0.7223713853655526	0.6386456866466662	0.6900698846091338	0.9500692414217572	0.4581276386624076	0.5118247665590365	0.5997999178233917	0.8724542164118633	0.6909247141251901	0.6208751534406817	0.6340131850020602	0.600436803494428	0.7783259789444426	0.7834707168777487	0.610156540820125	0.8279810486323329	0.4543064206011405	0.5399939313183552	0.5443232793408285	0.5169686466046951	0.723963039612907	0.7260886059941829	0.6434267821321983	0.6129676374185284	0.6337489373760272	0.7047727872022501	0.6550877254978179	0.44012611801042406	0.531350185555793	0.7884257727371268	0.7725944449234955	0.6992776458040433	0.6288776824502805	0.6925514581682836	0.6216814352057576	0.6326056724377703	0.6217023199167109	0.5128751497418609
Itg.10.DTT456.S50	0.46798013190026083	0.0	0.49346118060581	0.4874187635394101	0.5676622039134912	0.8054672014013737	0.5412768525885484	0.4541478000854336	0.600868906289467	0.5072560051487532	0.4611486927677802	0.8147043964402103	0.5887331760788123	0.540961765667027	0.6273474105467245	0.6966356984602782	0.5430232761791337	0.558901769371568	0.5103672344196121	0.485171579607562	0.47488543445053466	0.5293094336298776	0.4233364081972254	0.8101061647492568	0.5478843241779211	0.563004563004563	0.5420697436326027	0.36847890193555305	0.5574739389426657	0.8235243871188178	0.6900877779749635	0.44106598889906373	0.6276643990929706	0.6375113729094951	0.8848182822827833	0.6148467483307923	0.5635092755839172	0.5615626275713956	0.4537463029904699	0.5146751092365908	0.8566219665356724	0.39890446569492155	0.41160038600233634	0.7413992919398625	0.5097829691587752	0.47457078069322967	0.7875723401979774	0.5816547487158827	0.6170452896506134	0.6950069645344477	0.3398399297447259	0.540336892328281	0.6174909102609479	0.9478879169200543	0.534778628333236	0.9218796879687969	0.6996596547340797	0.7596342123901179	0.5953671024506636	0.5566660420180315	0.9484988679988188	0.5480489489115546	0.494203705578617	0.4557137641474991	0.8118468796590669	0.6352264872974932	0.5094743445451023	0.6900716327060832	0.49056684370149933	0.7556681032591045	0.7420225480644127	0.6020617534816871	0.8396117193186232	0.5124886847487176	0.5415940591405056	0.5250950424330862	0.49673213110015574	0.7516819500052836	0.5194706912581893	0.6224883566200932	0.6603519050280406	0.5829411130672224	0.6362893411386389	0.6700090180986991	0.5046828612200043	0.5784762283668192	0.7545278564412455	0.795460349122376	0.6249843972339416	0.5930957184487783	0.654348421661441	0.634881222815081	0.6666580290741364	0.48002414001207	0.5611390284757118
Lyz2.03B.DTT232.S72	0.3264275079217623	0.49346118060581	0.0	0.5773401025588693	0.4739756828780813	0.8778386397352504	0.5672969479196337	0.6344771093110039	0.37656251331384893	0.6199305795555289	0.5123528296720655	0.7718669870583909	0.4819010565663501	0.5191227819410695	0.6031969244777177	0.800624176433872	0.5995813515984155	0.6634714196667734	0.4797958623082595	0.6093490948792948	0.6189061043645058	0.47154054648011134	0.43234108400863297	0.7749637062883631	0.5305136982863339	0.5255357917570499	0.40897060627837273	0.49163332903170304	0.6627770534550196	0.7966513690105788	0.5664196776411274	0.5385642552126076	0.7318033416554638	0.3967055209325024	0.9284928327027719	0.7351929961365328	0.6294967081731877	0.610893275342924	0.6002802958015268	0.5106811915201375	0.8923690036900369	0.4499923863840862	0.4629812641548281	0.6571951067455425	0.4988026172082444	0.5708815244622714	0.8371482908275223	0.5290954445080559	0.6966433270735135	0.4853044945543795	0.5108268722531283	0.41074256857569147	0.49747807312244113	0.9598612973927836	0.5841544397114296	0.9334281570727354	0.6464484496041163	0.6915626420504214	0.5845911058956824	0.6652964117390191	0.9552754448604345	0.4403913006812155	0.37084188911704313	0.5449674703406047	0.7641869611253971	0.6176209412763985	0.6247055095545789	0.525601081653048	0.5661908254810134	0.6868287595135703	0.6883205994630536	0.5261970839027744	0.7404717989229527	0.43786360491042825	0.5254554449056847	0.5671103794737887	0.5054861946266288	0.6488061805194942	0.705815914470936	0.6241465403036788	0.5619654774949127	0.6085902456739594	0.5760745893690296	0.5756897093901718	0.42387619563710605	0.6250182072421127	0.6987941165773901	0.7257594065497294	0.735938810081963	0.626567609613614	0.6725257474490403	0.5730156564967641	0.6241968901073603	0.6533615296501895	0.5402632806054737
Itg.20.DTT504.S99	0.6021043344715473	0.4874187635394101	0.5773401025588693	0.0	0.6503748888041683	0.8882686655578592	0.555176706175245	0.5801125388426975	0.648587288093214	0.44831933627508797	0.5885749639100846	0.8199334190898401	0.6136877957345647	0.6077545549322345	0.6050864724871426	0.7729939145848943	0.4765862976921886	0.5800881267119209	0.4882903755188725	0.4891137903722608	0.4765157532433148	0.5767798418886251	0.537239995026378	0.8786527402886986	0.6129236231866435	0.6274674077404062	0.42858619691518834	0.4216414949612506	0.526849452098395	0.8827858667601236	0.6392281486069779	0.4700196261853666	0.7065395699401463	0.7157484924226234	0.9129245032571627	0.6467786541022227	0.5970692594811299	0.608481107565692	0.5258159282063665	0.5352044701365279	0.8623153882801334	0.5929645493484006	0.624777474111777	0.7635997102088387	0.571718005022626	0.5218141896988083	0.8766806401991522	0.6669401556400885	0.6380943315406216	0.7784011468417606	0.549429694989533	0.513819599747692	0.72514775006101	0.9503244675989397	0.5844428737893752	0.9288895432294159	0.7526373581682866	0.779616994083816	0.6289305088490145	0.5871280869547485	0.9475726281246983	0.6323771363336206	0.5136580611301327	0.47495967019179064	0.8180945362100324	0.4861509390177195	0.6338278179282364	0.7076883403941794	0.4484355918642355	0.7644100681242768	0.7710652784544411	0.6122675303007998	0.8506268338223526	0.5333641039166557	0.6601597630005819	0.5311534694492579	0.5864924229255882	0.757277587132619	0.6795954209780147	0.45130050711598235	0.6367039074462655	0.6108106828858465	0.6650555100675277	0.7297866503844894	0.5515110444197041	0.6160296411856474	0.7860067733110983	0.7960577102882158	0.685343463121241	0.5592722490135905	0.7432246072670584	0.7277630384695943	0.7288469408635154	0.48907728706624604	0.5592615410762465
Vil1.01B.FP08	0.5112390177111198	0.5676622039134912	0.4739756828780813	0.6503748888041683	0.0	0.8700072070705155	0.6026556596562493	0.5930833495239946	0.43861289362968	0.7272278486693494	0.47872005375102356	0.7508790108801175	0.3094404929443536	0.45959976384845586	0.41144430659363934	0.7347736597090798	0.5708196418438313	0.6854915765652502	0.6963362844597999	0.46644290796804727	0.7117255297679111	0.4244959088252484	0.4802006300106804	0.7786899003616278	0.26587726585724725	0.46566735326190434	0.3843114630863097	0.47322155996741133	0.6985857013104969	0.7509612023767913	0.8044445411332166	0.6403330147252352	0.6411277476903472	0.42778926196994244	0.9042602680112246	0.7073798526145059	0.612796443284646	0.6616147478705963	0.6407196294976844	0.4640747987124812	0.9017429386003586	0.5369959329978631	0.41875692762428673	0.5706977837381964	0.4430002897189726	0.6274294285751232	0.8224854372708619	0.38115622961513373	0.606408683692056	0.5446753803299764	0.5674221828067982	0.653192414155972	0.3280556126415111	0.9640915453983137	0.4408946143189706	0.9388123541828686	0.44906304448316325	0.4379555679559167	0.5013515149070077	0.762393751780173	0.9595250089960418	0.2622293654279227	0.43193170651817886	0.6943370541791452	0.8532230885843536	0.6992269131655534	0.7796347370298714	0.590651585775286	0.6622915049881342	0.5372340826653194	0.6251012630010819	0.6468866307029649	0.8289794926175537	0.38052442106875684	0.6027315023262795	0.6507730137644498	0.6467827010734624	0.572358188109069	0.7131944123581142	0.6963959390862944	0.5479601524748827	0.4594779749263547	0.6420043732333737	0.4712458963704401	0.4099966100418095	0.6158665699782451	0.6658902624384626	0.7182235699225121	0.789127807004103	0.7001422025596461	0.5396411556967126	0.6329638423034464	0.5108176336817508	0.6872349758736658	0.4976567810252925
Vil1.14B.FP167	0.843717673271266	0.8054672014013737	0.8778386397352504	0.8882686655578592	0.8700072070705155	0.0	0.8319856958378862	0.7620311250680788	0.8970705421035606	0.8797982591290378	0.7342495160331972	0.9102720123139084	0.8127888250945245	0.743194141651294	0.8819768462483716	0.8109053422186223	0.8097774216734025	0.8286761604142726	0.8604070929388852	0.8086076312861193	0.8170157162209142	0.8161995345542852	0.8899336616140334	0.6946665824027846	0.7912090936614098	0.8561112983199345	0.8221614005538731	0.7914550285223099	0.8505964832928139	0.832865299138941	0.9392823558525117	0.7760608260233018	0.8099677203918076	0.8891394128809019	0.9058509725211604	0.8734007961831829	0.8258531540847983	0.7258687717713076	0.8695527072979335	0.684491221052807	0.9564935570017371	0.835005574136009	0.6656278161610093	0.7347252032520325	0.7409079669197447	0.8066068845820075	0.3566648499414776	0.7680123875974777	0.7937524361044601	0.8686394596760346	0.8668892455858748	0.9114154872666238	0.8666380186597691	0.9686923971301364	0.8387582005030906	0.966288532675709	0.8646289084678739	0.883765268532282	0.8396156688839616	0.9085212205965778	0.9718456858477478	0.7704226201241936	0.8715773307862307	0.8368301191975966	0.9554685308279373	0.9311065437301214	0.8711739517634285	0.8917574944457095	0.8588002408089548	0.8746497858135908	0.9054082758692149	0.9158848721795161	0.9472863136262933	0.8664241758744539	0.5809287514407955	0.7960027049365092	0.8616025320672996	0.7941749533087679	0.8675781197227814	0.9107541073135211	0.8693212487917551	0.8826648452876311	0.9049485197192633	0.9056586224413139	0.8904427591025367	0.7961097870377489	0.9278018042118091	0.827801173715903	0.9104807678131772	0.8957199303694289	0.8348631705073069	0.8732047599507591	0.7297863826057129	0.8249657985080405	0.7154271157281811
Itg.18.DTT492.S87	0.649531007490384	0.5412768525885484	0.5672969479196337	0.555176706175245	0.6026556596562493	0.8319856958378862	0.0	0.5234939176780857	0.5902297272155431	0.5626842826069444	0.5486338314616677	0.8032171775220208	0.5581080273355781	0.5188957842927455	0.45980775548702296	0.7006315727196083	0.5856046200436651	0.6634410365753649	0.5958752686177202	0.5119004920878585	0.4578893634154408	0.4107064418173832	0.6630194406301944	0.805357896876906	0.5008462549277267	0.4383193095229497	0.6312534209085934	0.40432984565320557	0.6596687414284207	0.8247105014661299	0.6014044589276084	0.5527764178794488	0.6753336321942136	0.6558820356647941	0.8846694796061885	0.7205621871390065	0.5230475311253863	0.599652614644286	0.6569520340012144	0.5450630836058005	0.8703528072837633	0.682080498280519	0.546117814665314	0.553590322857388	0.43557677175680637	0.5771801904866921	0.9076788136543973	0.5087110253937641	0.5740835868863687	0.7877897278663002	0.6722863705254606	0.5854024490586128	0.6216362533252439	0.9580244298524324	0.5478332847923725	0.9370481658881981	0.6085634565974395	0.6689837139477754	0.5244049763686074	0.6047799757771498	0.9521741146646469	0.5913532547561989	0.5556105646081323	0.4514691749905355	0.7213242199404188	0.6387177841211741	0.5982789256501755	0.6679698276732183	0.5260611679682392	0.6195266966555838	0.686042032990036	0.6451565127240096	0.8208028896286554	0.6651348705677615	0.6566327683615819	0.5635647165807821	0.6478712370849798	0.7612193056731583	0.6079937486491429	0.5741306168769759	0.6599328134737866	0.5468854276825775	0.5561353986289347	0.6222089836768736	0.6831630267815401	0.6550617130033661	0.7227999808497396	0.794415819586628	0.7088314336020758	0.6160183222807137	0.5555276381909547	0.6965137441948036	0.6988142292490118	0.5652119230285498	0.6608053816686911
Vil1.014B.DTT164	0.6427447171896453	0.4541478000854336	0.6344771093110039	0.5801125388426975	0.5930833495239946	0.7620311250680788	0.5234939176780857	0.0	0.6621522842639594	0.5437809276188879	0.5027004297034127	0.8399982187388672	0.5499773279540513	0.5123598062892764	0.573875428199935	0.45698399579232096	0.4344247818868991	0.5644938271604938	0.5961041542436891	0.4176034700885595	0.4712706180895414	0.5761989618036725	0.5743997664744946	0.8361171219908033	0.5612987913612046	0.5860194416491166	0.6807878463363676	0.46164119305534945	0.5592103715206701	0.8268437193917693	0.7156008683942949	0.4352679413206622	0.4535243553008596	0.6924381465639073	0.7361637604245641	0.6205180078260175	0.4549655757804395	0.49998210002505994	0.5815236554456267	0.5542743798770653	0.7559469022928555	0.5426002248032971	0.5413446430168241	0.733743416492036	0.5150848755899285	0.4254185430918904	0.8732013958602227	0.600998011575921	0.40589458633911746	0.7837896001649913	0.5466269041670025	0.6572776142139415	0.6710937668441819	0.8156531611438302	0.5122680088078012	0.8171910771384784	0.6940556561831055	0.6955525084522227	0.49840611053467176	0.5851278600269179	0.8362480127186009	0.5655459698163028	0.5714340280872411	0.48962342325752695	0.8162632499180418	0.682074638025967	0.540763904400268	0.7362187127532777	0.5740008027983255	0.6932094630328245	0.7704342970893113	0.7190319689273976	0.8470838024284646	0.5970192128964666	0.6654660245254765	0.5366520045730231	0.651703938638791	0.784520466493586	0.5039979027395465	0.6309497862352251	0.6372194343953009	0.6152919637695125	0.6912522970971828	0.7183156686573053	0.6588309197910468	0.5791946982628778	0.7879664082389669	0.8205858775123869	0.626951644686979	0.5747592613571995	0.5928986462661168	0.6771677910503188	0.6073370096601354	0.505311262313395	0.6357749549413428
Lyz2.01B.FP208.S56	0.5813999920137364	0.600868906289467	0.37656251331384893	0.648587288093214	0.43861289362968	0.8970705421035606	0.5902297272155431	0.6621522842639594	0.0	0.716071793242722	0.5473148632763902	0.7773173768048778	0.48163436370681406	0.5111304449668304	0.5082699525058952	0.810281151933053	0.6325201911982858	0.7661025324274243	0.670758043190833	0.6138859887241596	0.692888517046643	0.5131002530600387	0.5569062165396486	0.8136719502904922	0.49542086764244814	0.5514794542571305	0.466089891449332	0.541626301503766	0.7283215392219503	0.8063065639477841	0.4069664747235666	0.6831971246416499	0.7482247992863514	0.33709444156411167	0.9329497122842132	0.8004024763833524	0.6610869815889611	0.7144399684372275	0.7054013511836955	0.49374461068332753	0.9176190103088168	0.5986358307577534	0.5384861577852457	0.6281718317836978	0.5263444049031237	0.6509510483838261	0.8598359731240836	0.5735425896304237	0.7108374674013216	0.5958044626935403	0.6506139123870424	0.37237516211219546	0.5228507942227427	0.9736247265166991	0.615130210044462	0.9513627643269778	0.5857698721511951	0.6103451065175348	0.500344561327765	0.7614599668189359	0.9692850060592707	0.4829634017083359	0.45432847862443376	0.630795208696111	0.6277974591418449	0.6690233045299817	0.7880519039225264	0.5171904516572213	0.6233780374934215	0.5367831477173786	0.4882907290641354	0.593809456197643	0.7511142280365991	0.4935008882955766	0.625579304747026	0.6838480506642624	0.6758469603317424	0.6041804358266013	0.7489330116904807	0.6736300514511214	0.6278193851780893	0.5428997197790628	0.5014552796496841	0.5163187955676045	0.5212101999167839	0.7093911020001108	0.673527543164661	0.7139994505583297	0.8139244302279088	0.7248211857894425	0.6779999432232179	0.6417300014978932	0.6299495548708144	0.7020014495177566	0.5623821436889119
Itg.22.DTT516.S11	0.6170893768738351	0.5072560051487532	0.6199305795555289	0.44831933627508797	0.7272278486693494	0.8797982591290378	0.5626842826069444	0.5437809276188879	0.716071793242722	0.0	0.6205107923518048	0.8866914761651604	0.6770697016562901	0.6266204949875598	0.7170391221922215	0.6845002098978498	0.4562943109112917	0.47116979629752503	0.38981778133760514	0.5643066797118207	0.3874408640542712	0.6492605418109537	0.6232510010347775	0.9079941112401106	0.6918487371082763	0.6926295723733916	0.6720423140807408	0.5076759028398489	0.4081448526895436	0.9166019753058438	0.6144825376481897	0.431436873183991	0.5974990230558812	0.7804134474838171	0.8813230620050638	0.5662464625675327	0.5523845287269996	0.5544959128065395	0.5378153480385682	0.5691540332686307	0.8092544053149249	0.6116870438380364	0.6935058816601152	0.8115072300143298	0.609429899127281	0.4966122961104141	0.9291851932676832	0.6991792883278182	0.6039460832193788	0.8155847493648863	0.5312452253628724	0.6102084160723844	0.7721955244891024	0.9312678174242661	0.6320051350417222	0.907847982115543	0.7884826555777574	0.8419798307094472	0.6876857901917139	0.4397483465075012	0.9294830088584155	0.6820035094962841	0.5994602760218822	0.35467722483901065	0.8316012288876803	0.5619354040341542	0.49762486740764655	0.7729290776706866	0.5402202094346611	0.8000853589927639	0.8298340824018547	0.7242704215342247	0.8865595118268746	0.6013600704614818	0.6948987752669793	0.49293316201604886	0.6157853810264385	0.8415974420864549	0.5198780212333408	0.4631444397102684	0.5816445830085737	0.6927311259736327	0.7325339099665815	0.7863666917085129	0.6557625563489847	0.6223343560615665	0.8463762434458764	0.8617906016795787	0.5076649329318369	0.4043283891405394	0.7197324536623594	0.7541585151010795	0.7580671901611177	0.37808987318980375	0.668695852926524
Itg.24.FP528.S31	0.44316004680407867	0.4611486927677802	0.5123528296720655	0.5885749639100846	0.47872005375102356	0.7342495160331972	0.5486338314616677	0.5027004297034127	0.5473148632763902	0.6205107923518048	0.0	0.8006545369934799	0.38028791635434084	0.2268571899192884	0.5002805120620186	0.6603493020972154	0.5605255052162151	0.6711472441886284	0.6113459822408168	0.45992722713582906	0.4688810281484314	0.41360541707411574	0.5000892109633411	0.6964885808547095	0.4223540247568344	0.5165851101013632	0.46296427058325096	0.407233830198095	0.6880264244426094	0.6950889763087766	0.7650478381978927	0.4657794409352447	0.5668190809741545	0.5749957725043684	0.8908336258068454	0.7386363636363636	0.5218386863727087	0.35920990326726643	0.5869427424466511	0.2795227904011657	0.8908276068120705	0.5116829299024206	0.3212498702377245	0.5876058849754793	0.34806194502530535	0.41802773295551443	0.7997542393708528	0.3806774838669773	0.5678731610487833	0.6106351778961179	0.5458427530771163	0.6405699721964783	0.5331149434622916	0.9631348627502984	0.4941738133588728	0.9440636371329441	0.5607308489058054	0.6213089641329037	0.5038656902143979	0.6973521745095349	0.9588117421638462	0.3417303207409995	0.49764986023397867	0.5212704204328718	0.8438330343842155	0.7442680087914375	0.6340685215888984	0.6110552961802888	0.5749217014976368	0.5995011444779887	0.6717444932474934	0.6261153648097654	0.826584566196157	0.4887346558243124	0.5398368338830064	0.5013494889169634	0.6133855999599234	0.6698028864574908	0.6458016702442693	0.6741318505933535	0.6452787815095806	0.487162743759461	0.6600152135661982	0.5693172083259371	0.47337059624909283	0.6024703732091268	0.7052430568236958	0.7396090137391559	0.6982526765109056	0.6905956516145633	0.5768528747778472	0.6278250526123158	0.4149605302038921	0.5752630640271089	0.4474554224703268
