metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Type,48082d1ff66a9207ede6bf05e9846d6e,Mucosal,-1.070856229,0.08950307351,95,93,2.21E-15,7.58E-13
Type,b92f84c206887ecd667f142dd3606ac3,Mucosal,-1.070522994,0.1275586171,95,68,7.86E-13,1.35E-10
Type,2e11ee45d4ccab0775222da825d3bd42,Mucosal,0.7842862794,0.09895451511,95,91,3.58E-10,4.10E-08
Type,bbf6f74f140636ff3f33ef2bc3d892a3,Mucosal,-0.8208017965,0.1078241456,95,62,1.10E-09,9.43E-08
Type,292a57429f3bed0adc53c07dc4c62c9f,Mucosal,0.9792899361,0.1335256555,95,79,2.73E-09,1.87E-07
Line,4c8288bfbd76958c0c094d87b97650f8,Vil1Cre,4.181188692,0.650636565,95,41,6.74E-09,3.76E-07
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,4.730708755,0.6544126683,95,36,7.68E-09,3.76E-07
Type,235c319ab46f87d377a28a34ba10bfa1,Mucosal,-0.6218319432,0.09312967682,95,94,3.00E-08,1.29E-06
Type,c42634f8d1aad4956aa9638465e86565,Mucosal,-1.0628771,0.1608463053,95,94,3.59E-08,1.37E-06
Type,dcd0c235615b718f89bb8cc76b5a627f,Mucosal,-0.8480506383,0.1399024445,95,93,2.44E-07,8.38E-06
Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-0.7600428204,0.1301494366,95,39,5.03E-07,1.57E-05
Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,2.321499427,0.444130757,95,41,1.17E-06,3.34E-05
Line,ad4e760fa406db6470c29766422a47d2,JJWT,-2.770838811,0.5074424988,95,76,2.39E-06,6.30E-05
Type,9558d82710beac18e454f983c9db7cca,Mucosal,0.4392603534,0.08435629919,95,93,4.25E-06,0.0001040728569
Type,cb48af0355580e3a4cfe6d22f05b6b14,Mucosal,0.5840833645,0.1131111766,95,95,4.89E-06,0.0001117853472
Line,ad4e760fa406db6470c29766422a47d2,Vil1Cre,-1.508447242,0.299257124,95,76,9.90E-06,0.0002122028383
Type,37e0f2e7c7ab2a2f738b92a61085aec0,Mucosal,0.4106717246,0.08317576347,95,78,1.06E-05,0.0002136671007
Type,2f65298490e0fe48b880145471ec54eb,Mucosal,-0.904538289,0.1848108082,95,95,1.39E-05,0.0002642741631
Type,e8ed0e081283c5963ce9860944f651c6,Mucosal,0.5359341632,0.1205568812,95,89,5.52E-05,0.0009959436852
Type,7186c67c129c329bce7d6c988267b231,Mucosal,0.4674588742,0.1115687892,95,44,6.67E-05,0.001144750113
Type,5167710b7280856d9e512a4f58068687,Mucosal,0.8889749571,0.2051828201,95,30,7.92E-05,0.00129319219
Type,89c209abd89a5232343a4c87c93cb4ea,Mucosal,-1.046836237,0.2471385985,95,13,0.0001050494182,0.001566606541
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Jan_Twenty,2.729189785,0.6373295272,95,13,0.0001021712011,0.001566606541
Type,ad4e760fa406db6470c29766422a47d2,Mucosal,-0.6669130998,0.1647341843,95,76,0.000192162626,0.002746324196
Line,89c209abd89a5232343a4c87c93cb4ea,JJWT,-2.965322297,0.7527836445,95,13,0.0003021017897,0.003985419764
Type,46864a6aa122ecb439eb59a3c0542ee6,Mucosal,0.5477742493,0.1400364674,95,86,0.0002944069715,0.003985419764
