#OTU ID,Vil1.03B.DTT33,Itg.18.DTT496.S91,Vil1.05B.DTT57,Lyz2.07B.DTT281.S123,Vil1.010B.DTT117,Itg.10.DTT455.S49,Lyz2.05B.DTT260.S101,Lyz2.02B.DTT221.S61,Vil1.06B.DTT70,Vil1.03B.DTT35,Itg.10.DTT456.S50,Vil1.01B.DTT11,Lyz2.06B.DTT269.S111,Lyz2.03B.DTT232.S72,Vil1.09B.DTT105,Itg.20.DTT504.S99,Itg.20.DTT505.S100,Itg.24.DTT530.S25,Vil1.06B.DTT72,Itg.24.DTT531.S26,Vil1.04B.DTT43,Itg.24.DTT529.S24,Itg.04.DTT423.S15,Vil1.07B.DTT79,Lyz2.06B.DTT272.S114,Itg.18.DTT492.S87,Vil1.014B.DTT164,Lyz2.04B.DTT246.S87,Lyz2.01B.DTT207.S47,Itg.26.DTT541.S37,Itg.02.DTT409.S1,Itg.22.DTT516.S11,Itg.20.DTT508.S3,Lyz2.06B.DTT270.S112,Itg.16.DTT482.S77,Lyz2.04B.DTT243.S84,Itg.06.DTT433.S26,Lyz2.03B.DTT236.S76,Vil1.04B.DTT46,Lyz2.02B.DTT224.S64,Itg.02.DTT407.S99,Lyz2.08B.DTT291.S133,Itg.24.DTT527.S22,Itg.26.DTT539.S35,Vil1.09B.DTT104,Vil1.02B.DTT24,Vil1.02B.DTT21,Vil1.02B.DTT23,Vil1.03B.DTT32,Lyz2.06B.DTT271.S113,Itg.22.DTT517.S12,Lyz2.07B.DTT284.S126,Vil1.09B.DTT106,Vil1.02B.DTT20,Lyz2.04B.DTT244.S85,Vil1.06B.DTT67,Lyz2.02B.DTT223.S63,Vil1.04B.DTT44,Itg.22.DTT519.S14,Lyz2.04B.DTT247.S88,Itg.06.DTT434.S27,Itg.24.DTT528.S23,Itg.22.DTT518.S13,Itg.02.DTT412.S4,Itg.08.DTT444.S37,Vil1.03B.DTT34,Itg.12.DTT467.S61,Itg.16.DTT480.S75,Itg.26.DTT543.S39,Lyz2.02B.DTT219.S59,Itg.04.DTT424.S16,Itg.12.DTT468.S62,Lyz2.01B.DTT210.S50,Vil1.08B.DTT96,Vil1.010B.DTT119,Vil1.04B.DTT45,Lyz2.03B.DTT233.S73,Itg.18.DTT491.S86,Vil1.05B.DTT58,Lyz2.07B.DTT280.S122,Itg.06.DTT431.S24,Vil1.05B.DTT59,Vil1.07B.DTT81,Lyz2.05B.DTT255.S96,Vil1.010B.DTT120,Itg.12.DTT470.S64,Lyz2.01B.DTT208.S48,Itg.02.DTT408.S100,Itg.02.DTT410.S2,Lyz2.07B.DTT279.S121,Vil1.05B.DTT60,Itg.08.DTT446.S39,Vil1.013B.DTT152,Vil1.08B.DTT95,Vil1.01B.DTT10,Itg.26.DTT542.S38,Vil1.05B.DTT55,Itg.18.DTT493.S88,Vil1.013B.DTT153,Vil1.01B.DTT08,Lyz2.05B.DTT256.S97,Itg.04.DTT421.S13,Itg.18.DTT495.S90,Lyz2.04B.DTT248.S89,Vil1.014B.DTT165,Vil1.010B.DTT118,Lyz2.08B.DTT292.S134,Itg.20.DTT507.S2,Itg.12.DTT471.S65,Lyz2.03B.DTT235.S75,Vil1.06B.DTT69,Vil1.08B.DTT92,Lyz2.05B.DTT258.S99,Itg.10.DTT459.S53,Itg.08.DTT447.S40,Vil1.09B.DTT107,Itg.10.DTT457.S51,Lyz2.06B.DTT267.S108,Vil1.01B.DTT12,Vil1.013B.DTT156,Vil1.07B.DTT84,Itg.16.DTT479.S73,Lyz2.05B.DTT257.S98,Vil1.014B.DTT167,Itg.26.DTT544.S40,Itg.04.DTT422.S14,Vil1.08B.DTT93,Lyz2.08B.DTT295.S137,Itg.06.DTT435.S28,Vil1.06B.DTT71,Itg.16.DTT484.S79,Itg.20.DTT503.S98,Itg.22.DTT515.S10,Vil1.013B.DTT151,Itg.16.DTT481.S76,Vil1.04B.DTT48,Lyz2.07B.DTT282.S124,Itg.06.DTT436.S29,Vil1.02B.DTT19,Lyz2.08B.DTT296.S139,Itg.12.DTT469.S63,Itg.22.DTT520.S15,Vil1.07B.DTT83,Itg.08.DTT443.S36,Lyz2.02B.DTT222.S62,Lyz2.01B.DTT211.S51,Lyz2.04B.DTT245.S86,Vil1.010B.DTT116,Lyz2.01B.DTT212.S52,Itg.04.DTT420.S12,Lyz2.02B.DTT220.S60,Lyz2.08B.DTT293.S135,Vil1.02B.DTT22,Lyz2.07B.DTT283.S125,Itg.10.DTT458.S52,Vil1.07B.DTT80,Vil1.010B.DTT115,Vil1.08B.DTT91,Vil1.014B.DTT163,Vil1.08B.DTT94,Itg.02.DTT411.S3,Vil1.05B.DTT56,Vil1.014B.DTT168,Lyz2.01B.DTT209.S49,Vil1.09B.DTT103,Vil1.09B.DTT108,Vil1.01B.DTT09,Lyz2.05B.DTT259.S100,Itg.20.DTT506.S1,Lyz2.06B.DTT268.S109,Lyz2.03B.DTT234.S74,Vil1.07B.DTT82,Vil1.06B.DTT68,Vil1.013B.DTT154,Vil1.04B.DTT47,Lyz2.03B.DTT231.S71,Itg.18.DTT494.S89,Itg.06.DTT432.S25,Itg.08.DTT445.S38,Lyz2.08B.DTT294.S136,Itg.26.DTT540.S36,Itg.04.DTT419.S11,Vil1.013B.DTT155,LYZdtt342,LYZdtt351,LYZdtt364,SLCdtt050,LYZdtt308,SLCdtt110,SLCdtt075,SLCdtt022,LYZdtt366,SLCdtt019,SLCdtt070,SLCdtt005,SLCdtt002,LYZdtt354,LYZdtt328,LYZdtt330,SLCdtt021,SLCdtt114,SLCdtt111,LYZdtt356,LYZdtt368,SLCdtt095,SLCdtt074,LYZdtt367,LYZdtt304,SLCdtt024,LYZdtt317,LYZdtt305,LYZdtt319,LYZdtt329,LYZdtt306,SLCdtt113,SLCdtt004,SLCdtt092,SLCdtt112,SLCdtt020,LYZdtt355,LYZdtt343,SLCdtt128,SLCdtt076,LYZdtt341,LYZdtt344,SLCdtt051,LYZdtt340,SLCdtt096,LYZdtt318,LYZdtt332,LYZdtt363,LYZdtt365,LYZdtt320,LYZdtt315,SLCdtt078,SLCdtt052,SLCdtt069,SLCdtt129,SLCdtt109,LYZdtt352,SLCdtt054,LYZdtt353,LYZdtt316,SLCdtt006,SLCdtt093,SLCdtt077,SLCdtt132,SLCdtt001,LYZdtt303,SLCdtt130,SLCdtt068,LYZdtt307,LYZdtt331,LYZdtt339,SLCdtt003,SLCdtt053,LYZdtt327,SLCdtt067,SLCdtt163,SLCdtt164,SLCdtt145,SLCdtt150,SLCdtt167,SLCdtt149,SLCdtt146,SLCdtt148,SLCdtt168,SLCdtt165,SLCdtt166,SLCdtt147,taxonomy
2f65298490e0fe48b880145471ec54eb,4193,5209,189,1837,1367,15129,2752,4092,155,3335,7250,21386,2826,11623,1328,3928,7633,4781,209,3450,2525,3820,67694,119,1486,1719,2331,4786,4680,2666,7696,1160,14350,11640,2347,22197,39434,33087,3456,20157,3265,13081,2869,2339,1191,2818,4647,6631,2313,5848,2225,8719,3199,1911,2590,0,36303,3250,9472,18285,36038,2085,3728,33027,3672,3722,10040,6347,3000,7171,27902,3897,25257,217,4603,2726,4254,5867,1355,2186,36770,567,422,1449,1863,14475,1330,3541,14999,3225,194,3094,1138,764,11874,8025,193,2349,1453,2163,1313,40090,4617,10296,3961,3760,5195,9789,5477,35994,753,632,3104,17041,8749,2993,7863,2401,19944,4808,218,10633,3385,2129,4917,62526,906,5711,48582,126,15319,22784,12107,1869,7172,2013,16019,5894,3544,47736,3982,6623,343,3710,84697,20627,2191,1734,45690,7107,6033,10737,3112,1791,17333,260,786,1038,4178,217,13104,521,4208,2915,1079,1772,5645,2033,7020,1033,29591,131,448,5033,2177,17433,2655,16222,3258,2625,1361,5583,6626,28274,114301,453,695,34049,661,5954,7933,7037,5346,4016,3074,4689,17631,7224,1786,587,2131,955,92164,12690,16784,12248,12837,19154,2644,62588,67085,15915,7144,12085,2441,4467,8047,217,398,43143,11226,1233,47800,32331,41183,481,7539,18334,108375,13950,2059,1307,2726,10335,32235,13067,1224,10727,8060,84396,1838,50728,98891,7173,5706,41496,9985,1546,9140,2241,877,63933,3611,5000,7492,7844,25581,11729,30669,6946,36173,36699,97917,83301,1324,3818,67819,14242,234982,11108,
c42634f8d1aad4956aa9638465e86565,2093,10653,40,2198,5186,7233,7531,340,4,1030,1549,490,526,272,3169,108,147,832,8,365,3319,1107,2953,10,372,7492,2950,248,790,1389,94,343,281,1802,6242,1072,6028,167,9367,1162,696,1479,1202,2405,3577,918,1392,2173,2074,1456,720,12232,1489,607,199,7,973,3918,230,508,8804,480,499,48,10990,1929,12829,12743,1201,928,1372,5791,947,10,651,3228,38,25166,8,1159,6668,3,280,3358,276,25964,149,67,99,3878,7,5160,6,20,834,1492,22,25438,6,610,3769,2871,8853,434,6503,926,426,135,1537,84,316,68,16042,1674,12621,867,1794,490,1344,140,24,12125,5319,1336,3016,1528,238,195,4567,6,14297,2076,3100,196,14267,2183,6131,780,812,964,5272,550,27,1966,2092,513,18,4566,887,774,341,678,2072,727,2489,157,968,59,3646,8,54,69,4083,241,3164,731,1485,14208,370,144,190,53,56,24,2916,1100,9394,3656,6521,456,812,4065,20,8210,22137,1092,287,696,295,143,13088,8149,3693,550,781,768,2161,10200,10061,3707,464,236,13306,8411,787,404,4064,841,9476,1759,743,657,18793,977,251,536,334,81,2641,7298,11697,542,525,30667,17337,237,5445,570,2022,8346,4743,4047,2193,1254,442,709,740,222,3346,11269,285,8042,2033,1456,541,390,757,297,6431,103,173,822,17754,1691,1309,689,24870,653,6385,1066,17279,9149,10465,16296,1001,17051,10137,8294,1590,8716,
5ae5ad642b9c2cc68c4fc59e4902ff63,1179,279,1,3625,1354,1275,280,827,0,216,235,488,369,1880,64,5408,5280,211,0,8,630,228,404,0,110,951,24,719,1691,631,830,2629,6109,174,28,1778,758,572,324,1206,700,889,4305,651,234,738,2991,1932,2935,356,2617,2864,34,1262,2099,0,163,815,208,1993,869,387,1186,1010,226,1343,1257,296,162,3318,177,2748,418,1,13,909,696,926,0,2609,348,0,1,130,1,182,1759,1547,568,823,0,16,0,2,817,192,0,341,1,429,586,534,377,956,23,154,426,2736,141,606,0,103,330,12,112,7,58,1152,205,6,0,270,548,7,179,342,133,95,1118,0,89,3608,826,4,119,690,6049,147,119,508,1226,1816,0,118,121,23,449,1445,140,213,3811,576,483,471,10,0,2,2,125,1,163,3,291,1598,5,2,720,114,1136,588,1046,1,0,1,95,644,544,3184,92,347,1305,594,0,271,18,1165,4860,972,26,5,881,209,150,375,313,5810,14,3379,187,86,21,26,8,896,17,0,994,1550,74,530,348,130,2930,90,10,171,1529,3,200,43,57,7059,48,615,377,2385,1926,72,253,299,827,939,166,123,33,997,4744,1575,184,0,354,0,914,457,2619,13,7540,169,2480,1900,1840,2184,199,333,2152,772,383,995,3543,266,4812,1678,520,5207,1560,6786,799,0,287,6264,
f5fb42e8863737981eb6e04a3de22e29,265,804,11,239,534,817,431,223,0,69,489,228,318,427,200,871,629,367,0,118,271,501,656,0,198,1605,692,171,303,547,637,312,1834,411,1429,537,355,113,701,300,588,826,550,208,216,211,349,406,718,797,474,2059,112,127,307,0,137,525,365,321,984,442,464,535,721,568,853,1854,610,685,258,1286,239,15,112,951,346,947,0,267,182,0,51,347,20,771,378,354,1998,221,0,362,0,23,287,987,0,1814,12,271,1374,613,1253,212,444,220,258,512,288,127,94,125,2092,163,920,74,249,547,293,82,13,672,892,181,975,460,167,157,617,0,1280,469,243,42,878,218,703,165,129,655,816,530,17,167,165,309,107,517,165,163,388,381,281,74,204,27,12,0,360,0,428,91,654,404,23,28,447,1530,392,304,404,0,58,11,193,379,1363,753,487,208,636,475,16,604,672,2096,171,1158,219,250,2633,2242,60,141,112,307,64,4868,1483,582,413,660,171,1146,29,483,2642,2792,257,2090,406,294,4088,296,207,100,188,60,553,215,416,403,436,957,595,287,1993,18,418,531,2225,4013,557,217,169,554,3437,113,338,535,299,376,2019,176,3525,76,861,30,2184,162,286,732,2545,464,124,1643,492,100,812,874,916,5207,516,7505,163,444,3970,385,1507,297,
d013db1a71d477496cb864ee431c3420,977,557,0,443,757,1228,1112,408,0,168,425,1726,220,611,257,931,1499,345,0,146,805,843,1246,0,331,315,624,269,815,1112,1496,329,6789,845,1205,1192,1969,409,1604,884,565,1401,765,1237,228,620,620,1414,846,822,913,1141,323,465,219,0,1831,1579,1063,333,2905,389,939,3158,2329,539,2064,1586,1626,799,610,1129,942,0,116,719,254,1165,0,303,1906,0,70,1699,13,2338,149,612,5258,761,0,1291,8,11,755,1453,0,1068,0,430,1100,1698,638,416,609,235,444,1311,720,547,62,40,3934,714,1611,163,356,459,1076,71,11,1824,1267,144,2611,959,78,609,1568,0,3199,5954,3614,37,1225,1159,2532,311,667,5558,829,1429,0,440,2295,730,175,679,950,349,223,676,1275,232,1027,45,168,27,348,8,1145,21,522,294,308,95,1304,2193,903,178,458,16,0,0,672,424,684,1134,1001,365,488,787,0,1211,2667,388,136,1901,142,385,1467,11059,157,70,122,232,94,4425,4308,219,712,63,2442,17256,0,1089,13944,1009,294,1994,1957,318,14436,448,440,45,1,55,224,4164,689,269,1258,2471,2088,220,467,24,1341,1826,5528,3103,2579,1057,812,710,353,534,372,2484,425,528,2911,202,66,603,1589,153,14066,197,229,1750,10581,228,322,1134,10432,219,735,447,429,7291,1020,7485,1136,6534,1601,1781,2317,5624,
ccdb1dad68d457d1df2d11af1ea8ca5f,24,0,9,0,0,109,212,112,0,5,162,225,26,152,0,0,0,15,0,0,27,0,25,0,1,0,818,26,84,5,0,0,0,60,0,0,0,0,0,251,0,143,0,6,0,67,52,158,12,71,0,416,0,40,36,0,68,0,0,55,0,0,0,0,70,6,231,0,0,286,0,331,69,0,6,0,16,47,7,0,0,0,35,163,0,89,168,0,0,38,0,22,0,10,112,7,11,0,0,74,621,0,0,18,518,0,10,0,98,0,1,14,324,35,95,1,73,73,104,26,0,55,495,155,0,0,30,57,0,0,55,0,0,6,0,20,122,0,13,197,181,0,0,15,98,0,5,0,54,0,291,10,74,1,37,19,0,7,286,5,0,110,654,109,0,0,96,221,0,26,18,8,0,0,1,121,0,0,67,121,31,0,0,24,11,295,0,2011,2,7,297,59,0,0,3,0,0,270,7,0,42,0,4,564,4,16,469,1627,64,646,337,289,89,43,12,4,0,2,0,0,1,0,4,65,25,0,326,0,242,26,299,244,132,80,24,5,549,0,42,0,4,0,1577,6,0,21,19,0,736,6,42,4103,20,97,0,8,35,60,51,0,795,183,59,452,64,442,0,0,60,297,
9c9d2dfde9ad67dcb9628dc8c30ec99f,362,487,4,487,178,558,721,378,0,76,156,1122,193,896,168,354,592,104,0,42,480,440,328,0,304,278,578,334,606,474,599,173,2644,695,992,1266,668,351,1644,880,278,598,372,503,151,421,349,1107,317,676,401,1262,142,343,200,0,2304,822,493,413,707,172,526,898,1043,222,1330,811,385,756,148,623,903,4,8,322,334,1140,0,189,630,0,38,1052,0,1158,108,245,2531,369,0,373,3,3,355,603,4,1107,0,217,633,694,526,290,729,32,246,556,550,635,36,36,4688,216,677,76,181,376,386,34,0,1022,950,126,1064,321,78,620,656,0,2232,2144,1924,16,893,737,2346,157,319,2559,454,513,8,198,2447,1016,225,170,390,214,263,424,1024,196,353,85,22,14,413,0,453,13,488,284,205,23,513,2547,262,121,696,6,10,4,543,214,460,641,398,245,194,350,0,870,3049,500,78,2325,164,206,132,6581,18,52,41,197,180,2645,1240,0,649,114,2421,10324,0,636,9103,843,39,2529,1125,475,5796,853,420,36,0,68,27,1685,957,243,730,3325,1493,83,788,0,1109,920,3938,1874,1751,720,557,215,201,346,346,2484,188,814,3311,163,47,394,686,89,5244,102,109,2358,2477,230,259,338,5646,209,407,690,164,2538,745,5351,183,1825,2353,3006,1513,1500,
a93ecb34623d57ce5a83ac109551229b,48,59,0,170,120,250,78,135,0,5,143,45,161,176,71,147,101,57,0,21,80,199,109,0,73,198,345,25,119,205,46,85,88,135,66,150,159,12,44,137,44,172,124,68,120,44,37,83,128,231,94,365,33,42,32,0,29,71,18,18,356,177,35,13,108,51,54,365,49,295,63,131,46,0,13,42,19,106,0,105,97,0,30,34,0,68,323,26,40,175,0,14,6,0,31,79,0,128,0,34,111,250,76,31,260,32,141,65,38,0,34,36,37,29,85,15,71,437,23,5,0,82,156,95,54,182,33,68,329,0,261,89,38,7,195,59,380,56,21,231,65,53,0,72,37,6,13,112,18,126,400,174,18,47,32,21,7,0,164,6,9,18,287,139,0,0,84,36,55,347,20,7,23,7,23,108,80,473,52,58,336,192,0,54,227,1266,63,158,117,22,867,292,24,9,34,375,0,732,95,119,115,173,30,878,0,68,1183,317,41,111,130,43,740,43,95,30,104,9,331,9,30,391,8,325,120,25,792,0,96,53,1050,408,57,96,27,20,206,62,157,188,10,159,142,81,171,23,102,6,95,39,136,402,67,66,125,24,112,62,263,871,1137,97,195,552,131,799,90,444,53,483,
1b23073ca2a2884ac2bd7895dda760bc,12,29,1,20,13,42,32,95,0,1,12,2,31,70,1,205,72,10,0,1,84,205,5,0,11,135,123,8,205,99,13,3,43,12,12,108,17,1,1,24,85,10,17,82,7,3,2,9,22,16,6,112,1,5,72,0,1,24,0,27,69,59,1,2,111,4,1,119,3,773,7,1,13,0,1,3,33,61,0,14,7,0,1,17,0,1,505,13,5,22,0,2,0,1,7,10,0,54,0,9,141,93,20,8,28,1,35,55,1,0,1,5,14,1,42,0,3,216,1,1,0,6,203,10,7,30,5,51,20,0,84,47,1,1,56,28,68,6,1,44,1,1,0,5,1,0,23,8,1,29,164,21,1,4,1,1,0,0,144,0,1,1,50,191,1,0,11,4,12,93,7,0,0,0,1,52,56,87,22,53,323,132,0,33,232,1278,294,332,9,0,4,160,0,0,7,96,4,0,0,0,7,9,0,651,0,4,860,243,0,68,44,55,0,28,0,0,0,0,0,7,11,365,0,221,87,197,1488,0,103,11,1634,217,26,70,4,24,0,88,7,127,9,179,346,9,0,0,13,0,300,7,0,994,4,28,24,15,24,15,463,1145,29,0,177,0,0,0,169,708,80,0,
7cd17d18c05e35c6001cc253ac15c517,294,218,0,317,249,458,244,221,0,79,146,381,113,361,125,162,279,165,0,58,152,665,279,0,81,206,198,211,417,554,487,169,562,336,461,663,604,102,363,339,323,500,385,526,116,198,203,440,320,282,448,482,87,146,147,0,798,275,376,281,833,250,394,546,666,231,927,345,369,484,156,399,579,0,74,171,131,775,0,154,591,0,30,376,6,950,107,260,1697,280,0,316,0,0,279,510,0,533,0,91,260,553,326,274,379,88,197,156,267,170,38,19,872,189,517,81,152,205,100,20,0,640,327,60,527,280,38,232,473,0,689,1078,1700,11,432,148,1433,94,240,1278,283,529,0,177,1288,572,122,293,308,187,142,279,399,124,334,17,64,12,189,0,335,11,202,191,87,29,312,774,169,116,281,7,0,6,85,259,342,405,365,170,222,383,0,344,819,164,187,1080,101,53,311,3429,45,36,32,129,39,2447,1529,49,404,60,590,5080,32,186,3814,549,35,1181,894,123,6009,252,169,29,53,12,47,594,225,124,127,1123,647,219,180,6,828,425,1563,1149,1221,634,96,678,209,243,194,792,360,204,1193,59,132,87,504,48,2349,94,126,1265,1683,124,244,1434,5883,235,1302,827,517,288,2318,1067,86,711,1438,3256,3438,499,
