metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Site_General,397aa1ad0378774f826b9825c958427e,SI,2.12192181,0.114907615,270,243,1.03E-46,1.93E-43
Site_General,a5641950b2a3a47827849d91242f0ead,SI,-1.671534613,0.098267748,270,187,4.05E-42,3.79E-39
Site_General,89c209abd89a5232343a4c87c93cb4ea,SI,2.593517043,0.160038359,270,163,1.41E-39,8.77E-37
Site_General,9b5ce504ace88223f14f8b0848d1b054,SI,1.882944211,0.116973452,270,244,4.05E-39,1.89E-36
Site_General,df4ca25fd346713ef43d2c727b2ef78e,SI,-2.040139188,0.130719478,270,178,1.41E-37,5.27E-35
Site_General,e8ed0e081283c5963ce9860944f651c6,SI,-1.820629809,0.117934444,270,172,4.73E-37,1.47E-34
Site_General,fd127481a7a3b20d6d476f8d15c8b746,SI,-1.534468583,0.101740224,270,133,5.92E-36,1.58E-33
Site_General,2f65298490e0fe48b880145471ec54eb,SI,1.553139183,0.109901272,270,269,8.96E-33,2.09E-30
Site_General,f33aa1513c4933703b7070ec1e43c191,SI,-1.203719487,0.08534404,270,195,1.29E-32,2.68E-30
Site_General,0758746de870fac931a39b11205ea4f6,SI,-1.575647382,0.113209231,270,115,3.66E-32,6.84E-30
Site_General,46864a6aa122ecb439eb59a3c0542ee6,SI,-1.120454783,0.084707169,270,149,7.33E-30,1.25E-27
Site_General,c003202be6a53b07fbb26ecd2161fe2c,SI,1.660994974,0.126715264,270,237,1.93E-29,3.00E-27
Site_General,6d5171bbc6ef97262119e6d152d82164,SI,3.154657492,0.24193297,270,192,3.13E-29,4.50E-27
Site_General,483176e085c4e4eeee22409a02f2c0ef,SI,-1.528600212,0.118004183,270,130,5.98E-29,7.98E-27
Site_General,9558d82710beac18e454f983c9db7cca,SI,-1.211207942,0.095213,270,217,3.15E-28,3.68E-26
Site_General,db1ea7350f45b6b1c577ee65fae969c4,SI,-1.30981136,0.102946205,270,216,3.12E-28,3.68E-26
Site_General,a8bb13e9e2b548216ed9a9619c1767a0,SI,-1.230580117,0.101007248,270,130,1.61E-26,1.77E-24
Site_General,05b3c5e6170d8f2a2028b41de2e4fbfa,SI,-1.190278129,0.09759588,270,138,1.71E-26,1.77E-24
Site_General,869038dbbe0844710dfe8cda1f4c41fd,SI,-1.416841334,0.117275271,270,154,3.87E-26,3.81E-24
Site_General,0d193515752095f48f18055431a650f0,SI,-0.997220269,0.083706104,270,168,1.19E-25,1.11E-23
Site_General,64864a4b76fc5cccc00f4e44f8dbcff4,SI,-1.041155914,0.088354981,270,230,3.22E-25,2.86E-23
Site_General,0daddf1b0a2e7ae6c3add7261ca7b510,SI,-1.053816501,0.090148884,270,243,6.41E-25,5.44E-23
Site_General,5880c5d1b7cc98fab46a044a247525a2,SI,-1.102247649,0.095231094,270,185,1.39E-24,1.13E-22
