metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Type,4c8288bfbd76958c0c094d87b97650f8,Mucosal,3.478565473,0.4578618176,86,67,5.64E-11,1.02E-07
Type,c42634f8d1aad4956aa9638465e86565,Mucosal,-1.223301949,0.177312735,86,86,2.50E-08,1.28E-05
Type,65553cd263bb61cf36d1a75d750952f3,Mucosal,-1.244419026,0.1771738958,86,77,1.56E-08,1.28E-05
Line,e3bd74e4f8e965abfb6ca86d51d2b55b,Vil1Cre,1.271380978,0.2060486916,86,10,2.84E-08,1.28E-05
Type,8064a19ea488e28609ef25daab20653e,Mucosal,-1.144755268,0.1705674453,86,71,4.53E-08,1.63E-05
Type,3bffd5a2b1cf48b46d1e51628c3551fc,Mucosal,-1.129369902,0.1714098696,86,72,5.75E-08,1.73E-05
Type,21f3474eb0a2647e96181ab06ed9b764,Mucosal,-1.25718873,0.1912292223,86,70,6.80E-08,1.75E-05
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,3.708848447,0.572587913,86,53,1.70E-07,3.84E-05
Type,7cd17d18c05e35c6001cc253ac15c517,Mucosal,-1.282179087,0.2101930994,86,82,2.65E-07,5.32E-05
Type,048a59d179f89089b6e3a2d50f389e94,Mucosal,-1.000714745,0.1649826198,86,62,3.81E-07,6.88E-05
Type,e78a270ccd8d01d326e840cd85e1c1e2,Mucosal,-1.00110394,0.170035473,86,79,6.56E-07,9.97E-05
Type,b3ef12a80d40902556c2fd4de5924438,Mucosal,-0.9911611446,0.1710242561,86,35,6.63E-07,9.97E-05
Type,49d5e983bbc870059084d932fb344b75,Mucosal,-0.9281038727,0.1588839747,86,66,7.70E-07,0.0001069195136
Type,028e2c1b650e2e2b5847154a153e0166,Mucosal,1.709213016,0.295801771,86,41,8.66E-07,0.0001117034862
Line,7b5a9a466d6970735cb986d2e97b7d03,LyzCre,2.505243989,0.4372612376,86,14,1.06E-06,0.0001276380372
Type,298c6e520261d927af2fb9e7c1e4cebc,Mucosal,-1.007198285,0.1823309762,86,79,1.98E-06,0.0002237442883
Line,234b63e9a181c1a4a2abf89444577cef,JJWT,-4.12347947,0.7663042556,86,33,3.60E-06,0.0003828964232
Type,759abfc82a4b189214d7e148d4aef180,Mucosal,-1.125027081,0.211931593,86,78,4.00E-06,0.0004017875082
Line,234b63e9a181c1a4a2abf89444577cef,Vil1Cre,-2.450334012,0.460221269,86,33,4.27E-06,0.0004056046881
Type,a93ecb34623d57ce5a83ac109551229b,Mucosal,-0.9724973808,0.1912018702,86,78,8.12E-06,0.0006984726869
Line,978c4b2965a576a78cac987d12c9e0a0,Vil1Cre,1.376530372,0.2887470126,86,17,8.51E-06,0.0006984726869
Type,be50260bd56c9b191a9e0845fc908179,Mucosal,0.7541883164,0.1581670932,86,35,8.47E-06,0.0006984726869
Sequencing_Run,20b86a0cfa5df6fb3f9afef5cf2f0151,NovaSeq_Mar_Twenty,5.145369337,1.042124465,86,42,1.14E-05,0.000892286514
Line,96c7cedbae877361d087a8b39206d408,Vil1Cre,1.534061405,0.3281189909,86,21,1.21E-05,0.0009097557111
Type,17bccd87573679acdd1eda74fc49bde7,Mucosal,0.7351846041,0.1485715425,86,18,1.41E-05,0.001016321148
Line,72cb656da17f65d184d9186ee5260f53,Vil1Cre,-2.807578442,0.582434973,86,34,2.03E-05,0.001408617732
Type,691f2dbdac94ad2f7e2486ab73a772af,Mucosal,-1.069903867,0.2255329818,86,63,2.11E-05,0.001414631544
Line,00e1ab8ab959fa51a66dabae588ff48c,Vil1Cre,-1.309298335,0.293746208,86,30,2.74E-05,0.001714823492
Sequencing_Run,c8433912bf1d2d7d9dd177739211ae41,NovaSeq_Mar_Twenty,4.757045469,1.067484046,86,38,2.75E-05,0.001714823492
Line,20b86a0cfa5df6fb3f9afef5cf2f0151,JJWT,-3.332415349,0.7139281925,86,42,3.40E-05,0.002047577032
Sex,397aa1ad0378774f826b9825c958427e,Male,-2.137263055,0.4737288763,86,82,3.94E-05,0.002292550406
Line,978c4b2965a576a78cac987d12c9e0a0,JJWT,2.081833597,0.4806749229,86,17,4.37E-05,0.002465757543
Type,869038dbbe0844710dfe8cda1f4c41fd,Mucosal,-0.7495172188,0.1650643612,86,38,4.63E-05,0.002531144501
Line,be7fa93e72946b09913f7776a2f1c857,LyzCre,-2.718512084,0.6007724197,86,54,5.15E-05,0.002692048293
Type,e895ba3e92642f6c374d12d4ba87bf0a,Mucosal,-0.6709011128,0.1486218428,86,68,5.22E-05,0.002692048293
Line,ad23727bc3e6dc84a4c52399fe4f0d39,Vil1Cre,-2.662927206,0.5940222763,86,81,5.98E-05,0.003001706549
Sequencing_Run,20b86a0cfa5df6fb3f9afef5cf2f0151,NovaSeq_Jan_Twenty,2.457833656,0.5497920196,86,42,6.50E-05,0.003173701032
Line,6f0b4058c92e83c77533a218739a0e38,Vil1Cre,1.981879935,0.4450382407,86,41,6.72E-05,0.003196021995
Type,ce374e4ecf9d37933b614c569ea2250e,Mucosal,0.7145736971,0.163225851,86,16,8.42E-05,0.003899791048
Line,0247032b5537cfe290e9fe3067f9257e,Vil1Cre,-2.376950175,0.5464635597,86,78,8.75E-05,0.003949116837
Type,73e42306e185be6f0c6060d4ed924469,Mucosal,-0.8958534365,0.2088484434,86,77,0.0001034304477,0.004447509252
Type,a30dd65fa0f17c9ffe88b70cc66d024b,Mucosal,-0.6037130148,0.1411521754,86,29,0.0001030559775,0.004447509252
Line,89c209abd89a5232343a4c87c93cb4ea,JJWT,-4.289012507,1.003007633,86,77,0.00010906691,0.004580810221
Type,9bc2935704d00be01387e4b91d0ec358,Mucosal,-0.7993457039,0.1894399035,86,33,0.0001222142177,0.004920052615
Sequencing_Run,76d6be90e19a660c9a84b35fa31d801c,NovaSeq_Jan_Twenty,3.251409423,0.765033321,86,51,0.0001225926731,0.004920052615
Line,de5c3f0b7c96b05b03568bbdbd3e4a80,Vil1Cre,1.286803022,0.305049952,86,21,0.0001352907502,0.005311632496
Type,6d5171bbc6ef97262119e6d152d82164,Mucosal,1.382979743,0.330719368,86,63,0.0001394809991,0.005359631581
Sequencing_Run,a589fa026973c67d0f1c7b741d85b90c,NovaSeq_Mar_Twenty,-7.988514589,1.92524072,86,49,0.0001555977161,0.00560559735
Type,f80a7e9c950f857ec31ac4d0cc9c6a03,Mucosal,-0.6511546753,0.1565503727,86,75,0.0001597117209,0.00560559735
Type,236833fbc5a378aae084b64206c25372,Mucosal,-0.8552332103,0.2056140582,86,56,0.0001527913335,0.00560559735
Line,c8433912bf1d2d7d9dd177739211ae41,JJWT,-2.892727072,0.7305060951,86,38,0.0001645053486,0.00560559735
Type,7fd2dbaa8c8b59e687ce1cf9edb857dc,Mucosal,-0.7497093815,0.1793589385,86,46,0.000152587203,0.00560559735
Type,bf0c4ab9e25d5cb0066ba56a34272e6a,Mucosal,0.6633901481,0.159978598,86,9,0.0001637373863,0.00560559735
Type,5e7454ae5bc6cea5edbfbe42b2d24477,Mucosal,0.7202731233,0.1768264369,86,39,0.0001863442886,0.006232181207
Line,d013db1a71d477496cb864ee431c3420,Vil1Cre,-2.217937176,0.5431159211,86,82,0.0001978017519,0.00639910952
Line,7cd17d18c05e35c6001cc253ac15c517,Vil1Cre,-1.860464752,0.4556813035,86,82,0.0002006288321,0.00639910952
Type,44166d043ae4422d941e1e4c779151f8,Mucosal,-1.059464663,0.2598961513,86,75,0.0002019652506,0.00639910952
Type,db1ea7350f45b6b1c577ee65fae969c4,Mucosal,0.7731831571,0.1923336629,86,51,0.000220479808,0.006865285056
Line,9b5ce504ace88223f14f8b0848d1b054,LyzCre,-3.369425007,0.8353000053,86,81,0.0002268271731,0.006943218215
Line,397aa1ad0378774f826b9825c958427e,Vil1Cre,-2.700768274,0.6703062339,86,82,0.0002413317544,0.007264085807
