metadata	feature	value	coef	stderr	N	N.not.0	pval	qval
Line	X5adc2daa2981bc07e21b14d53496ff67	Vil1Cre	-3.26785058667677	0.37594783726968	137	37	1.87545290377748e-10	7.20173915050551e-08
Line	fbbeae3dceada6928b2cdc472f5d9901	Vil1Cre	4.19802623880145	0.712732422850262	137	62	6.8191550884018e-07	8.7285185131543e-05
Sequencing_Run	X6f0b4058c92e83c77533a218739a0e38	NovaSeq_Jan_Twenty	2.58607183946122	0.438852872259	137	28	6.68007283908405e-07	8.7285185131543e-05
Site	X6d5171bbc6ef97262119e6d152d82164	Ileum	1.55858945021515	0.301755391771765	137	89	1.46594966703884e-06	0.000140731168035729
Sequencing_Run	X6f0b4058c92e83c77533a218739a0e38	NovaSeq_Mar_Twenty	3.72478352855032	0.779425195473459	137	28	2.06396247126687e-05	0.00158512317793296
Site	X2f65298490e0fe48b880145471ec54eb	Jejunum	0.684941522479863	0.156464688042141	137	137	3.26958415145824e-05	0.00209253385693327
Site	X48082d1ff66a9207ede6bf05e9846d6e	Ileum	-0.676590916246853	0.163118372541285	137	136	7.71382548740733e-05	0.00370263623395552
Site	X76d6be90e19a660c9a84b35fa31d801c	Jejunum	-0.917772039012602	0.219448957647231	137	71	6.76059270355805e-05	0.00370263623395552
Site	X235c319ab46f87d377a28a34ba10bfa1	Ileum	-0.867540610141276	0.229560575111621	137	131	0.000284578997339098	0.0109854836356709
Line	fbbeae3dceada6928b2cdc472f5d9901	JJWT	4.8150188495289	1.22140724781795	137	62	0.00031468833331349	0.0109854836356709
Line	X028e2c1b650e2e2b5847154a153e0166	LyzCre	1.38471461098901	0.348889082928242	137	22	0.000286475939894875	0.0109854836356709
Line	X2f65298490e0fe48b880145471ec54eb	Vil1Cre	-1.78162223560946	0.46542779724364	137	137	0.00044572319889055	0.0137931120628105
Site	X235c319ab46f87d377a28a34ba10bfa1	Jejunum	-0.810082683823676	0.228004656493713	137	131	0.000614045496711062	0.0137931120628105
Line	X89c209abd89a5232343a4c87c93cb4ea	JJWT	-3.92433341345377	1.04127959328119	137	112	0.000528875019877636	0.0137931120628105
Line	X292a57429f3bed0adc53c07dc4c62c9f	Vil1Cre	1.24299328621765	0.326033767488887	137	33	0.000486233359628316	0.0137931120628105
Line	X762fd96b2d1336974fba68fedd33fefa	Vil1Cre	2.10610011028554	0.56908993168681	137	32	0.000646552127944241	0.0137931120628105
Line	X6f0b4058c92e83c77533a218739a0e38	JJWT	-2.04450177032225	0.551922945822247	137	28	0.000633754244889818	0.0137931120628105
Line	eee9bab26577ab7978a3c7bb4a082922	LyzCre	-3.17967527659961	0.850256389468145	137	63	0.000575508280189617	0.0137931120628105
Line	ad4e760fa406db6470c29766422a47d2	Vil1Cre	1.36960022504823	0.377169412486384	137	59	0.000793107884182799	0.0160291277645366
Line	X89c209abd89a5232343a4c87c93cb4ea	Vil1Cre	-2.1513480702759	0.607531297585058	137	112	0.00103405149799655	0.0172641641404641
Sequencing_Run	X76d6be90e19a660c9a84b35fa31d801c	NovaSeq_Jan_Twenty	3.1505622197988	0.885286989295697	137	71	0.000977023025531114	0.0172641641404641
Sequencing_Run	X76d6be90e19a660c9a84b35fa31d801c	NovaSeq_Mar_Twenty	5.53293624168772	1.55349181527338	137	71	0.000941942357807295	0.0172641641404641
Site	X6f0b4058c92e83c77533a218739a0e38	Ileum	-0.582631853376616	0.171292801074004	137	28	0.00100176991211122	0.0172641641404641
Sequencing_Run	X4c8288bfbd76958c0c094d87b97650f8	NovaSeq_Jan_Twenty	2.92556375806085	0.84488850780849	137	57	0.00128821233474696	0.0203010605373717
Sequencing_Run	ad4e760fa406db6470c29766422a47d2	NovaSeq_Mar_Twenty	3.15571469690607	0.920028367100449	137	59	0.00132168362873513	0.0203010605373717
Site	f5fb42e8863737981eb6e04a3de22e29	Jejunum	0.560996031550472	0.174617068230848	137	137	0.00183270839868022	0.0261229240826704
Sequencing_Run	X46864a6aa122ecb439eb59a3c0542ee6	NovaSeq_Jan_Twenty	1.69841702871138	0.509080044967349	137	56	0.00183676809956276	0.0261229240826704
Line	X48082d1ff66a9207ede6bf05e9846d6e	Vil1Cre	-1.16545838973977	0.350953176843959	137	136	0.00197642244204917	0.0271052220623886
Line	c8433912bf1d2d7d9dd177739211ae41	Vil1Cre	1.38828991308343	0.422299052750703	137	32	0.00211342957079245	0.0279847225925622
Line	f5fb42e8863737981eb6e04a3de22e29	Vil1Cre	-1.33602590959854	0.412628530378888	137	137	0.00243903718321877	0.0312196759452002
Line	X6d5171bbc6ef97262119e6d152d82164	Vil1Cre	-2.771629657004	0.865151170053556	137	89	0.0026797060268234	0.0331937778806512
Sequencing_Run	X4c8288bfbd76958c0c094d87b97650f8	NovaSeq_Mar_Twenty	4.6540687673768	1.48147667869591	137	57	0.00310350941072951	0.0372421129287541
Line	ad4e760fa406db6470c29766422a47d2	JJWT	-2.01510568395707	0.648120912031115	137	59	0.00342280030293025	0.039828948979552
Line	a30dd65fa0f17c9ffe88b70cc66d024b	Vil1Cre	-0.990451814764712	0.3216372464193	137	30	0.0037674566343394	0.0425500984584214
Line	X204736c3bd4a4c1f840e9fc99a5155d2	JJWT	1.51326899709434	0.494882174230808	137	47	0.0039808636851035	0.043675761573707
Line	e8ed0e081283c5963ce9860944f651c6	Vil1Cre	1.11680695515432	0.369985965397676	137	69	0.00443613062154442	0.0473187266298071
Site	X9ff8565480eb4d1ae1feec02a0dfce35	Ileum	0.737091497692563	0.253850357506823	137	121	0.00465596430028335	0.0483213592245623
Line	a172874a13d3e6df1391f0797d95d6bc	Vil1Cre	0.925291462341307	0.311739640159921	137	29	0.00505121492522953	0.05104385608653
Sequencing_Run	c8433912bf1d2d7d9dd177739211ae41	NovaSeq_Mar_Twenty	3.01032536798931	1.02424324238606	137	32	0.00526320217564635	0.0518222983448256
Site	c42634f8d1aad4956aa9638465e86565	Jejunum	0.536935935437228	0.189012969313096	137	137	0.00558877874660946	0.0523436838706837
Line	X2e11ee45d4ccab0775222da825d3bd42	LyzCre	-1.04774166376155	0.356362876258837	137	96	0.00550011436123649	0.0523436838706837
Line	X76d6be90e19a660c9a84b35fa31d801c	JJWT	-3.21370216080503	1.11137276592972	137	71	0.00615269878107622	0.0561760105765209
Site	X6f0b4058c92e83c77533a218739a0e38	Jejunum	-0.475909798996715	0.170079027061902	137	28	0.00629054285101666	0.0561760105765209
Line	X5b74065cc4963be8f6447b2c9ffcbc87	Vil1Cre	1.50171586898343	0.523708478593926	137	21	0.00656351386412731	0.0572815755414747
Line	X4c8288bfbd76958c0c094d87b97650f8	JJWT	-2.98921195376184	1.06053338699991	137	57	0.00744913936344406	0.0627041560435357
Site	a172874a13d3e6df1391f0797d95d6bc	Jejunum	-0.488347344084692	0.17933563818871	137	29	0.00777033116537036	0.0627041560435357
Line	X76d6be90e19a660c9a84b35fa31d801c	Vil1Cre	1.82705503446261	0.648803294601973	137	71	0.00751338486736449	0.0627041560435357
Sequencing_Run	X46864a6aa122ecb439eb59a3c0542ee6	NovaSeq_Mar_Twenty	2.51127553490976	0.900003858004014	137	56	0.00783801950544196	0.0627041560435357
Line	X49e9cee41713f4c00f8b171ecaff09b5	Vil1Cre	0.913384519164968	0.329745884897087	137	38	0.00847428625232038	0.0664107330794087
Sequencing_Run	c8433912bf1d2d7d9dd177739211ae41	NovaSeq_Jan_Twenty	1.58909369867984	0.576417495598091	137	32	0.00874834253701753	0.0671872706842946
Site	f745d265f36ea7eac26d97280e690796	Jejunum	0.630190616813726	0.237166459515704	137	82	0.00934766134129017	0.0703823912755966
Line	X46864a6aa122ecb439eb59a3c0542ee6	Vil1Cre	1.00909872746518	0.373016411831349	137	56	0.00997102148397804	0.0722428726386333
Line	X6f0b4058c92e83c77533a218739a0e38	LyzCre	0.929646326497671	0.343796556850631	137	28	0.0099410668528333	0.0722428726386333
Site	f0deb5bac19f248fce27d93d918d3464	Jejunum	0.39260214359971	0.151965456584764	137	32	0.0114078867891633	0.0811227505007165
Line	X861fb4882b4c65b68e5998bb89ad59e8	Vil1Cre	0.92591797258642	0.353893133760374	137	21	0.0124690409603718	0.0855019951568351
Line	X46864a6aa122ecb439eb59a3c0542ee6	JJWT	-1.67767455670557	0.639809960229442	137	56	0.0122500849576716	0.0855019951568351
Site	X3bffd5a2b1cf48b46d1e51628c3551fc	Jejunum	0.392952864208712	0.154662933809522	137	109	0.0128107590319223	0.0863040608466348
Line	f745d265f36ea7eac26d97280e690796	LyzCre	-2.28265238991397	0.881277891047666	137	82	0.0132897265754781	0.0864958475420946
Line	X6f0b4058c92e83c77533a218739a0e38	Vil1Cre	0.834986073224243	0.321519630748152	137	28	0.0131018871812109	0.0864958475420946
Site	b3ef12a80d40902556c2fd4de5924438	Jejunum	0.468931510513077	0.186061932784296	137	88	0.0135229945024137	0.0865471648154477
Site	X6d5171bbc6ef97262119e6d152d82164	Jejunum	0.739357463083798	0.299438236456269	137	89	0.0154656371241069	0.0973574533714273
Line	c8433912bf1d2d7d9dd177739211ae41	JJWT	-1.82395454655026	0.724982241651106	137	32	0.0159393150298254	0.0987209188944025
Sequencing_Run	X5ae5ad642b9c2cc68c4fc59e4902ff63	NovaSeq_Jan_Twenty	-2.38091149731923	0.953493139049613	137	135	0.0167523877331899	0.102109791897538
Sex	X204736c3bd4a4c1f840e9fc99a5155d2	Male	0.540518529667832	0.216962311596957	137	47	0.0170421252965615	0.102252751779369
Line	X5ae5ad642b9c2cc68c4fc59e4902ff63	JJWT	2.96327591367451	1.19636875100895	137	135	0.0175748309315965	0.102253561783834
Site	X76d6be90e19a660c9a84b35fa31d801c	Ileum	-0.536029029477403	0.221151932929218	137	71	0.0173835546383595	0.102253561783834
Line	X6d5171bbc6ef97262119e6d152d82164	JJWT	-3.63453805990061	1.48207944152109	137	89	0.0186689368839871	0.106998086021658
Line	b3111baca54677926264de26b4a9bf7a	Vil1Cre	1.42236333113876	0.588667156051052	137	59	0.0203489661967686	0.114911809111164
