metadata,feature,value,coef,stderr,N,N.not.0,pval,qval
Site,6d5171bbc6ef97262119e6d152d82164,Duodenum,-2.695398175,0.3884156544,132,99,7.47E-10,2.57E-07
Line,4c8288bfbd76958c0c094d87b97650f8,Vil1Cre,3.96520203,0.6068316184,132,119,8.24E-08,1.42E-05
Line,e10905e9870f08c9b02a8165eab1723e,JJWT,-3.514105865,0.5689857958,132,76,2.29E-07,2.63E-05
Line,c8433912bf1d2d7d9dd177739211ae41,JJWT,-2.917534997,0.5347842785,132,68,2.38E-06,0.0002042809722
Line,89c209abd89a5232343a4c87c93cb4ea,JJWT,-3.620935675,0.7827838815,132,101,3.52E-05,0.001515003149
Site,89c209abd89a5232343a4c87c93cb4ea,Duodenum,1.272950501,0.2909416469,132,101,3.33E-05,0.001515003149
Line,fbbeae3dceada6928b2cdc472f5d9901,Vil1Cre,2.636841408,0.5534281818,132,62,2.36E-05,0.001515003149
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Jan_Twenty,2.422858277,0.51061888,132,51,3.23E-05,0.001515003149
Line,b3111baca54677926264de26b4a9bf7a,LyzCre,1.268183788,0.2865872613,132,17,6.95E-05,0.002656337643
Line,f5fb42e8863737981eb6e04a3de22e29,Vil1Cre,-1.71174411,0.3983302905,132,124,0.000100182098,0.002962635044
Site,f745d265f36ea7eac26d97280e690796,Duodenum,1.14509556,0.281018649,132,74,0.0001033477341,0.002962635044
Sequencing_Run,c8433912bf1d2d7d9dd177739211ae41,NovaSeq_Jan_Twenty,1.782053235,0.4127029482,132,68,0.0001011879885,0.002962635044
Line,2e11ee45d4ccab0775222da825d3bd42,Vil1Cre,-1.213536907,0.2864131263,132,97,0.0001261345615,0.003337714551
Site,6f0b4058c92e83c77533a218739a0e38,Jejunum,1.093837248,0.2757205348,132,51,0.0001503059324,0.003693231481
Line,b3111baca54677926264de26b4a9bf7a,Vil1Cre,1.107892564,0.2686070866,132,17,0.0001671892238,0.003834206199
Line,48082d1ff66a9207ede6bf05e9846d6e,Vil1Cre,-1.768892798,0.4537107057,132,121,0.0003449818417,0.006980809031
Line,772ad2feb9f19ddeace71e8e2e707858,Vil1Cre,-1.38176649,0.3533996678,132,114,0.0003369656588,0.006980809031
Site,028e2c1b650e2e2b5847154a153e0166,Jejunum,1.197522495,0.3262124036,132,62,0.0004240583272,0.008104225809
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Jan_Twenty,2.290981964,0.5976232043,132,101,0.0004517135872,0.008178393368
Sequencing_Run,89c209abd89a5232343a4c87c93cb4ea,NovaSeq_Mar_Twenty,4.11327329,1.083243262,132,101,0.0004873199677,0.0082986139
Line,6f0b4058c92e83c77533a218739a0e38,Vil1Cre,1.507339406,0.3988846933,132,51,0.0005066014299,0.0082986139
Line,e10905e9870f08c9b02a8165eab1723e,Vil1Cre,-1.242688687,0.336991923,132,76,0.0006438344446,0.0100672295
Site,fbbeae3dceada6928b2cdc472f5d9901,Jejunum,0.9842265254,0.2793962867,132,62,0.0006906853756,0.01033025083
Site,028e2c1b650e2e2b5847154a153e0166,Duodenum,1.158324776,0.3314795068,132,62,0.0007593036917,0.01088335291
Line,6f0b4058c92e83c77533a218739a0e38,JJWT,-2.430801033,0.6725040391,132,51,0.0008315255876,0.01144179209
Sequencing_Run,6f0b4058c92e83c77533a218739a0e38,NovaSeq_Mar_Twenty,3.336869185,0.9274172081,132,51,0.0009210580176,0.01218630608
Site,6d5171bbc6ef97262119e6d152d82164,Jejunum,-1.30261985,0.3819725609,132,99,0.0009992480811,0.01273116074
Line,1e65ef9ba16ebcd3b8413c31e58cada1,Vil1Cre,-1.002316377,0.285623422,132,98,0.001111458094,0.01365505658
Site,89c209abd89a5232343a4c87c93cb4ea,Jejunum,0.9514078107,0.2864554643,132,101,0.001310228482,0.01426520617
Line,f9130f059b9380b9961aef118b3a529e,Vil1Cre,-0.8552056099,0.2488515779,132,90,0.001326995923,0.01426520617
Line,292a57429f3bed0adc53c07dc4c62c9f,JJWT,-1.87916926,0.5423609148,132,80,0.001241831925,0.01426520617
Sequencing_Run,e10905e9870f08c9b02a8165eab1723e,NovaSeq_Mar_Twenty,2.74194589,0.7899205907,132,76,0.001263330587,0.01426520617
Line,64864a4b76fc5cccc00f4e44f8dbcff4,Vil1Cre,-0.9494307886,0.278419785,132,102,0.001465285232,0.01527448848
Line,6d5171bbc6ef97262119e6d152d82164,Vil1Cre,-2.867275727,0.8764071478,132,99,0.002173207852,0.02198775004
Line,178d4eb06bd14fca2d3c300f9f05e384,Vil1Cre,-1.04463404,0.3221627558,132,114,0.002327043086,0.02287150919
Line,eee9bab26577ab7978a3c7bb4a082922,LyzCre,-1.90199861,0.604099367,132,41,0.003075804674,0.02939102244
Site,f745d265f36ea7eac26d97280e690796,Jejunum,0.8362612389,0.2763280971,132,74,0.003281839272,0.02970928183
Site,b92f84c206887ecd667f142dd3606ac3,Duodenum,-0.4427035894,0.1464439295,132,48,0.003276978414,0.02970928183
Site,c8433912bf1d2d7d9dd177739211ae41,Jejunum,-0.4366588409,0.1453532458,132,68,0.003492257833,0.03080350499
Line,5ae5ad642b9c2cc68c4fc59e4902ff63,Vil1Cre,-1.799346059,0.5872014709,132,121,0.003846405786,0.03307908976
Site,2f65298490e0fe48b880145471ec54eb,Jejunum,0.4721351439,0.1600609895,132,132,0.004118972699,0.03453779122
Site,6f0b4058c92e83c77533a218739a0e38,Duodenum,0.8226246421,0.2798844463,132,51,0.004216823347,0.03453779122
Line,b92f84c206887ecd667f142dd3606ac3,Vil1Cre,-0.5936610964,0.2015362476,132,48,0.005243938597,0.04195150878
Sequencing_Run,292a57429f3bed0adc53c07dc4c62c9f,NovaSeq_Mar_Twenty,2.224089694,0.7574910492,132,80,0.005455876613,0.04265503534
Line,6d5171bbc6ef97262119e6d152d82164,JJWT,-4.326736072,1.481000509,132,99,0.005655706371,0.04323473315
Line,b3111baca54677926264de26b4a9bf7a,JJWT,1.300871598,0.4527172783,132,17,0.00632758628,0.04731934087
Sequencing_Run,204736c3bd4a4c1f840e9fc99a5155d2,NovaSeq_Mar_Twenty,-1.878308673,0.6552441237,132,63,0.006655581755,0.04871319412
Site,204736c3bd4a4c1f840e9fc99a5155d2,Jejunum,-0.4234184116,0.1564776135,132,63,0.008222425002,0.05772477961
Sequencing_Run,e10905e9870f08c9b02a8165eab1723e,NovaSeq_Jan_Twenty,1.217262441,0.436599151,132,76,0.008175849399,0.05772477961
Sequencing_Run,5adc2daa2981bc07e21b14d53496ff67,NovaSeq_Jan_Twenty,-1.798263727,0.6491426379,132,36,0.008638106092,0.05943016992
Site,9ff8565480eb4d1ae1feec02a0dfce35,Jejunum,-0.4643796619,0.1751498965,132,116,0.009593644875,0.06471007523
Line,a0d2e10ea5e00a9cb906c319ef542843,Vil1Cre,-0.6658198953,0.2477189593,132,58,0.01044024588,0.06906624198
Line,2f65298490e0fe48b880145471ec54eb,Vil1Cre,-1.117264043,0.418199745,132,132,0.01074956962,0.06977079149
Site,eee9bab26577ab7978a3c7bb4a082922,Jejunum,0.4653707812,0.1845794252,132,41,0.01359570828,0.08660969716
Site,c8433912bf1d2d7d9dd177739211ae41,Duodenum,-0.3700156606,0.1477848086,132,68,0.01417580793,0.08866323503
Line,b92f84c206887ecd667f142dd3606ac3,LyzCre,-0.5440476778,0.2150538903,132,48,0.01544787435,0.09489408527
Site,2e11ee45d4ccab0775222da825d3bd42,Jejunum,-0.3162739067,0.1289194508,132,97,0.01622550416,0.0979223409
Line,f7040b791e2687141adc7be4ad81afd4,Vil1Cre,-0.7729455428,0.3097343159,132,65,0.01680731237,0.09968474925
