feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Jejunum	2.47989819183707	0.195327031109945	278	277	3.12375495138671e-28	2.78326566168556e-25
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Site	Jejunum	-2.59339057473297	0.210069544730172	278	148	4.05092386180598e-27	1.80468658043456e-24
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Site	Jejunum	-2.87047279896734	0.254642437773714	278	207	1.10500081076624e-23	3.28185240797575e-21
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Site	Ileum	-2.31141831034622	0.211282873212339	278	148	1.18481903196365e-22	2.63918439369902e-20
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenellaceae.RC9.gut.group	Site	Duodenum	-2.18485675890854	0.21388824040969	278	148	2.03926093712786e-20	3.63396298996185e-18
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Rikenella	Site	Jejunum	-1.91017541508933	0.193174720312463	278	142	2.1602220257067e-19	3.20792970817445e-17
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Duodenum	1.94162315144023	0.199058467926929	278	277	5.39293356317411e-19	6.86443400684019e-17
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides	Site	Ileum	-2.43310569227466	0.256210047993176	278	207	3.21117160948178e-18	3.57644238006033e-16
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__NK4A214.group	Site	Jejunum	-1.40870760455185	0.149751908868285	278	37	5.99253379071125e-18	5.93260845280414e-16
k__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio	Site	Ileum	1.83005022552444	0.196518270016516	278	277	1.14207491553727e-17	1.01758874974371e-15
k__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__	Site	Jejunum	-1.2688243305889	0.141713728658227	278	63	1.28928543947496e-16	1.04432120597472e-14
k__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.g__Colidextribacter	Site	Jejunum	-1.47202671717817	0.165642891809306	278	228	2.01283136573819e-16	1.4945272890606e-14
k__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae.g__	Site	Jejunum	-1.55318331357673	0.176435866054779	278	153	3.56698177956157e-16	2.44475443506874e-14
k__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes	Site	Jejunum	-2.29420858315842	0.261831132959001	278	187	4.54057178670303e-16	2.88974961568029e-14
