"","V1"
"MF0063",0.00590508622913726
"MF0020",0.0252504383833179
"MF0061",0.0238119445998337
"MF0062",0.000619300479254431
"MF0060",0.0104984067126588
"MF0027",8.97733634774176e-06
"MF0028",0.0101272394917493
"MF0025",0.00189291127800144
"MF0069",0.00139330393547988
"MF0102",0.000681387918859322
"MF0026",0.00775347723398513
"MF0103",0.00662338013966735
"MF0067",0.0301447541046814
"MF0024",0.00283603275517237
"MF0068",0.0268493535214132
"MF0101",0.00230372777108556
"MF0021",0.00786077131844944
"MF0065",0.0195219163722283
"MF0022",0.00752354244915976
"MF0066",0.0139850908878596
"MF0018",0.0208520215409697
"MF0019",0.00268222609093607
"MF0030",0.000446633341023684
"MF0074",0.0307712253628675
"MF0031",0.00645249439230829
"MF0075",0.00592731283539864
"MF0072",0.0112702102723339
"MF0073",0.013550019987082
"MF0070",0.0165082550463994
"MF0071",0.0244925719735871
"MF0038",0.0184187950056512
"MF0039",0.000128477706438
"MF0036",0.00567797653873137
"MF0037",6.13886213740903e-05
"MF0034",0.0050876816630052
"MF0078",0.0132326400965911
"MF0035",0.00499540996930277
"MF0079",0.00231843462881126
"MF0032",0.00139321654502363
"MF0076",0.0075600411596198
"MF0033",0.0188019462149152
"MF0077",0.00298098473988076
"MF0029",0.0055909785087725
"MF0041",0.00574560057700993
"MF0085",0.00588261807322336
"MF0086",0.0343394057151747
"MF0083",0.000165437161970386
"MF0040",0.00241989982812632
"MF0084",0.00139321654502363
"MF0082",0.0014495904034982
"MF0080",0.00144360064976575
"MF0005",0.0130361593397971
"MF0049",0.02173034462516
"MF0006",0.0419405451482707
"MF0047",0.0134714809900195
"MF0004",0.00511382941264538
"MF0048",0.038740497181475
"MF0001",0.00395628167070592
"MF0045",0.00663474553497354
"MF0089",0.002701347525587
"MF0002",0.0300953984379114
"MF0046",0.00879055467334852
"MF0043",5.28443063582705e-05
"MF0087",0.00773749422417522
"MF0044",0.0306921474970668
"MF0088",0.00243663338668183
"MF0052",0.00139321654502363
"MF0096",0.005095663257525
"MF0097",0.0012587460314798
"MF0050",0.014212158989036
"MF0094",0.00356375118401546
"MF0051",0.00874601104390788
"MF0095",0.00343323556140198
"MF0092",0.0420360886840034
"MF0093",0.000947989366067761
"MF0090",0.0198434363190375
"MF0016",0.00305656269215735
"MF0017",0.0232852949531838
"MF0014",0.0128097141138849
"MF0058",0.00296274092141407
"MF0015",0.0230887122095018
"MF0059",0.00139326272015806
"MF0012",0.00488865491329192
"MF0056",0.000867666215631024
"MF0057",0.000485230156214847
"MF0013",0.00481733476580807
"MF0010",0.0290740239309252
"MF0054",0.00733114807385515
"MF0098",0.000692914987687935
"MF0011",0.0150671982354896
"MF0055",0.0104921000137432
"MF0009",0.0323539953802431
"MF0007",0.0093455741487533
"MF0008",0.0126959165192249
